,Accession,Description,P-value,Test,Adjusted P-value (BH),"Abundances (Normalized): F1: Sample, Control, 1","Abundances (Normalized): F2: Sample, Control, 2","Abundances (Normalized): F3: Sample, Control, 3","Abundances (Normalized): F4: Sample, Mutant, 1","Abundances (Normalized): F5: Sample, Mutant, 2","Abundances (Normalized): F6: Sample, Mutant, 3",log2(Fold Change),#NAME?
0,Q9I8L5,"Fatty acid-binding protein 10-A, liver basic OS=Danio rerio OX=7955 GN=fabp10a PE=1 SV=1",0.00037199,t-test,0.001003814,88478.64532,76141.86059,86141.33132,10968221.83,11264838.35,10542668.25,7.030166229,2.998346961
1,Q7ZV76,Electron transfer flavoprotein subunit beta OS=Danio rerio OX=7955 GN=etfb PE=1 SV=1,1.17E-07,t-test,5.65E-06,47147.486,49606.00047,83615.59315,2579830.266,2570476.798,2555729.438,5.416965074,5.247823637
2,Q803T5,Adenosylhomocysteinase OS=Danio rerio OX=7955 GN=ahcy PE=1 SV=1,2.06E-05,t-test,0.000143349,625445.0733,561604.6914,569220.1783,17816341.45,17623147.44,17453048.31,4.912477669,3.843605169
3,E3NZ06,10-formyltetrahydrofolate dehydrogenase OS=Danio rerio OX=7955 GN=aldh1l1 PE=1 SV=1,4.84E-06,t-test,7.19E-05,629220.6788,620366.3148,683973.5899,12525342.73,12683887.87,12731517.94,4.294416268,4.143354607
4,A7MCK2,Hsd17b12b protein OS=Danio rerio OX=7955 GN=hsd17b12b PE=2 SV=1,2.36E-06,t-test,4.15E-05,38069.11275,26333.6804,39587.8977,624652.0665,606376.2178,629219,4.160968122,4.382402166
6,Q6DRD1,"ATP synthase subunit O, mitochondrial OS=Danio rerio OX=7955 GN=atp5po PE=1 SV=1",4.94E-05,t-test,0.000232331,39657.07514,36205.4055,67801.861,765263.631,728632.3933,701961.625,3.934010606,3.633892742
7,A0A8M9NZC6,Apolipoprotein A-IV OS=Danio rerio OX=7955 GN=apoa4b.2 PE=1 SV=1,0.001081131,t-test,0.002243637,85437.93733,48527.76092,67547.72456,848958.47,973337.4335,955683.3125,3.785087961,2.649047466
8,Q7T3L3,Endoplasmin OS=Danio rerio OX=7955 GN=hsp90b1 PE=1 SV=1,9.15E-06,t-test,0.000115361,311614.6499,319300.0602,288364.9335,4242614.955,4147116.019,4182704.844,3.773616584,3.937941852
9,Q32LQ4,Betaine--homocysteine S-methyltransferase 1 OS=Danio rerio OX=7955 GN=bhmt PE=2 SV=1,4.78E-05,t-test,0.000230636,263795.5819,261694.6339,279167.5632,3302394.299,3364724.329,3268935,3.62622572,3.637072206
10,Q6PEI6,"Aconitate hydratase, mitochondrial OS=Danio rerio OX=7955 GN=aco2 PE=1 SV=1",9.65E-05,t-test,0.000360305,104295.2297,79026.99117,74015.81029,861593.4596,932006.7788,914510.875,3.395550345,3.443329553
11,Q7SXW7,Phosphoglucomutase-1 OS=Danio rerio OX=7955 GN=pgm1 PE=1 SV=1,5.78E-07,t-test,1.86E-05,743447.1636,712328.4258,720646.1297,7562008.475,7606577.47,7641437.875,3.389637918,4.730558918
12,Q45QT2,Thymosin beta OS=Danio rerio OX=7955 GN=tmsb4x PE=1 SV=1,1.36E-05,t-test,0.000117682,751094.3805,382577.5509,898380.6788,6862056.574,6480518.858,6723511.375,3.303749637,3.929289551
13,A2CG95,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Danio rerio OX=7955 GN=acadm PE=1 SV=1",1.19E-05,t-test,0.000115361,485023.0993,573874.2387,520040.8747,4652188.603,4567954.353,4758220.625,3.146168856,3.937941852
14,Q7ZV39,Voltage-dependent anion-selective channel protein 3 OS=Danio rerio OX=7955 GN=zgc:56235 PE=1 SV=1,0.000161028,t-test,0.000509483,206382.0286,174681.2253,187414.0487,1619737.756,1597117.538,1698374.625,3.112084249,3.292870331
15,Q7SXN1,Serine hydroxymethyltransferase OS=Danio rerio OX=7955 GN=shmt1 PE=1 SV=1,0.000941423,t-test,0.002088445,555098.6545,599590.0557,596098.814,5166898.618,4755450.916,5204849.875,3.111069003,2.680177011
16,Q7ZUM5,Heat shock 70 kDa protein 4 OS=Danio rerio OX=7955 GN=hspa4b PE=1 SV=1,8.30E-05,t-test,0.000346473,61409.50989,44499.46786,50677.19775,405048.9921,439993.5545,427092.2813,3.022222831,3.460330022
17,Q7ZUI5,Nucleoside diphosphate kinase OS=Danio rerio OX=7955 GN=nme4 PE=1 SV=1,8.78E-08,t-test,5.65E-06,515390.945,601757.6367,518209.2977,4079789.659,4141521.339,4167441.875,2.921352672,5.248004776
18,Q7SY54,Ethanolamine-phosphate phospho-lyase OS=Danio rerio OX=7955 GN=etnppl PE=2 SV=1,0.000166395,t-test,0.000517971,64667.23745,86603.38191,67539.63837,561479.9222,569727.7451,520182.1094,2.915928401,3.285694972
20,Q567K2,S-formylglutathione hydrolase OS=Danio rerio OX=7955 GN=esd PE=1 SV=1,3.30E-05,t-test,0.000179542,161736.7477,124017.3058,155339.2897,1043379.127,1032793.878,1101676.25,2.848894797,3.745834595
21,I3IRW7,"4-aminobutyrate aminotransferase, mitochondrial OS=Danio rerio OX=7955 GN=abat PE=1 SV=1",5.12E-07,t-test,1.86E-05,136724.0032,155680.9986,164369.8743,1033067.829,1020386.268,1039091.75,2.759239778,4.730558918
22,Q9PV90,Large ribosomal subunit protein uL10 OS=Danio rerio OX=7955 GN=rplp0 PE=2 SV=1,0.001153193,t-test,0.002342802,304091.4791,275287.7424,283618.994,1848356.342,1662428.796,1715297.656,2.598300499,2.630264387
23,Q6P3J9,Adenosine kinase OS=Danio rerio OX=7955 GN=adka PE=1 SV=1,3.01E-05,t-test,0.000170879,98624.77938,88542.58329,94394.25622,557686.1592,581111.6022,562326.0625,2.594965566,3.76731135
24,A0A8N7UTJ9,Galectin OS=Danio rerio OX=7955 GN=lgals3a PE=1 SV=1,1.10E-05,t-test,0.000115361,156595.2909,110129.3632,119500.4785,777327.6292,731839.9036,786228.0625,2.571228861,3.937941852
25,A0A8M2B2W0,Eukaryotic translation initiation factor 3 subunit C OS=Danio rerio OX=7955 GN=eif3c PE=1 SV=1,2.08E-05,t-test,0.000143349,96596.52152,88431.90132,77654.782,521875.3957,495701.4423,525830.875,2.554723354,3.843605169
26,D1MCG5,Tubulin alpha chain OS=Danio rerio OX=7955 GN=tuba8l5 PE=2 SV=1,0.0001278,t-test,0.000440452,653839.0104,580686.2818,562523.7826,3209338.421,3448646.461,3360914.75,2.479022355,3.356101351
28,A0A0R4IAX5,malate synthase OS=Danio rerio OX=7955 GN=ugl PE=1 SV=2,0.004500735,t-test,0.007324348,68094.48414,77213.05538,70319.23111,408243.1413,334181.7856,377305.6563,2.37654344,2.135231051
29,Q5PRC6,Bifunctional epoxide hydrolase 2 OS=Danio rerio OX=7955 GN=ephx2 PE=1 SV=1,8.44E-05,t-test,0.000346473,241239.9528,226934.5895,224337.9121,1230025.001,1177065.156,1185114.625,2.374957674,3.460330022
31,Q5XJ69,arylamine N-acetyltransferase OS=Danio rerio OX=7955 GN=zgc:103601 PE=1 SV=1,0.000335953,t-test,0.00092627,415873.4802,453302.4352,473530.9755,2266988.111,2135353.197,2315048.156,2.322756274,3.033262278
32,Q802X8,"Cytochrome P450, family 2, subfamily K, polypeptide 22 OS=Danio rerio OX=7955 GN=cyp2k22 PE=1 SV=1",5.20E-05,t-test,0.00023889,496117.941,457347.3666,505436.688,2244886.652,2288440.069,2364765.148,2.241314372,3.621801608
33,A0A0R4IPV5,Protein disulfide-isomerase OS=Danio rerio OX=7955 GN=p4hb PE=1 SV=2,0.000117438,t-test,0.00042054,222871.9609,229445.7368,181582.4462,928551.3837,945989.9094,938385.875,2.149744698,3.376192193
34,A4QP88,Far upstream element-binding protein 2 OS=Danio rerio OX=7955 GN=khsrp PE=1 SV=1,0.001976364,t-test,0.003774897,112149.6199,110349.6228,112350.035,457309.3375,513163.5738,501170.0625,2.13584395,2.423094947
35,Q6ZM13,"Hemoglobin, alpha adult 2 OS=Danio rerio OX=7955 GN=hbaa2 PE=1 SV=1",8.79E-05,t-test,0.000353364,73345.11,44592.13683,54725.65228,260341.347,233335.7601,257361.125,2.120928234,3.451777578
36,A0A8M2B233,Erbin isoform X1 OS=Danio rerio OX=7955 GN=erbin PE=1 SV=1,9.71E-05,t-test,0.000360305,2094545.503,2142490.662,2190142.96,9127619.012,9238798.002,9491044,2.115806188,3.443329553
38,Q5TZD3,Flavin-containing monooxygenase OS=Danio rerio OX=7955 GN=si:dkey-239i20.2 PE=1 SV=1,0.001557642,t-test,0.003067601,202771.112,201697.4261,202366.7635,725689.4692,696579.5607,658553.125,1.777776746,2.513201185
39,A0A8N7TBY9,Importin subunit alpha OS=Danio rerio OX=7955 GN=kpna1 PE=1 SV=1,0.002142649,t-test,0.003976263,180206.537,173897.5351,153436.4228,613617.0185,554622.7092,526065.375,1.739098852,2.400524915
40,Q6P0S5,Alcohol dehydrogenase 8a OS=Danio rerio OX=7955 GN=adh8a PE=1 SV=1,0.000120844,t-test,0.000424052,16016171.31,16196284.55,16420827.04,49435949.42,51040626.73,49550315.05,1.62520523,3.372581336
41,Q7SY23,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial OS=Danio rerio OX=7955 GN=aldh4a1 PE=2 SV=1",7.46E-08,t-test,5.65E-06,930508.9143,921614.6523,954361.0817,2882399.108,2845519.312,2842956,1.610678231,5.248004776
