URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.22.26 absorption remainder  2.seq/937.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	4.22.26 absorption remainder  2
Name	AB liver 6
Number	3
Position	RA3
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/26/2026 9:03:58 PM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003283
Time Max. (min)	107.503283
Data Points	32251
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-171,949.000000
Signal Max.	3,837,441.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /520 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003283	n.a.	-381.000000
0.006617	0.2	-381.000000
0.009950	0.2	-381.000000
0.013283	0.2	-381.000000
0.016617	0.2	-381.000000
0.019950	0.2	-381.000000
0.023283	0.2	-381.000000
0.026617	0.2	-381.000000
0.029950	0.2	-381.000000
0.033283	0.2	-381.000000
0.036617	0.2	-67,922.000000
0.039950	0.2	-67,997.000000
0.043283	0.2	-68,073.000000
0.046617	0.2	-68,114.000000
0.049950	0.2	-68,119.000000
0.053283	0.2	-68,099.000000
0.056617	0.2	-68,068.000000
0.059950	0.2	-68,038.000000
0.063283	0.2	-68,023.000000
0.066617	0.2	-68,029.000000
0.069950	0.2	-68,058.000000
0.073283	0.2	-68,099.000000
0.076617	0.2	-68,136.000000
0.079950	0.2	-68,175.000000
0.083283	0.2	-68,223.000000
0.086617	0.2	-68,283.000000
0.089950	0.2	-68,348.000000
0.093283	0.2	-68,404.000000
0.096617	0.2	-68,431.000000
0.099950	0.2	-68,413.000000
0.103283	0.2	-68,351.000000
0.106617	0.2	-68,255.000000
0.109950	0.2	-68,139.000000
0.113283	0.2	-68,017.000000
0.116617	0.2	-67,911.000000
0.119950	0.2	-67,843.000000
0.123283	0.2	-67,811.000000
0.126617	0.2	-67,804.000000
0.129950	0.2	-67,816.000000
0.133283	0.2	-67,843.000000
0.136617	0.2	-67,889.000000
0.139950	0.2	-67,960.000000
0.143283	0.2	-68,048.000000
0.146617	0.2	-68,138.000000
0.149950	0.2	-68,218.000000
0.153283	0.2	-68,280.000000
