URL	chrom://farber-hplc/test001/Josh/Mass_spec_extractions/5.30.23 lipid_cut_outs.seq/951.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	5.30.23 lipid_cut_outs
Name	5.3 c865 poop 1
Number	9
Position	RA6
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	5/31/2023 2:00:50 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.500750
Data Points	63845
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.668436
Signal Max.	26.929790
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.128
Average Step (s)	0.10102821

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.014805
0.001667	0.1	-0.016163
0.003333	0.1	-0.016527
0.005000	0.1	-0.016730
0.006667	0.1	-0.015045
0.008333	0.1	-0.010593
0.010000	0.1	-0.003442
0.011667	0.1	0.003544
0.013333	0.1	0.009983
0.015000	0.1	0.016460
0.016667	0.1	0.019796
0.018333	0.1	0.015892
0.020017	0.101	0.003845
0.021667	0.099	-0.009482
0.023333	0.1	-0.018172
0.025000	0.1	-0.023443
0.026667	0.1	-0.029542
0.028333	0.1	-0.039542
0.030000	0.1	-0.051243
0.032000	0.12	-0.060247
0.033667	0.1	-0.064395
0.035367	0.102	-0.065538
0.037000	0.098	-0.065212
0.038667	0.1	-0.064196
0.040333	0.1	-0.062492
0.042000	0.1	-0.065635
0.043667	0.1	-0.073570
0.045333	0.1	-0.077698
0.047000	0.1	-0.074941
0.048667	0.1	-0.070103
0.050333	0.1	-0.065794
0.052000	0.1	-0.060113
0.053667	0.1	-0.054470
0.055333	0.1	-0.050745
0.057000	0.1	-0.048706
0.058667	0.1	-0.044092
0.060333	0.1	-0.036303
0.062000	0.1	-0.028836
0.063667	0.1	-0.020989
0.065700	0.122	-0.010182
