URL	chrom://farber-hplc/test001/Josh/Mass_spec_extractions/5.30.23 lipid_cut_outs.seq/187.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	5.30.23 lipid_cut_outs
Name	5.3 nluc poop 1
Number	8
Position	RA5
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	5/31/2023 12:11:49 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.500317
Data Points	63845
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.452513
Signal Max.	80.921480
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.1010278

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.011274
0.001667	0.1	-0.002814
0.003333	0.1	0.005195
0.005017	0.101	0.011007
0.006667	0.099	0.016461
0.008333	0.1	0.012669
0.010000	0.1	-0.004479
0.011667	0.1	-0.019218
0.013333	0.1	-0.022157
0.015000	0.1	-0.019348
0.016683	0.101	-0.019450
0.018333	0.099	-0.025345
0.020000	0.1	-0.028401
0.021683	0.101	-0.022004
0.023333	0.099	-0.013514
0.025000	0.1	-0.010582
0.026667	0.1	-0.017687
0.028333	0.1	-0.035397
0.030333	0.12	-0.060569
0.031983	0.099	-0.084207
0.033650	0.1	-0.096486
0.035317	0.1	-0.095121
0.036983	0.1	-0.085688
0.038650	0.1	-0.076795
0.040317	0.1	-0.069775
0.041983	0.1	-0.061930
0.043650	0.1	-0.050870
0.045317	0.1	-0.038521
0.047000	0.101	-0.026370
0.048650	0.099	-0.019404
0.050317	0.1	-0.019986
0.051983	0.1	-0.023333
0.053650	0.1	-0.023306
0.055317	0.1	-0.018947
0.056983	0.1	-0.013033
0.058650	0.1	-0.009229
0.060317	0.1	-0.007776
0.061983	0.1	-0.006997
0.063983	0.12	-0.005526
0.065683	0.102	-0.003005
0.067317	0.098	0.000195
0.068983	0.1	0.003405
0.070650	0.1	0.005269
0.072317	0.1	0.003505
0.073983	0.1	0.002729
0.075650	0.1	0.006136
0.077317	0.1	0.008428
0.078983	0.1	0.007246
0.080650	0.1	0.005260
0.082350	0.102	0.004115
0.083983	0.098	0.003758
0.085650	0.1	0.003182
0.087317	0.1	0.002857
0.088983	0.1	0.002727
0.090650	0.1	-0.001819
0.092317	0.1	-0.010869
0.093983	0.1	-0.018046
0.095650	0.1	-0.019351
0.097667	0.121	-0.016963
0.099317	0.099	-0.014531
0.100983	0.1	-0.014998
