URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/6.1.23 Liver western diets 5.3 replicates.seq/284.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	6.1.23 Liver western diets 5.3 replicates
Name	5.3.23 c830 Poop1
Number	10
Position	RB2
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	6/2/2023 9:24:24 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.500750
Data Points	63846
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.522958
Signal Max.	38.445360
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.128
Average Step (s)	0.10102663

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.011024
0.001667	0.1	0.001718
0.003333	0.1	-0.003902
0.005000	0.1	-0.001227
0.006667	0.1	0.004035
0.008333	0.1	0.006037
0.010000	0.1	0.002838
0.011667	0.1	-0.003485
0.013333	0.1	-0.009513
0.015000	0.1	-0.011420
0.016667	0.1	-0.007312
0.018333	0.1	-0.002490
0.020000	0.1	-0.001168
0.021667	0.1	-0.001915
0.023333	0.1	-0.004680
0.025000	0.1	-0.012688
0.026667	0.1	-0.025373
0.028683	0.121	-0.036037
0.030333	0.099	-0.040651
0.032000	0.1	-0.040230
0.033667	0.1	-0.040287
0.035333	0.1	-0.045706
0.037000	0.1	-0.054599
0.038667	0.1	-0.064275
0.040350	0.101	-0.071230
0.042000	0.099	-0.072940
0.043667	0.1	-0.069825
0.045333	0.1	-0.062009
0.047000	0.1	-0.049876
0.048667	0.1	-0.038236
0.050333	0.1	-0.029892
0.052000	0.1	-0.026687
0.053667	0.1	-0.027739
0.055333	0.1	-0.028762
0.057000	0.1	-0.028586
0.058667	0.1	-0.025335
0.060333	0.1	-0.018937
0.062333	0.12	-0.011814
0.064017	0.101	-0.007809
0.065667	0.099	-0.007515
0.067333	0.1	-0.007446
0.069000	0.1	-0.010748
0.070667	0.1	-0.021443
0.072333	0.1	-0.033992
0.074000	0.1	-0.044334
0.075667	0.1	-0.058164
0.077333	0.1	-0.070669
0.079000	0.1	-0.071225
0.080667	0.1	-0.059947
0.082333	0.1	-0.043736
0.084000	0.1	-0.027101
0.085667	0.1	-0.014719
0.087333	0.1	-0.008047
0.089000	0.1	-0.006979
0.090667	0.1	-0.008154
0.092333	0.1	-0.010487
0.094000	0.1	-0.015030
0.096000	0.12	-0.022248
0.097667	0.1	-0.027157
