URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/8.4.23 7_12 livers and poop.seq/358.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	8.4.23 7_12 livers and poop
Name	Nluc poop 1 7.12.23
Number	6
Position	RB5
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD_end
Type	Unknown
Status	Finished
Inject Time	8/5/2023 9:44:19 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.500817
Data Points	63845
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.260464
Signal Max.	77.325360
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.128
Average Step (s)	0.10102827

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.018071
0.001667	0.1	0.025020
0.003333	0.1	0.029921
0.005000	0.1	0.034257
0.006667	0.1	0.035667
0.008333	0.1	0.033472
0.009983	0.099	0.027676
0.011650	0.1	0.017642
0.013317	0.1	0.005373
0.014983	0.1	-0.005089
0.016650	0.1	-0.012057
0.018317	0.1	-0.013176
0.019983	0.1	-0.010818
0.021650	0.1	-0.008035
0.023333	0.101	-0.004710
0.024983	0.099	-0.004498
0.026650	0.1	-0.009234
0.028317	0.1	-0.015821
0.029983	0.1	-0.022897
0.031650	0.1	-0.027486
0.033650	0.12	-0.030544
0.035317	0.1	-0.034751
0.036983	0.1	-0.040391
0.038683	0.102	-0.043281
0.040317	0.098	-0.042738
0.041983	0.1	-0.042209
0.043650	0.1	-0.044615
0.045317	0.1	-0.048147
0.046983	0.1	-0.046253
0.048650	0.1	-0.036490
0.050317	0.1	-0.024772
0.051983	0.1	-0.017858
0.053650	0.1	-0.015303
0.055317	0.1	-0.014588
0.056983	0.1	-0.014315
0.058650	0.1	-0.014075
0.060317	0.1	-0.012471
0.061983	0.1	-0.008061
0.063650	0.1	-0.000545
0.065317	0.1	0.010109
0.067383	0.124	0.017231
0.069100	0.103	0.015687
0.070767	0.1	0.006371
0.072433	0.1	-0.003370
0.074100	0.1	-0.008773
0.075800	0.102	-0.009963
0.077433	0.098	-0.009855
0.079100	0.1	-0.013136
0.080767	0.1	-0.019219
0.082433	0.1	-0.025532
0.084117	0.101	-0.031467
0.085767	0.099	-0.034715
0.087433	0.1	-0.031753
0.089100	0.1	-0.023137
0.090783	0.101	-0.013413
0.092433	0.099	-0.005013
0.094100	0.1	0.000707
0.095767	0.1	0.002632
0.097433	0.1	0.003363
0.099100	0.1	0.006354
0.101100	0.12	0.009538
0.102767	0.1	0.012062
0.104450	0.101	0.018918
0.106100	0.099	0.029668
0.107767	0.1	0.041877
0.109417	0.099	0.052789
0.111083	0.1	0.058333
0.112750	0.1	0.053215
0.114417	0.1	0.037926
0.116083	0.1	0.022835
0.117767	0.101	0.015558
0.119417	0.099	0.014467
0.121083	0.1	0.018153
0.122750	0.1	0.024808
0.124417	0.1	0.029164
0.126067	0.099	0.028176
0.127733	0.1	0.025364
0.129400	0.1	0.022712
0.131067	0.1	0.021973
0.132733	0.1	0.024297
0.134733	0.12	0.026893
0.136400	0.1	0.024481
0.138083	0.101	0.018218
0.139733	0.099	0.012120
0.141400	0.1	0.007015
0.143067	0.1	0.003753
0.144733	0.1	0.005664
0.146400	0.1	0.012049
0.148067	0.1	0.021654
0.149733	0.1	0.029116
0.151400	0.1	0.031662
0.153067	0.1	0.029985
0.154733	0.1	0.027524
0.156400	0.1	0.026277
0.158067	0.1	0.022431
0.159733	0.1	0.012863
0.161400	0.1	0.000781
0.163067	0.1	-0.007918
0.164733	0.1	-0.011220
0.166783	0.123	-0.010571
0.168400	0.097	-0.009122
0.170067	0.1	-0.004185
0.171733	0.1	0.004138
0.173400	0.1	0.008749
0.175067	0.1	0.008219
0.176733	0.1	0.008983
0.178400	0.1	0.014258
0.180067	0.1	0.018798
0.181733	0.1	0.019559
0.183400	0.1	0.018540
0.185067	0.1	0.012491
0.186733	0.1	0.001405
0.188400	0.1	-0.006074
0.190067	0.1	-0.004273
0.191733	0.1	0.003212
0.193400	0.1	0.010465
0.195067	0.1	0.015736
0.196733	0.1	0.019111
0.198400	0.1	0.020887
0.200400	0.12	0.019075
0.202067	0.1	0.011088
0.203733	0.1	-0.001878
0.205417	0.101	-0.016181
0.207083	0.1	-0.026727
0.208733	0.099	-0.027854
0.210400	0.1	-0.020819
0.212067	0.1	-0.010463
0.213733	0.1	-0.001381
0.215400	0.1	0.004415
0.217100	0.102	0.008176
0.218767	0.1	0.009295
0.220433	0.1	0.008510
0.222100	0.1	0.007177
0.223767	0.1	0.006554
0.225433	0.1	0.002701
0.227100	0.1	-0.005471
0.228767	0.1	-0.013121
0.230433	0.1	-0.014947
0.232100	0.1	-0.010865
0.234133	0.122	-0.007503
0.235767	0.098	-0.010606
0.237433	0.1	-0.017447
0.239117	0.101	-0.021347
0.240767	0.099	-0.019801
0.242433	0.1	-0.014218
0.244100	0.1	-0.007884
0.245767	0.1	-0.004212
0.247433	0.1	-0.001955
0.249100	0.1	0.002719
0.250767	0.1	0.007203
0.252433	0.1	0.006438
0.254100	0.1	0.000148
0.255767	0.1	-0.009072
0.257433	0.1	-0.014347
0.259083	0.099	-0.011469
0.260750	0.1	-0.003127
0.262417	0.1	0.006168
0.264083	0.1	0.013940
0.265750	0.1	0.018694
0.267750	0.12	0.020408
0.269417	0.1	0.019995
0.271083	0.1	0.019977
0.272750	0.1	0.019684
0.274417	0.1	0.016228
0.276067	0.099	0.010471
0.277733	0.1	0.009390
0.279400	0.1	0.015158
