URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.7.23 Fish Poop Remainder and Lewis Sample Rerun.seq/200.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	4.7.23 Fish Poop Remainder and Lewis Sample Rerun
Name	c830 3 poop
Number	7
Position	RA7
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/8/2023 2:12:06 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.500167
Data Points	63843
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.439532
Signal Max.	166.447100
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10103083

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.017066
0.001667	0.1	-0.014928
0.003333	0.1	-0.010265
0.005000	0.1	-0.002851
0.006667	0.1	-0.002315
0.008333	0.1	-0.009022
0.010000	0.1	-0.013049
0.011667	0.1	-0.009927
0.013333	0.1	-0.004457
0.015000	0.1	-0.002053
0.016667	0.1	-0.003060
0.018333	0.1	-0.004939
0.020000	0.1	-0.003214
0.021667	0.1	-0.004500
0.023333	0.1	-0.018127
0.025000	0.1	-0.032600
0.026667	0.1	-0.037556
0.028683	0.121	-0.032749
0.030333	0.099	-0.024104
0.032000	0.1	-0.018723
0.033667	0.1	-0.021929
0.035333	0.1	-0.032758
0.037000	0.1	-0.044233
0.038667	0.1	-0.051093
0.040317	0.099	-0.052892
0.041983	0.1	-0.049683
0.043650	0.1	-0.040639
0.045317	0.1	-0.025847
0.046983	0.1	-0.010671
0.048650	0.1	-0.004678
0.050317	0.1	-0.010037
0.051983	0.1	-0.017615
0.053650	0.1	-0.020863
0.055317	0.1	-0.020980
0.056967	0.099	-0.022040
0.058633	0.1	-0.024654
0.060300	0.1	-0.029563
0.062300	0.12	-0.033019
0.063983	0.101	-0.031326
0.065633	0.099	-0.030699
0.067333	0.102	-0.037912
0.068967	0.098	-0.041791
0.070650	0.101	-0.033348
0.072300	0.099	-0.019978
0.073967	0.1	-0.013479
0.075633	0.1	-0.020884
0.077317	0.101	-0.035923
0.078967	0.099	-0.050644
0.080633	0.1	-0.057484
0.082300	0.1	-0.050121
0.083967	0.1	-0.033729
0.085633	0.1	-0.026070
0.087300	0.1	-0.033677
0.088967	0.1	-0.041791
0.090633	0.1	-0.042277
0.092300	0.1	-0.037649
0.093967	0.1	-0.027433
0.095967	0.12	-0.010503
0.097633	0.1	0.008987
0.099300	0.1	0.021069
0.100967	0.1	0.022371
0.102633	0.1	0.017080
0.104317	0.101	0.009147
0.105967	0.099	0.003395
0.107633	0.1	0.001538
0.109300	0.1	-0.004613
0.110967	0.1	-0.016575
0.112633	0.1	-0.026725
0.114300	0.1	-0.031184
0.115967	0.1	-0.032831
0.117633	0.1	-0.027347
0.119300	0.1	-0.012686
0.121050	0.105	0.005191
0.122633	0.095	0.015877
0.124300	0.1	0.015434
0.125967	0.1	0.004298
0.127633	0.1	-0.010304
0.129700	0.124	-0.017307
0.131317	0.097	-0.015505
0.132967	0.099	-0.008926
0.134633	0.1	-0.001634
0.136300	0.1	0.003792
0.137983	0.101	0.009595
0.139633	0.099	0.014498
0.141300	0.1	0.014825
0.142967	0.1	0.013199
0.144633	0.1	0.016157
0.146300	0.1	0.021525
0.147967	0.1	0.021542
0.149633	0.1	0.014574
0.151300	0.1	0.006316
0.152967	0.1	-0.000330
0.154633	0.1	-0.006565
0.156333	0.102	-0.012017
0.158000	0.1	-0.019733
0.159667	0.1	-0.025605
0.161333	0.1	-0.028319
0.163333	0.12	-0.032512
0.165000	0.1	-0.037065
0.166700	0.102	-0.041492
0.168333	0.098	-0.039885
0.170000	0.1	-0.030857
0.171683	0.101	-0.020077
0.173333	0.099	-0.009227
0.175000	0.1	0.002288
0.176667	0.1	0.012019
0.178333	0.1	0.014173
0.180000	0.1	0.005734
0.181667	0.1	-0.007126
0.183333	0.1	-0.012932
0.185000	0.1	-0.004529
0.186667	0.1	0.013127
0.188333	0.1	0.025482
0.190000	0.1	0.022323
0.191683	0.101	0.006960
0.193333	0.099	-0.012530
0.195000	0.1	-0.023255
0.197033	0.122	-0.017953
0.198717	0.101	-0.000043
0.200383	0.1	0.015728
0.202067	0.101	0.021508
0.203717	0.099	0.020595
0.205383	0.1	0.018564
0.207050	0.1	0.019066
0.208717	0.1	0.022457
0.210383	0.1	0.019918
0.212050	0.1	0.001929
0.213717	0.1	-0.018462
0.215383	0.1	-0.025364
0.217050	0.1	-0.018630
0.218717	0.1	-0.007466
0.220383	0.1	-0.001384
0.222050	0.1	-0.002428
0.223717	0.1	-0.000796
0.225383	0.1	0.004270
0.227050	0.1	0.007383
0.229100	0.123	0.006114
0.230717	0.097	0.000348
0.232383	0.1	-0.008025
0.234050	0.1	-0.018864
0.235717	0.1	-0.036258
0.237383	0.1	-0.055768
0.239050	0.1	-0.063610
0.240717	0.1	-0.059567
0.242383	0.1	-0.048162
0.244050	0.1	-0.037634
0.245717	0.1	-0.037747
0.247383	0.1	-0.042630
0.249050	0.1	-0.038347
0.250717	0.1	-0.027065
0.252383	0.1	-0.017410
0.254050	0.1	-0.011389
0.255717	0.1	-0.006077
0.257383	0.1	0.003600
0.259100	0.103	0.013852
0.260717	0.097	0.020760
0.262717	0.12	0.027672
0.264383	0.1	0.036628
0.266050	0.1	0.038425
0.267767	0.103	0.031283
0.269383	0.097	0.022795
0.271050	0.1	0.016417
0.272717	0.1	0.005809
0.274383	0.1	-0.006523
0.276050	0.1	-0.009078
0.277717	0.1	-0.008049
0.279383	0.1	-0.010465
0.281050	0.1	-0.016605
0.282717	0.1	-0.019340
0.284383	0.1	-0.013840
0.286050	0.1	-0.005851
0.287717	0.1	-0.002398
0.289383	0.1	-0.006368
0.291050	0.1	-0.012542
0.292717	0.1	-0.015923
0.294383	0.1	-0.012446
0.296383	0.12	-0.003522
0.298050	0.1	0.005026
0.299717	0.1	0.004635
0.301383	0.1	-0.003611
0.303050	0.1	-0.010944
0.304717	0.1	-0.012954
0.306417	0.102	-0.010211
0.308083	0.1	-0.005047
0.309750	0.1	-0.006563
0.311417	0.1	-0.024311
0.313100	0.101	-0.046473
0.314750	0.099	-0.054119
0.316417	0.1	-0.041494
0.318083	0.1	-0.017257
0.319750	0.1	0.007020
0.321417	0.1	0.022966
0.323083	0.1	0.023534
0.324750	0.1	0.011012
0.326417	0.1	-0.004304
0.328083	0.1	-0.015147
0.330083	0.12	-0.019467
0.331750	0.1	-0.025635
0.333417	0.1	-0.035792
0.335083	0.1	-0.039429
0.336750	0.1	-0.031620
0.338417	0.1	-0.018649
0.340083	0.1	-0.010418
0.341750	0.1	-0.008887
0.343417	0.1	-0.009307
0.345083	0.1	-0.006756
0.346750	0.1	-0.003410
0.348417	0.1	-0.004716
0.350083	0.1	-0.012423
0.351750	0.1	-0.023225
0.353417	0.1	-0.034125
0.355083	0.1	-0.038991
0.356733	0.099	-0.033011
0.358400	0.1	-0.022882
0.360067	0.1	-0.020764
0.361733	0.1	-0.029165
0.363750	0.121	-0.035323
0.365400	0.099	-0.031569
0.367083	0.101	-0.021535
0.368733	0.099	-0.008664
0.370417	0.101	0.004708
0.372067	0.099	0.014607
0.373733	0.1	0.010742
0.375383	0.099	-0.007487
0.377067	0.101	-0.020430
0.378717	0.099	-0.018188
0.380400	0.101	-0.007937
0.382050	0.099	0.003673
0.383733	0.101	0.010456
0.385383	0.099	0.008627
0.387067	0.101	-0.002392
0.388717	0.099	-0.010222
0.390383	0.1	-0.009857
0.392050	0.1	-0.011622
0.393717	0.1	-0.021582
0.395383	0.1	-0.029897
0.397500	0.127	-0.031056
0.399167	0.1	-0.030345
0.400833	0.1	-0.031461
0.402500	0.1	-0.034478
0.404167	0.1	-0.035749
0.405833	0.1	-0.034448
0.407517	0.101	-0.033157
0.409167	0.099	-0.035301
0.410833	0.1	-0.043519
0.412500	0.1	-0.058482
0.414167	0.1	-0.077902
0.415850	0.101	-0.092309
0.417500	0.099	-0.094971
0.419167	0.1	-0.091131
0.420833	0.1	-0.083366
0.422500	0.1	-0.071103
0.424167	0.1	-0.056149
0.425833	0.1	-0.044294
0.427500	0.1	-0.038507
0.429500	0.12	-0.034612
0.431167	0.1	-0.033955
0.432833	0.1	-0.035022
0.434533	0.102	-0.027247
0.436183	0.099	-0.010019
0.437833	0.099	0.010451
0.439500	0.1	0.026818
0.441167	0.1	0.031022
0.442833	0.1	0.025610
0.444500	0.1	0.016339
0.446167	0.1	0.003077
0.447833	0.1	-0.009165
0.449500	0.1	-0.010420
0.451167	0.1	-0.000389
0.452833	0.1	0.012105
0.454500	0.1	0.017435
0.456150	0.099	0.010486
0.457817	0.1	-0.008834
0.459483	0.1	-0.029811
0.461150	0.1	-0.040917
0.463150	0.12	-0.039835
0.464833	0.101	-0.025552
0.466483	0.099	-0.004731
0.468150	0.1	0.012534
0.469817	0.1	0.025099
0.471483	0.1	0.029591
0.473133	0.099	0.017989
0.474800	0.1	-0.007619
0.476467	0.1	-0.031461
0.478133	0.1	-0.041484
0.479800	0.1	-0.040961
0.481467	0.1	-0.037018
0.483133	0.1	-0.032373
0.484800	0.1	-0.024029
0.486467	0.1	-0.011283
0.488133	0.1	0.002011
0.489800	0.1	0.012509
0.491467	0.1	0.016806
0.493133	0.1	0.014885
0.494800	0.1	0.011096
0.496800	0.12	0.007785
0.498467	0.1	0.004562
0.500167	0.102	-0.000394
0.501800	0.098	-0.005973
0.503467	0.1	-0.012538
0.505133	0.1	-0.019544
0.506800	0.1	-0.026627
0.508467	0.1	-0.030344
0.510133	0.1	-0.030757
0.511800	0.1	-0.029890
0.513467	0.1	-0.022546
0.515133	0.1	-0.008723
0.516800	0.1	0.003660
0.518467	0.1	0.010133
0.520133	0.1	0.004762
0.521800	0.1	-0.009655
0.523467	0.1	-0.020294
0.525133	0.1	-0.021267
0.526800	0.1	-0.016685
0.528467	0.1	-0.009788
0.530483	0.121	-0.002073
0.532133	0.099	0.002112
