URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/3.28.23 Liver Western Diet rnd2 %26 poop rnd2 march 16 samples.seq/237.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	3.28.23 Liver Western Diet rnd2 & poop rnd2 march 16 samples
Name	c830 extra poop
Number	7
Position	RA7
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	3/29/2023 2:49:06 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.500983
Data Points	63843
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.148373
Signal Max.	117.181900
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10103159

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.013701
0.001667	0.1	-0.021636
0.003333	0.1	-0.029015
0.005000	0.1	-0.033898
0.006667	0.1	-0.035468
0.008333	0.1	-0.033437
0.010000	0.1	-0.027661
0.011667	0.1	-0.022070
0.013333	0.1	-0.020578
0.015000	0.1	-0.023876
0.016667	0.1	-0.030658
0.018333	0.1	-0.038031
0.020000	0.1	-0.045391
0.021667	0.1	-0.055330
0.023333	0.1	-0.070493
0.025000	0.1	-0.090150
0.026717	0.103	-0.108966
0.028333	0.097	-0.122061
0.030000	0.1	-0.133095
0.032083	0.125	-0.142921
0.033783	0.102	-0.148373
0.035417	0.098	-0.147102
0.037083	0.1	-0.138900
0.038800	0.103	-0.125035
0.040417	0.097	-0.110268
0.042083	0.1	-0.100185
0.043750	0.1	-0.095957
0.045417	0.1	-0.092937
0.047083	0.1	-0.089486
0.048750	0.1	-0.086094
0.050417	0.1	-0.087931
0.052083	0.1	-0.094090
0.053750	0.1	-0.098652
0.055417	0.1	-0.098077
0.057083	0.1	-0.092143
0.058750	0.1	-0.086063
0.060417	0.1	-0.083814
0.062083	0.1	-0.081377
0.063750	0.1	-0.074648
0.065750	0.12	-0.065863
0.067417	0.1	-0.061050
0.069083	0.1	-0.058610
0.070783	0.102	-0.053813
0.072417	0.098	-0.046504
0.074083	0.1	-0.043539
0.075750	0.1	-0.047658
0.077417	0.1	-0.053731
0.079083	0.1	-0.059803
0.080750	0.1	-0.069686
0.082417	0.1	-0.082000
0.084083	0.1	-0.089157
0.085750	0.1	-0.088750
0.087417	0.1	-0.083200
0.089083	0.1	-0.073484
0.090750	0.1	-0.060726
0.092417	0.1	-0.046351
0.094083	0.1	-0.032976
0.095750	0.1	-0.023755
0.097417	0.1	-0.021038
0.099417	0.12	-0.020889
0.101083	0.1	-0.020376
0.102750	0.1	-0.020331
0.104417	0.1	-0.021771
0.106083	0.1	-0.023669
0.107750	0.1	-0.023668
0.109417	0.1	-0.024884
0.111083	0.1	-0.035072
0.112750	0.1	-0.052514
0.114417	0.1	-0.067238
0.116083	0.1	-0.069164
0.117750	0.1	-0.057790
0.119417	0.1	-0.041047
0.121083	0.1	-0.028064
0.122750	0.1	-0.023226
0.124417	0.1	-0.023150
0.126083	0.1	-0.023895
0.127750	0.1	-0.022525
0.129417	0.1	-0.020566
0.131083	0.1	-0.019314
0.133083	0.12	-0.018683
0.134750	0.1	-0.019824
0.136417	0.1	-0.020751
0.138083	0.1	-0.019146
0.139750	0.1	-0.016231
0.141417	0.1	-0.017807
0.143083	0.1	-0.023811
0.144750	0.1	-0.031005
0.146417	0.1	-0.037202
0.148083	0.1	-0.039957
0.149750	0.1	-0.039495
0.151417	0.1	-0.036209
0.153083	0.1	-0.032522
0.154750	0.1	-0.033902
0.156417	0.1	-0.040246
0.158083	0.1	-0.044348
0.159750	0.1	-0.041686
0.161417	0.1	-0.033354
0.163083	0.1	-0.023600
0.164750	0.1	-0.016805
0.166800	0.123	-0.014204
0.168417	0.097	-0.018089
0.170083	0.1	-0.027485
0.171750	0.1	-0.034384
0.173417	0.1	-0.035979
0.175083	0.1	-0.033786
0.176750	0.1	-0.028617
0.178417	0.1	-0.020175
0.180083	0.1	-0.010703
0.181750	0.1	-0.003734
0.183417	0.1	-0.000215
0.185083	0.1	0.002480
0.186750	0.1	0.003445
0.188417	0.1	-0.002849
0.190083	0.1	-0.012474
0.191750	0.1	-0.019409
0.193417	0.1	-0.021212
0.195083	0.1	-0.021071
0.196750	0.1	-0.022189
0.198417	0.1	-0.026933
0.200533	0.127	-0.032127
0.202217	0.101	-0.032544
0.203850	0.098	-0.030946
0.205517	0.1	-0.028494
0.207167	0.099	-0.025529
0.208850	0.101	-0.023445
0.210500	0.099	-0.022260
0.212183	0.101	-0.021335
0.213833	0.099	-0.020023
0.215517	0.101	-0.018962
0.217167	0.099	-0.018931
0.218850	0.101	-0.020220
0.220500	0.099	-0.023746
0.222183	0.101	-0.027609
0.223833	0.099	-0.030331
0.225517	0.101	-0.029757
0.227167	0.099	-0.025228
0.228850	0.101	-0.021769
0.230500	0.099	-0.021080
