URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/8.4.23 7_12 livers and poop.seq/747.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	8.4.23 7_12 livers and poop
Name	 c830 poop 1 7.12.23
Number	5
Position	RB4
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	8/5/2023 7:55:18 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.500433
Data Points	63846
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.328552
Signal Max.	25.191200
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.128
Average Step (s)	0.10102633

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.014048
0.001650	0.099	0.013516
0.003317	0.1	0.013119
0.004983	0.1	0.008430
0.006650	0.1	-0.000407
0.008317	0.1	-0.004755
0.009983	0.1	-0.003313
0.011650	0.1	0.000204
0.013317	0.1	0.002901
0.014983	0.1	0.000298
0.016650	0.1	-0.010036
0.018317	0.1	-0.021620
0.019983	0.1	-0.030148
0.021650	0.1	-0.033418
0.023317	0.1	-0.032504
0.024983	0.1	-0.031363
0.026650	0.1	-0.034124
0.028317	0.1	-0.040918
0.030317	0.12	-0.049226
0.031983	0.1	-0.063429
0.033650	0.1	-0.082768
0.035317	0.1	-0.095952
0.036983	0.1	-0.095620
0.038650	0.1	-0.083805
0.040317	0.1	-0.068897
0.041983	0.1	-0.059542
0.043650	0.1	-0.057006
0.045317	0.1	-0.057536
0.046983	0.1	-0.056383
0.048650	0.1	-0.050126
0.050317	0.1	-0.041603
0.051983	0.1	-0.033453
0.053650	0.1	-0.027974
0.055317	0.1	-0.027076
0.056983	0.1	-0.028108
0.058650	0.1	-0.025450
0.060317	0.1	-0.021251
0.061983	0.1	-0.021179
0.064067	0.125	-0.023286
0.065650	0.095	-0.028565
0.067317	0.1	-0.035113
0.068983	0.1	-0.034977
0.070650	0.1	-0.025892
0.072317	0.1	-0.013916
0.073983	0.1	-0.005404
0.075650	0.1	-0.003313
0.077317	0.1	-0.005793
