URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.7.23 Fish Poop Remainder and Lewis Sample Rerun.seq/627.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	4.7.23 Fish Poop Remainder and Lewis Sample Rerun
Name	c8301 poop
Number	5
Position	RA5
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/7/2023 10:34:04 PM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.501533
Data Points	63843
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.470149
Signal Max.	139.492600
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10103211

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.021855
0.001667	0.1	0.016839
0.003333	0.1	0.015170
0.005000	0.1	0.016336
0.006667	0.1	0.016868
0.008333	0.1	0.012607
0.010000	0.1	0.012238
0.011667	0.1	0.023479
0.013333	0.1	0.044135
0.015000	0.1	0.066392
0.016667	0.1	0.083038
0.018333	0.1	0.091951
0.020000	0.1	0.089277
0.021667	0.1	0.068742
0.023333	0.1	0.038794
0.025000	0.1	0.012488
0.026667	0.1	-0.004678
0.028667	0.12	-0.015307
0.030367	0.102	-0.023116
0.032033	0.1	-0.026319
0.033700	0.1	-0.025437
0.035367	0.1	-0.023020
0.037033	0.1	-0.020759
0.038700	0.1	-0.020680
0.040367	0.1	-0.022906
0.042033	0.1	-0.027240
0.043700	0.1	-0.027806
0.045367	0.1	-0.022995
0.047033	0.1	-0.025014
0.048700	0.1	-0.045695
0.050367	0.1	-0.070884
0.052033	0.1	-0.082980
0.053700	0.1	-0.080336
0.055367	0.1	-0.071349
0.057033	0.1	-0.067042
0.058700	0.1	-0.063689
0.060367	0.1	-0.053079
0.062367	0.12	-0.041351
0.064067	0.102	-0.040751
0.065717	0.099	-0.044498
0.067367	0.099	-0.042533
0.069033	0.1	-0.034061
0.070700	0.1	-0.024673
0.072367	0.1	-0.015941
0.074067	0.102	-0.009084
