URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.7.23 Fish Poop Remainder and Lewis Sample Rerun.seq/657.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	4.7.23 Fish Poop Remainder and Lewis Sample Rerun
Name	c865 2 poop
Number	4
Position	RA4
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/7/2023 8:45:02 PM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.500833
Data Points	63839
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.339231
Signal Max.	160.764900
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10103778

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.021158
0.001683	0.101	0.001928
0.003333	0.099	-0.010122
0.005017	0.101	-0.015708
0.006667	0.099	-0.020881
0.008350	0.101	-0.025963
0.010000	0.099	-0.028123
0.011683	0.101	-0.025042
0.013333	0.099	-0.017295
0.015000	0.1	-0.008598
0.016667	0.1	-0.003182
0.018350	0.101	-0.008907
0.020000	0.099	-0.026304
0.021683	0.101	-0.045413
0.023333	0.099	-0.054614
0.025000	0.1	-0.050215
0.026667	0.1	-0.037149
0.028333	0.1	-0.022187
0.030000	0.1	-0.011446
0.032000	0.12	-0.008172
0.033667	0.1	-0.012813
0.035333	0.1	-0.020731
0.037000	0.1	-0.025844
0.038667	0.1	-0.023984
0.040333	0.1	-0.020662
0.042000	0.1	-0.018094
0.043667	0.1	-0.010745
0.045333	0.1	-0.001093
0.047000	0.1	0.010465
0.048667	0.1	0.022190
0.050333	0.1	0.027442
0.052000	0.1	0.019802
0.053667	0.1	-0.000761
0.055333	0.1	-0.019094
0.057000	0.1	-0.023837
0.058667	0.1	-0.021202
0.060333	0.1	-0.021800
0.062000	0.1	-0.026846
0.063667	0.1	-0.038048
0.065667	0.12	-0.048531
0.067333	0.1	-0.051518
0.069033	0.102	-0.044357
0.070667	0.098	-0.030861
0.072333	0.1	-0.019194
0.074000	0.1	-0.012343
0.075667	0.1	-0.009580
0.077333	0.1	-0.007926
0.079000	0.1	-0.006778
0.080667	0.1	-0.011858
0.082333	0.1	-0.022094
0.084000	0.1	-0.027799
0.085667	0.1	-0.025575
0.087333	0.1	-0.017322
0.089000	0.1	-0.008201
0.090667	0.1	-0.004060
0.092333	0.1	-0.006839
0.094000	0.1	-0.022356
0.095667	0.1	-0.047969
0.097333	0.1	-0.065528
0.099333	0.12	-0.063442
0.101033	0.102	-0.049612
0.102667	0.098	-0.033318
0.104333	0.1	-0.024595
0.106000	0.1	-0.025250
0.107667	0.1	-0.026825
0.109333	0.1	-0.020808
0.111000	0.1	-0.006905
0.112667	0.1	0.007356
0.114333	0.1	0.017637
0.116000	0.1	0.021957
0.117667	0.1	0.016981
0.119333	0.1	0.009886
0.121000	0.1	0.007842
0.122667	0.1	0.009798
0.124333	0.1	0.011882
0.126000	0.1	0.005177
0.127667	0.1	-0.015001
0.129333	0.1	-0.036287
0.131000	0.1	-0.040083
0.133000	0.12	-0.027762
0.134667	0.1	-0.019754
0.136333	0.1	-0.030877
0.138000	0.1	-0.050722
0.139667	0.1	-0.062332
0.141383	0.103	-0.058453
0.143000	0.097	-0.043665
0.144667	0.1	-0.026254
0.146333	0.1	-0.010695
0.148033	0.102	0.000316
0.149700	0.1	0.003260
0.151367	0.1	-0.006509
0.153033	0.1	-0.019455
0.154700	0.1	-0.027367
0.156367	0.1	-0.031641
0.158033	0.1	-0.033943
0.159700	0.1	-0.034332
0.161367	0.1	-0.033617
0.163033	0.1	-0.030492
0.165100	0.124	-0.028026
0.166750	0.099	-0.027052
0.168417	0.1	-0.020649
0.170083	0.1	-0.006701
0.171767	0.101	0.008357
0.173417	0.099	0.018336
0.175083	0.1	0.023646
0.176767	0.101	0.029257
0.178417	0.099	0.035031
0.180083	0.1	0.029926
0.181750	0.1	0.007551
0.183417	0.1	-0.020064
0.185083	0.1	-0.034113
0.186750	0.1	-0.029196
0.188417	0.1	-0.015077
0.190083	0.1	-0.003738
0.191750	0.1	0.000335
0.193417	0.1	-0.000265
0.195083	0.1	-0.000880
0.196750	0.1	0.003179
0.198750	0.12	0.008828
0.200417	0.1	0.010963
0.202083	0.1	0.006791
0.203750	0.1	0.001914
0.205417	0.1	-0.000541
0.207083	0.1	0.001944
0.208750	0.1	0.006327
0.210417	0.1	0.004058
0.212083	0.1	-0.005774
0.213750	0.1	-0.010176
0.215417	0.1	-0.005705
0.217083	0.1	-0.002210
0.218750	0.1	-0.003292
0.220417	0.1	-0.002548
0.222083	0.1	0.004106
0.223750	0.1	0.010730
0.225417	0.1	0.010104
0.227083	0.1	-0.003418
0.228750	0.1	-0.024382
0.230450	0.102	-0.043919
0.232450	0.12	-0.056400
0.234117	0.1	-0.059188
0.235783	0.1	-0.053768
0.237467	0.101	-0.047747
0.239117	0.099	-0.046130
0.240783	0.1	-0.047986
0.242450	0.1	-0.048132
0.244117	0.1	-0.041357
0.245783	0.1	-0.021427
0.247450	0.1	0.004314
0.249117	0.1	0.020985
0.250783	0.1	0.024472
0.252450	0.1	0.014531
0.254133	0.101	-0.003904
0.255783	0.099	-0.018013
0.257450	0.1	-0.019779
0.259117	0.1	-0.010878
0.260783	0.1	-0.002019
0.262450	0.1	0.003952
0.264117	0.1	0.008488
0.266150	0.122	0.008609
0.267817	0.1	0.004444
0.269450	0.098	-0.001323
