URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/3.28.23 Liver Western Diet rnd2 %26 poop rnd2 march 16 samples.seq/472.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	3.28.23 Liver Western Diet rnd2 & poop rnd2 march 16 samples
Name	c865 poop 1
Number	10
Position	RB2
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	3/29/2023 8:16:10 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.501400
Data Points	63839
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.088519
Signal Max.	127.275300
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.128
Average Step (s)	0.10103832

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.013774
0.001667	0.1	-0.011144
0.003333	0.1	-0.013820
0.005000	0.1	-0.022251
0.006700	0.102	-0.035392
0.008333	0.098	-0.047587
0.010017	0.101	-0.052331
0.011667	0.099	-0.048630
0.013333	0.1	-0.041629
0.015000	0.1	-0.036815
0.016667	0.1	-0.033048
0.018333	0.1	-0.027054
0.019983	0.099	-0.019297
0.021650	0.1	-0.016187
0.023350	0.102	-0.020898
0.024983	0.098	-0.027213
0.026667	0.101	-0.030496
0.028317	0.099	-0.032111
0.030367	0.123	-0.030784
0.031983	0.097	-0.022949
0.033667	0.101	-0.013989
0.035317	0.099	-0.010446
0.037000	0.101	-0.014029
0.038633	0.098	-0.022741
0.040300	0.1	-0.030476
0.041967	0.1	-0.032498
0.043633	0.1	-0.029370
0.045300	0.1	-0.023270
0.046967	0.1	-0.017486
0.048633	0.1	-0.011461
0.050300	0.1	-0.005475
0.051967	0.1	-0.003745
0.053633	0.1	-0.008347
0.055300	0.1	-0.015937
0.056967	0.1	-0.022355
0.058683	0.103	-0.025276
0.060300	0.097	-0.027954
0.061967	0.1	-0.033886
0.063967	0.12	-0.040524
0.065633	0.1	-0.042448
0.067300	0.1	-0.037465
0.068983	0.101	-0.029218
0.070667	0.101	-0.022834
0.072300	0.098	-0.020635
0.073967	0.1	-0.022013
0.075633	0.1	-0.023656
0.077300	0.1	-0.022585
0.078967	0.1	-0.019625
0.080633	0.1	-0.022354
0.082300	0.1	-0.031840
0.083967	0.1	-0.038591
0.085633	0.1	-0.036707
0.087300	0.1	-0.027320
0.088967	0.1	-0.018043
0.090633	0.1	-0.014698
0.092300	0.1	-0.012444
0.094000	0.102	-0.007955
0.095633	0.098	-0.003266
0.097633	0.12	0.004201
0.099300	0.1	0.017537
0.101000	0.102	0.032191
0.102633	0.098	0.041187
0.104300	0.1	0.041980
0.105967	0.1	0.037848
0.107633	0.1	0.036533
0.109300	0.1	0.040969
0.110967	0.1	0.046369
0.112633	0.1	0.048125
0.114300	0.1	0.043199
0.115967	0.1	0.034878
0.117633	0.1	0.030270
0.119300	0.1	0.028917
0.120967	0.1	0.027909
0.122633	0.1	0.025756
0.124300	0.1	0.022860
0.125967	0.1	0.020613
0.127633	0.1	0.018185
0.129300	0.1	0.013898
0.131317	0.121	0.010398
0.132983	0.1	0.007717
0.134633	0.099	0.001077
0.136350	0.103	-0.006811
0.138017	0.1	-0.009728
0.139633	0.097	-0.008821
0.141300	0.1	-0.006463
0.142967	0.1	-0.003936
0.144633	0.1	-0.003098
0.146300	0.1	-0.004812
0.147967	0.1	-0.007351
0.149633	0.1	-0.008401
0.151300	0.1	-0.008857
0.153000	0.102	-0.012989
0.154667	0.1	-0.021071
0.156333	0.1	-0.027612
0.158000	0.1	-0.027496
0.159667	0.1	-0.022787
0.161333	0.1	-0.018355
0.163000	0.1	-0.015787
0.165000	0.12	-0.013154
0.166667	0.1	-0.008684
0.168333	0.1	-0.006502
0.170000	0.1	-0.008481
0.171667	0.1	-0.013159
0.173333	0.1	-0.022336
0.175000	0.1	-0.035643
0.176683	0.101	-0.045690
0.178333	0.099	-0.048369
0.180000	0.1	-0.044906
0.181667	0.1	-0.037919
0.183333	0.1	-0.033430
0.185000	0.1	-0.032220
0.186667	0.1	-0.032770
0.188333	0.1	-0.033171
0.190000	0.1	-0.030644
0.191667	0.1	-0.026546
0.193350	0.101	-0.024841
0.195000	0.099	-0.028967
0.196667	0.1	-0.035487
0.198667	0.12	-0.042806
0.200333	0.1	-0.057169
0.202000	0.1	-0.075064
0.203650	0.099	-0.081025
0.205317	0.1	-0.070444
0.206983	0.1	-0.053138
0.208650	0.1	-0.043079
0.210317	0.1	-0.042175
0.211983	0.1	-0.043342
0.213650	0.1	-0.045309
0.215317	0.1	-0.046545
0.216983	0.1	-0.046467
0.218650	0.1	-0.045149
0.220300	0.099	-0.040084
0.221967	0.1	-0.034103
0.223633	0.1	-0.037278
0.225300	0.1	-0.050396
0.226983	0.101	-0.062953
0.228633	0.099	-0.068746
0.230633	0.12	-0.066244
0.232300	0.1	-0.055825
0.233967	0.1	-0.046114
0.235633	0.1	-0.043818
0.237300	0.1	-0.047386
0.238967	0.1	-0.052927
0.240633	0.1	-0.061511
0.242300	0.1	-0.069060
0.244000	0.102	-0.068306
0.245633	0.098	-0.057451
0.247300	0.1	-0.041783
0.248967	0.1	-0.028806
0.250633	0.1	-0.020732
0.252300	0.1	-0.017307
0.253967	0.1	-0.021029
0.255633	0.1	-0.032197
0.257300	0.1	-0.040594
0.258967	0.1	-0.040291
0.260633	0.1	-0.035955
0.262300	0.1	-0.038711
0.264300	0.12	-0.048029
0.265967	0.1	-0.054110
0.267667	0.102	-0.055540
0.269300	0.098	-0.054986
0.271017	0.103	-0.052161
0.272633	0.097	-0.047612
0.274300	0.1	-0.042652
0.275967	0.1	-0.041133
0.277633	0.1	-0.039821
0.279350	0.103	-0.033956
0.281083	0.104	-0.024297
0.282767	0.101	-0.014661
0.284417	0.099	-0.008981
0.286100	0.101	-0.009563
0.287750	0.099	-0.015685
0.289433	0.101	-0.025301
0.291083	0.099	-0.030773
0.292767	0.101	-0.027213
0.294433	0.1	-0.015590
0.296100	0.1	-0.004023
0.298083	0.119	-0.003449
0.299750	0.1	-0.013891
0.301417	0.1	-0.025786
0.303067	0.099	-0.032248
0.304733	0.1	-0.035548
0.306400	0.1	-0.038287
0.308067	0.1	-0.037842
0.309733	0.1	-0.034795
0.311400	0.1	-0.030324
0.313067	0.1	-0.023511
0.314733	0.1	-0.015651
0.316400	0.1	-0.011940
0.318067	0.1	-0.017388
0.319717	0.099	-0.029009
0.321383	0.1	-0.036380
0.323050	0.1	-0.036596
0.324717	0.1	-0.033024
0.326383	0.1	-0.027680
0.328050	0.1	-0.022683
0.329717	0.1	-0.019317
0.331733	0.121	-0.019796
0.333417	0.101	-0.023743
0.335083	0.1	-0.025330
0.336717	0.098	-0.022129
0.338383	0.1	-0.018245
0.340083	0.102	-0.015938
0.341717	0.098	-0.016659
0.343400	0.101	-0.019966
0.345050	0.099	-0.024746
0.346717	0.1	-0.028579
0.348383	0.1	-0.029070
0.350050	0.1	-0.027544
0.351717	0.1	-0.025279
0.353383	0.1	-0.019207
0.355050	0.1	-0.008135
0.356717	0.1	0.002024
0.358383	0.1	0.004559
0.360067	0.101	0.000130
0.361717	0.099	-0.006702
0.363383	0.1	-0.012612
0.365383	0.12	-0.015176
0.367067	0.101	-0.017378
0.368717	0.099	-0.020828
0.370383	0.1	-0.023807
0.372050	0.1	-0.024044
0.373717	0.1	-0.021770
0.375383	0.1	-0.020158
0.377050	0.1	-0.018395
0.378717	0.1	-0.016046
0.380383	0.1	-0.015118
0.382050	0.1	-0.016087
0.383717	0.1	-0.016844
0.385383	0.1	-0.016521
0.387050	0.1	-0.015699
0.388717	0.1	-0.014801
0.390383	0.1	-0.013780
0.392050	0.1	-0.013218
0.393717	0.1	-0.018290
0.395383	0.1	-0.027968
0.397467	0.125	-0.034008
0.399117	0.099	-0.032151
0.400717	0.096	-0.027692
0.402383	0.1	-0.027098
0.404050	0.1	-0.030530
0.405717	0.1	-0.032938
0.407383	0.1	-0.030822
0.409050	0.1	-0.024874
0.410717	0.1	-0.020960
0.412383	0.1	-0.022260
0.414050	0.1	-0.022618
0.415717	0.1	-0.019329
0.417383	0.1	-0.014527
0.419050	0.1	-0.011386
0.420750	0.102	-0.011435
0.422417	0.1	-0.015727
0.424083	0.1	-0.024817
0.425750	0.1	-0.034102
0.427417	0.1	-0.040896
0.429083	0.1	-0.042630
0.431083	0.12	-0.040253
