URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.7.23 Fish Poop Remainder and Lewis Sample Rerun.seq/814.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	4.7.23 Fish Poop Remainder and Lewis Sample Rerun
Name	nluc 2 poop
Number	2
Position	RA2
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/7/2023 5:06:59 PM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.501133
Data Points	63837
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.106004
Signal Max.	142.501700
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10104123

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.045693
0.001650	0.099	0.046711
0.003317	0.1	0.042216
0.005000	0.101	0.032496
0.006650	0.099	0.019456
0.008317	0.1	0.006148
0.009983	0.1	-0.003526
0.011650	0.1	-0.008707
0.013317	0.1	-0.009038
0.014983	0.1	-0.004576
0.016650	0.1	0.001191
0.018300	0.099	0.003797
0.019967	0.1	-0.001485
0.021633	0.1	-0.014328
0.023300	0.1	-0.028933
0.024967	0.1	-0.043847
0.026633	0.1	-0.062942
0.028650	0.121	-0.083517
0.030300	0.099	-0.093394
0.031967	0.1	-0.085589
0.033633	0.1	-0.064881
0.035300	0.1	-0.040563
0.036967	0.1	-0.020659
0.038633	0.1	-0.011096
0.040300	0.1	-0.010125
0.041967	0.1	-0.008136
0.043633	0.1	-0.005321
0.045300	0.1	-0.005908
0.046967	0.1	-0.009098
0.048633	0.1	-0.012766
0.050300	0.1	-0.013983
0.051967	0.1	-0.008601
0.053633	0.1	0.002943
0.055300	0.1	0.015913
0.056967	0.1	0.022662
0.058633	0.1	0.020860
0.060300	0.1	0.014746
0.062300	0.12	0.009492
0.063967	0.1	0.007488
0.065667	0.102	0.007058
0.067300	0.098	0.003279
0.068967	0.1	-0.003261
0.070633	0.1	-0.007038
0.072300	0.1	-0.003616
0.073967	0.1	0.009650
0.075633	0.1	0.028391
0.077300	0.1	0.046883
0.078967	0.1	0.060744
0.080633	0.1	0.066159
0.082300	0.1	0.063150
0.083967	0.1	0.055857
0.085633	0.1	0.047201
0.087300	0.1	0.043090
0.088967	0.1	0.038210
0.090633	0.1	0.025221
0.092300	0.1	0.009492
0.093967	0.1	0.001898
0.095967	0.12	0.004578
0.097633	0.1	0.007011
0.099300	0.1	0.001250
0.100967	0.1	-0.009405
0.102633	0.1	-0.014594
0.104300	0.1	-0.009646
0.105967	0.1	-0.003317
0.107633	0.1	-0.001699
0.109300	0.1	-0.003371
0.110967	0.1	-0.002450
0.112633	0.1	0.003632
0.114300	0.1	0.010648
0.115967	0.1	0.015688
0.117667	0.102	0.017327
0.119333	0.1	0.015056
0.121000	0.1	0.013748
0.122667	0.1	0.014467
0.124333	0.1	0.011598
0.126000	0.1	0.007691
0.127667	0.1	0.008263
0.129667	0.12	0.011877
0.131333	0.1	0.015989
0.133000	0.1	0.018850
0.134667	0.1	0.014365
0.136367	0.102	-0.003713
