URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/3.28.23 Liver Western Diet rnd2 %26 poop rnd2 march 16 samples.seq/432.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	3.28.23 Liver Western Diet rnd2 & poop rnd2 march 16 samples
Name	nluc 3 poop
Number	9
Position	RB1
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	3/29/2023 6:27:08 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.501400
Data Points	63836
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.088307
Signal Max.	195.335200
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10104306

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.011021
0.001667	0.1	-0.007244
0.003333	0.1	-0.005144
0.005000	0.1	-0.005091
0.006667	0.1	-0.006217
0.008333	0.1	-0.008801
0.010000	0.1	-0.011249
0.011650	0.099	-0.012519
0.013317	0.1	-0.014389
0.014983	0.1	-0.015976
0.016650	0.1	-0.014403
0.018317	0.1	-0.008522
0.019983	0.1	-0.002559
0.021650	0.1	-0.001116
0.023317	0.1	-0.006767
0.024983	0.1	-0.018231
0.026650	0.1	-0.029317
0.028317	0.1	-0.038508
0.030317	0.12	-0.045371
0.031983	0.1	-0.048113
0.033650	0.1	-0.048185
0.035317	0.1	-0.047844
0.036983	0.1	-0.048605
0.038650	0.1	-0.050300
0.040317	0.1	-0.052265
0.041983	0.1	-0.052813
0.043650	0.1	-0.052325
0.045317	0.1	-0.056841
0.046983	0.1	-0.071333
0.048650	0.1	-0.085438
0.050317	0.1	-0.088307
0.051983	0.1	-0.082336
0.053650	0.1	-0.073843
0.055317	0.1	-0.065735
0.056983	0.1	-0.060098
0.058650	0.1	-0.060005
0.060317	0.1	-0.065330
0.061983	0.1	-0.069547
0.063983	0.12	-0.065513
0.065650	0.1	-0.053094
0.067317	0.1	-0.040376
0.068983	0.1	-0.032898
0.070650	0.1	-0.031004
0.072317	0.1	-0.029586
0.073983	0.1	-0.024328
0.075650	0.1	-0.016093
0.077317	0.1	-0.009580
0.078983	0.1	-0.009458
0.080650	0.1	-0.013054
0.082317	0.1	-0.017951
0.083983	0.1	-0.026034
0.085650	0.1	-0.033448
0.087317	0.1	-0.034546
0.088983	0.1	-0.029352
0.090650	0.1	-0.029012
0.092317	0.1	-0.040944
0.093983	0.1	-0.055171
0.095650	0.1	-0.059924
0.097650	0.12	-0.053698
0.099317	0.1	-0.040898
0.101033	0.103	-0.027214
0.102700	0.1	-0.018681
0.104317	0.097	-0.016327
0.105983	0.1	-0.015311
0.107650	0.1	-0.011597
0.109317	0.1	-0.006224
0.111017	0.102	-0.003130
0.112683	0.1	-0.004519
0.114350	0.1	-0.007959
0.116017	0.1	-0.008488
0.117683	0.1	-0.003584
0.119350	0.1	0.005502
0.121017	0.1	0.013640
0.122683	0.1	0.014724
0.124350	0.1	0.009586
0.126017	0.1	0.002983
0.127683	0.1	0.001903
0.129700	0.121	0.006234
0.131350	0.099	0.008922
0.133017	0.1	0.008291
0.134683	0.1	0.005274
0.136350	0.1	0.002146
0.138017	0.1	0.002500
0.139683	0.1	0.004330
0.141350	0.1	0.002038
0.143017	0.1	-0.006307
0.144683	0.1	-0.017977
0.146350	0.1	-0.025824
0.148017	0.1	-0.022311
0.149683	0.1	-0.011628
0.151350	0.1	-0.005417
0.153017	0.1	-0.006240
0.154683	0.1	-0.007895
0.156350	0.1	-0.007612
0.158017	0.1	-0.006800
0.159683	0.1	-0.008129
0.161333	0.099	-0.012058
0.163350	0.121	-0.014956
0.165000	0.099	-0.012568
0.166667	0.1	-0.010675
