URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/3.28.23 Liver Western Diet rnd2 %26 poop rnd2 march 16 samples.seq/992.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	3.28.23 Liver Western Diet rnd2 & poop rnd2 march 16 samples
Name	nluc poop 1
Number	6
Position	RA6
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	3/29/2023 1:00:05 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.500500
Data Points	63839
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.105202
Signal Max.	131.979100
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.095
Max. Step (s)	0.13
Average Step (s)	0.10103747

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.030507
0.001667	0.1	-0.035399
0.003333	0.1	-0.038644
0.005000	0.1	-0.040716
0.006667	0.1	-0.043209
0.008333	0.1	-0.041637
0.010000	0.1	-0.032979
0.011667	0.1	-0.021682
0.013333	0.1	-0.014951
0.014983	0.099	-0.013782
0.016650	0.1	-0.013014
0.018317	0.1	-0.011068
0.019983	0.1	-0.010889
0.021650	0.1	-0.013640
0.023317	0.1	-0.015950
0.024983	0.1	-0.015911
0.026650	0.1	-0.014905
0.028317	0.1	-0.015603
0.030317	0.12	-0.023497
0.031983	0.1	-0.041625
0.033683	0.102	-0.066491
0.035317	0.098	-0.089866
0.036983	0.1	-0.104499
0.038650	0.1	-0.105202
0.040317	0.1	-0.092508
0.041983	0.1	-0.073187
0.043650	0.1	-0.054003
0.045317	0.1	-0.039525
0.046983	0.1	-0.032556
0.048633	0.099	-0.031823
0.050300	0.1	-0.035237
0.051967	0.1	-0.041484
0.053633	0.1	-0.046756
0.055300	0.1	-0.049898
0.056967	0.1	-0.052532
0.058633	0.1	-0.053461
0.060300	0.1	-0.049183
0.061967	0.1	-0.039954
0.063967	0.12	-0.031434
0.065633	0.1	-0.028287
0.067300	0.1	-0.028230
0.068983	0.101	-0.027185
0.070650	0.1	-0.027181
0.072300	0.099	-0.028952
0.073967	0.1	-0.032599
0.075633	0.1	-0.038019
0.077300	0.1	-0.042936
0.078967	0.1	-0.049561
0.080633	0.1	-0.055807
0.082300	0.1	-0.059360
0.083967	0.1	-0.057799
0.085633	0.1	-0.051589
0.087300	0.1	-0.044756
0.088967	0.1	-0.036591
0.090633	0.1	-0.025598
0.092300	0.1	-0.015022
0.093967	0.1	-0.007852
0.095633	0.1	-0.005710
0.097667	0.122	-0.010347
0.099300	0.098	-0.020661
0.100967	0.1	-0.032531
0.102633	0.1	-0.039504
0.104300	0.1	-0.039016
0.105967	0.1	-0.034042
0.107633	0.1	-0.027996
0.109300	0.1	-0.022141
0.110967	0.1	-0.017075
0.112633	0.1	-0.014871
0.114300	0.1	-0.015065
0.115967	0.1	-0.014083
0.117633	0.1	-0.010248
0.119300	0.1	-0.006542
0.120967	0.1	-0.006742
0.122633	0.1	-0.010933
0.124300	0.1	-0.016427
0.125967	0.1	-0.018789
0.127633	0.1	-0.013841
0.129300	0.1	-0.004729
0.131300	0.12	-0.000479
0.133033	0.104	-0.004455
0.134633	0.096	-0.011642
