URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/10.20.2023 ASGR Female Livers.seq/274.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	10.20.2023 ASGR Female Livers
Name	Isopropanol
Number	1
Position	RA1
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	10/20/2023 4:13:49 PM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.501200
Data Points	63841
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.070023
Signal Max.	190.890000
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.13
Average Step (s)	0.10103496

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.002297
0.001667	0.1	-0.002186
0.003333	0.1	-0.008517
0.005000	0.1	-0.013361
0.006667	0.1	-0.017084
0.008333	0.1	-0.021597
0.010000	0.1	-0.024825
0.011667	0.1	-0.021388
0.013333	0.1	-0.010253
0.015000	0.1	0.003938
0.016667	0.1	0.014931
0.018333	0.1	0.017485
0.020000	0.1	0.011906
0.021667	0.1	0.001462
0.023333	0.1	-0.012825
0.025000	0.1	-0.034282
0.026667	0.1	-0.053277
0.028333	0.1	-0.056695
0.030333	0.12	-0.043945
0.032000	0.1	-0.027115
0.033667	0.1	-0.018806
0.035333	0.1	-0.019333
0.037000	0.1	-0.020803
0.038667	0.1	-0.020069
0.040333	0.1	-0.016657
0.042000	0.1	-0.015475
0.043717	0.103	-0.018539
0.045367	0.099	-0.020111
0.047050	0.101	-0.017481
0.048700	0.099	-0.015494
0.050383	0.101	-0.015484
0.052033	0.099	-0.014656
0.053717	0.101	-0.013964
0.055367	0.099	-0.015882
0.057050	0.101	-0.018413
0.058700	0.099	-0.020554
0.060383	0.101	-0.023051
0.062033	0.099	-0.021968
0.064033	0.12	-0.016609
0.065700	0.1	-0.011369
0.067400	0.102	-0.010934
0.069033	0.098	-0.015219
0.070700	0.1	-0.021693
0.072367	0.1	-0.030340
0.074033	0.1	-0.036831
0.075700	0.1	-0.036468
0.077367	0.1	-0.032881
0.079033	0.1	-0.032406
0.080700	0.1	-0.033665
0.082367	0.1	-0.030282
0.084033	0.1	-0.019965
0.085700	0.1	-0.007574
0.087367	0.1	-0.000434
0.089033	0.1	-0.000916
0.090700	0.1	-0.004450
0.092350	0.099	-0.011225
0.094017	0.1	-0.017375
0.096050	0.122	-0.015253
0.097683	0.098	-0.002813
0.099350	0.1	0.015999
0.101017	0.1	0.032731
0.102683	0.1	0.042449
0.104350	0.1	0.047791
0.106017	0.1	0.049573
0.107683	0.1	0.050162
0.109333	0.099	0.051244
0.111000	0.1	0.051532
0.112683	0.101	0.050305
0.114333	0.099	0.049881
0.116000	0.1	0.050952
0.117667	0.1	0.049203
0.119333	0.1	0.045647
0.121000	0.1	0.046632
0.122667	0.1	0.053402
0.124333	0.1	0.058472
0.126000	0.1	0.054021
0.127667	0.1	0.042701
0.129667	0.12	0.032123
0.131333	0.1	0.027561
0.133000	0.1	0.029783
0.134700	0.102	0.032492
0.136350	0.099	0.029876
0.138000	0.099	0.023036
0.139667	0.1	0.015991
0.141333	0.1	0.008018
0.143000	0.1	-0.002544
0.144667	0.1	-0.014799
0.146333	0.1	-0.024406
0.148017	0.101	-0.025012
0.149667	0.099	-0.016815
0.151333	0.1	-0.009455
0.153000	0.1	-0.006921
0.154667	0.1	-0.004088
0.156333	0.1	0.001215
0.158000	0.1	0.006445
0.159667	0.1	0.009072
0.161333	0.1	0.006391
0.163333	0.12	0.000360
0.165000	0.1	-0.005568
0.166667	0.1	-0.008403
0.168333	0.1	-0.006238
0.170000	0.1	0.000107
0.171667	0.1	0.007318
0.173333	0.1	0.011067
0.175000	0.1	0.012521
0.176667	0.1	0.013862
0.178333	0.1	0.012799
0.180000	0.1	0.009011
0.181667	0.1	0.006196
0.183333	0.1	0.005061
0.185000	0.1	0.004548
0.186667	0.1	0.002544
0.188333	0.1	-0.004074
