URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/10.20.2023 ASGR Female Livers.seq/637.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	10.20.2023 ASGR Female Livers
Name	c830 1
Number	3
Position	RA3
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	10/20/2023 7:51:53 PM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.500133
Data Points	63837
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.052489
Signal Max.	87.500680
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.13
Average Step (s)	0.10104029

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.011334
0.001633	0.098	0.016411
0.003300	0.1	0.017365
0.004967	0.1	0.013143
0.006633	0.1	0.002308
0.008300	0.1	-0.009458
0.009967	0.1	-0.017138
0.011633	0.1	-0.024388
0.013300	0.1	-0.029600
0.014967	0.1	-0.026148
0.016633	0.1	-0.015568
0.018300	0.1	-0.001559
0.019967	0.1	0.010192
0.021633	0.1	0.012758
0.023300	0.1	0.003064
0.024967	0.1	-0.013724
0.026633	0.1	-0.027366
0.028300	0.1	-0.033511
0.030317	0.121	-0.035017
0.031967	0.099	-0.034525
0.033633	0.1	-0.032424
0.035300	0.1	-0.028019
0.036950	0.099	-0.021853
0.038617	0.1	-0.015990
0.040283	0.1	-0.014574
0.041950	0.1	-0.019842
0.043617	0.1	-0.026252
0.045283	0.1	-0.027521
0.046950	0.1	-0.021698
0.048617	0.1	-0.013037
0.050283	0.1	-0.006596
0.051950	0.1	-0.004132
0.053600	0.099	-0.004942
0.055267	0.1	-0.010591
0.056933	0.1	-0.022384
0.058600	0.1	-0.037367
0.060267	0.1	-0.049061
0.062333	0.124	-0.052489
0.064067	0.104	-0.043733
0.065683	0.097	-0.024700
0.067350	0.1	-0.003715
0.069083	0.104	0.011562
0.070717	0.098	0.015733
0.072383	0.1	0.010771
0.074050	0.1	0.003420
0.075717	0.1	-0.004442
0.077383	0.1	-0.013861
0.079050	0.1	-0.022359
0.080717	0.1	-0.024660
0.082383	0.1	-0.018862
0.084050	0.1	-0.009057
0.085717	0.1	-0.001714
0.087383	0.1	-0.000625
0.089050	0.1	-0.000841
0.090717	0.1	0.002659
0.092383	0.1	0.008014
0.094050	0.1	0.011074
0.096050	0.12	0.009283
0.097717	0.1	0.006233
0.099383	0.1	0.006379
0.101050	0.1	0.008062
0.102767	0.103	0.004195
0.104383	0.097	-0.005345
0.106050	0.1	-0.018142
0.107717	0.1	-0.027187
0.109383	0.1	-0.028945
0.111050	0.1	-0.027700
0.112717	0.1	-0.030396
0.114383	0.1	-0.038084
0.116050	0.1	-0.042654
0.117717	0.1	-0.039802
0.119383	0.1	-0.031669
0.121033	0.099	-0.022781
0.122700	0.1	-0.015948
0.124367	0.1	-0.010264
0.126033	0.1	-0.003205
0.127700	0.1	0.005333
0.129700	0.12	0.009788
0.131367	0.1	0.007447
0.133033	0.1	0.002975
0.134700	0.1	-0.004604
0.136367	0.1	-0.012450
0.138017	0.099	-0.016085
0.139683	0.1	-0.015001
0.141350	0.1	-0.009390
0.143017	0.1	-0.000716
0.144683	0.1	0.008631
0.146350	0.1	0.011112
0.148017	0.1	0.004119
0.149683	0.1	-0.004399
0.151350	0.1	-0.010183
0.153017	0.1	-0.014320
0.154683	0.1	-0.015344
0.156350	0.1	-0.010920
0.158017	0.1	-0.003476
0.159683	0.1	-0.000745
0.161350	0.1	-0.007311
0.163350	0.12	-0.015908
0.165050	0.102	-0.017065
0.166683	0.098	-0.010608
0.168350	0.1	-0.005493
0.170017	0.1	-0.009388
0.171683	0.1	-0.018984
0.173350	0.1	-0.027063
0.175017	0.1	-0.029635
0.176683	0.1	-0.025455
0.178350	0.1	-0.020030
0.180017	0.1	-0.018595
0.181683	0.1	-0.018162
0.183350	0.1	-0.013752
0.185017	0.1	-0.007301
0.186683	0.1	-0.000709
0.188350	0.1	0.003182
0.190017	0.1	-0.000719
0.191683	0.1	-0.006688
0.193350	0.1	-0.004562
0.195017	0.1	0.004176
0.197017	0.12	0.011074
0.198683	0.1	0.013149
0.200383	0.102	0.011997
0.202017	0.098	0.011286
0.203683	0.1	0.011926
0.205350	0.1	0.011022
0.207017	0.1	0.007530
0.208683	0.1	0.003022
0.210350	0.1	-0.000948
0.212017	0.1	-0.003099
0.213683	0.1	-0.002867
0.215350	0.1	0.001018
0.217017	0.1	0.009173
0.218683	0.1	0.016128
0.220350	0.1	0.017475
0.222017	0.1	0.015291
0.223683	0.1	0.009728
0.225350	0.1	-0.001454
0.227017	0.1	-0.010350
0.228683	0.1	-0.012857
0.230700	0.121	-0.012892
0.232350	0.099	-0.010268
0.234017	0.1	-0.005441
0.235683	0.1	-0.002572
0.237350	0.1	-0.003564
0.239017	0.1	-0.009224
0.240683	0.1	-0.016394
0.242350	0.1	-0.017735
0.244017	0.1	-0.010831
0.245683	0.1	-0.001555
0.247350	0.1	0.002600
0.249017	0.1	0.001164
0.250683	0.1	-0.000788
0.252350	0.1	0.000018
0.254017	0.1	0.003567
0.255683	0.1	0.008215
0.257350	0.1	0.012697
0.259017	0.1	0.016953
0.260683	0.1	0.019214
0.262683	0.12	0.016558
0.264350	0.1	0.012135
0.266017	0.1	0.011728
0.267683	0.1	0.016676
0.269350	0.1	0.024835
0.271050	0.102	0.028932
0.272717	0.1	0.023465
0.274383	0.1	0.012463
0.276050	0.1	0.003071
0.277717	0.1	-0.001106
0.279383	0.1	0.000191
0.281050	0.1	0.005145
0.282717	0.1	0.011224
0.284383	0.1	0.014663
0.286050	0.1	0.012931
0.287717	0.1	0.010169
0.289383	0.1	0.012378
0.291050	0.1	0.018694
0.292717	0.1	0.025787
0.294383	0.1	0.032131
