URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/10.20.2023 ASGR Female Livers.seq/433.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	10.20.2023 ASGR Female Livers
Name	c830 2
Number	6
Position	RA6
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Interrupted
Inject Time	10/21/2023 1:18:58 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	99.986033
Data Points	59373
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.568171
Signal Max.	98.563020
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.13
Average Step (s)	0.10104362

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.019706
0.001667	0.1	0.015172
0.003333	0.1	0.008739
0.005000	0.1	0.007143
0.006667	0.1	0.014721
0.008333	0.1	0.025147
0.010033	0.102	0.033230
0.011700	0.1	0.038001
0.013367	0.1	0.037058
0.015033	0.1	0.029298
0.016700	0.1	0.019466
0.018367	0.1	0.014596
0.020033	0.1	0.015250
0.021700	0.1	0.014671
0.023367	0.1	0.010878
0.025033	0.1	0.006161
0.026717	0.101	0.003172
0.028367	0.099	0.000539
0.030033	0.1	-0.007222
0.031700	0.1	-0.017072
0.033767	0.124	-0.022699
0.035450	0.101	-0.024662
0.037083	0.098	-0.026782
0.038767	0.101	-0.033050
0.040450	0.101	-0.039876
0.042083	0.098	-0.041575
0.043750	0.1	-0.037211
0.045417	0.1	-0.031317
0.047083	0.1	-0.023610
0.048750	0.1	-0.012807
0.050433	0.101	-0.001537
0.052083	0.099	0.006993
0.053750	0.1	0.009336
0.055417	0.1	0.007159
0.057083	0.1	0.005027
0.058750	0.1	0.005045
0.060417	0.1	0.008674
0.062083	0.1	0.013426
0.063750	0.1	0.015088
0.065417	0.1	0.016238
0.067417	0.12	0.017008
0.069083	0.1	0.008284
0.070750	0.1	-0.008065
0.072417	0.1	-0.017320
0.074167	0.105	-0.016702
0.075750	0.095	-0.015580
0.077417	0.1	-0.019673
0.079083	0.1	-0.029556
0.080750	0.1	-0.039635
0.082417	0.1	-0.044308
0.084083	0.1	-0.040502
0.085750	0.1	-0.032422
0.087417	0.1	-0.024100
0.089083	0.1	-0.012675
0.090750	0.1	0.001595
0.092417	0.1	0.014197
0.094083	0.1	0.021810
0.095750	0.1	0.022434
0.097417	0.1	0.017826
0.099083	0.1	0.012336
0.101083	0.12	0.008375
0.102750	0.1	0.009602
0.104417	0.1	0.008528
0.106083	0.1	0.000694
0.107750	0.1	-0.002770
0.109417	0.1	0.001108
0.111117	0.102	0.003755
0.112783	0.1	0.001793
0.114450	0.1	-0.000718
0.116117	0.1	-0.000841
0.117783	0.1	-0.006832
0.119450	0.1	-0.018109
0.121117	0.1	-0.020806
0.122783	0.1	-0.014580
0.124450	0.1	-0.008455
0.126117	0.1	-0.001235
0.127783	0.1	0.008262
0.129450	0.1	0.014488
0.131117	0.1	0.017030
0.132783	0.1	0.020745
0.134783	0.12	0.027031
0.136450	0.1	0.031470
0.138117	0.1	0.029543
0.139783	0.1	0.024645
0.141450	0.1	0.021864
0.143117	0.1	0.020751
0.144783	0.1	0.019263
0.146450	0.1	0.017705
0.148117	0.1	0.017600
0.149783	0.1	0.019993
0.151450	0.1	0.022471
0.153117	0.1	0.022521
0.154783	0.1	0.021667
0.156450	0.1	0.020751
0.158117	0.1	0.017163
0.159783	0.1	0.010981
0.161450	0.1	0.005772
0.163117	0.1	0.003716
0.164783	0.1	0.004457
0.166450	0.1	0.006064
0.168450	0.12	0.007408
0.170117	0.1	0.008368
0.171783	0.1	0.005665
0.173450	0.1	-0.002660
0.175117	0.1	-0.013099
0.176783	0.1	-0.024790
0.178450	0.1	-0.035422
0.180117	0.1	-0.041485
0.181783	0.1	-0.039059
0.183450	0.1	-0.026640
0.185117	0.1	-0.010179
0.186783	0.1	0.002949
0.188450	0.1	0.010273
0.190117	0.1	0.010597
0.191783	0.1	0.006157
0.193433	0.099	0.001640
0.195100	0.1	-0.001776
0.196767	0.1	-0.007880
0.198433	0.1	-0.013112
0.200500	0.124	-0.011546
0.202183	0.101	-0.006813
0.203833	0.099	-0.003024
0.205500	0.1	-0.000993
0.207167	0.1	-0.003335
0.208833	0.1	-0.008640
0.210500	0.1	-0.010929
0.212167	0.1	-0.008504
0.213833	0.1	-0.004547
0.215500	0.1	-0.004193
0.217167	0.1	-0.011022
0.218833	0.1	-0.020585
0.220500	0.1	-0.028781
0.222167	0.1	-0.034416
0.223833	0.1	-0.036892
0.225500	0.1	-0.034782
0.227200	0.102	-0.026080
0.228867	0.1	-0.012017
0.230533	0.1	0.001767
0.232200	0.1	0.011849
0.234217	0.121	0.017417
0.235867	0.099	0.015711
0.237567	0.102	0.007053
0.239200	0.098	-0.003334
0.240867	0.1	-0.012839
0.242533	0.1	-0.017123
0.244217	0.101	-0.013366
0.245867	0.099	-0.005386
0.247533	0.1	0.003224
0.249200	0.1	0.011632
0.250867	0.1	0.018566
0.252533	0.1	0.023457
0.254200	0.1	0.022867
0.255867	0.1	0.014481
0.257533	0.1	-0.001306
0.259200	0.1	-0.018921
0.260867	0.1	-0.030366
0.262533	0.1	-0.033831
0.264200	0.1	-0.033421
0.265867	0.1	-0.031405
0.267867	0.12	-0.028150
0.269550	0.101	-0.029901
0.271233	0.101	-0.036804
0.272867	0.098	-0.041904
0.274533	0.1	-0.041012
0.276200	0.1	-0.032010
0.277883	0.101	-0.018307
0.279533	0.099	-0.008224
0.281200	0.1	-0.002431
0.282867	0.1	0.003790
0.284533	0.1	0.008292
0.286200	0.1	0.010129
0.287867	0.1	0.014172
0.289533	0.1	0.018012
0.291200	0.1	0.016634
0.292867	0.1	0.013504
0.294517	0.099	0.011948
0.296183	0.1	0.007286
0.297850	0.1	-0.000958
0.299517	0.1	-0.006866
0.301517	0.12	-0.004628
0.303183	0.1	0.004003
0.304850	0.1	0.011996
0.306517	0.1	0.013242
0.308183	0.1	0.011002
0.309850	0.1	0.012648
0.311500	0.099	0.016101
0.313167	0.1	0.017240
0.314833	0.1	0.016352
0.316500	0.1	0.015395
0.318167	0.1	0.015101
0.319833	0.1	0.016908
0.321500	0.1	0.021272
0.323167	0.1	0.027916
0.324833	0.1	0.032837
0.326500	0.1	0.028979
0.328167	0.1	0.014977
0.329833	0.1	-0.004187
0.331500	0.1	-0.017660
0.333167	0.1	-0.018302
0.335167	0.12	-0.011096
0.336833	0.1	-0.002672
0.338500	0.1	0.004872
0.340167	0.1	0.010395
0.341833	0.1	0.014227
0.343500	0.1	0.018150
0.345167	0.1	0.021231
0.346833	0.1	0.023146
0.348500	0.1	0.024404
0.350167	0.1	0.024411
0.351833	0.1	0.020655
0.353500	0.1	0.012113
0.355167	0.1	0.000210
0.356833	0.1	-0.009832
0.358500	0.1	-0.009546
0.360167	0.1	0.000380
0.361833	0.1	0.012347
0.363500	0.1	0.020109
0.365167	0.1	0.022615
0.366833	0.1	0.022064
0.368833	0.12	0.020927
0.370500	0.1	0.018921
0.372200	0.102	0.016451
0.373850	0.099	0.017093
0.375500	0.099	0.017021
0.377167	0.1	0.009885
0.378833	0.1	-0.000187
