URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/10.20.2023 ASGR Female Livers.seq/937.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	10.20.2023 ASGR Female Livers
Name	c865 3
Number	11
Position	RB3
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	11/8/2023 11:32:56 PM -05:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.500350
Data Points	63838
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.056943
Signal Max.	103.191500
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.095
Max. Step (s)	0.13
Average Step (s)	0.10103891

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.002346
0.001667	0.1	0.000185
0.003333	0.1	0.004087
0.005000	0.1	0.007406
0.006667	0.1	0.008481
0.008333	0.1	0.007302
0.010000	0.1	0.004598
0.011667	0.1	0.002122
0.013333	0.1	0.000131
0.015000	0.1	-0.001623
0.016650	0.099	-0.002059
0.018317	0.1	-0.001726
0.020000	0.101	-0.001305
0.021650	0.099	-0.002658
0.023317	0.1	-0.005783
0.024983	0.1	-0.008733
0.026650	0.1	-0.007547
0.028650	0.12	-0.005031
0.030317	0.1	-0.008499
0.031983	0.1	-0.017498
0.033650	0.1	-0.026441
0.035317	0.1	-0.031537
0.036983	0.1	-0.031774
0.038650	0.1	-0.027880
0.040317	0.1	-0.022561
0.041983	0.1	-0.018268
0.043650	0.1	-0.017624
0.045317	0.1	-0.018967
0.046983	0.1	-0.020685
0.048650	0.1	-0.023350
0.050317	0.1	-0.025423
0.051983	0.1	-0.022221
0.053650	0.1	-0.013882
0.055317	0.1	-0.008605
0.056983	0.1	-0.009238
0.058650	0.1	-0.012933
0.060333	0.101	-0.015960
0.062317	0.119	-0.017210
0.063983	0.1	-0.016447
0.065650	0.1	-0.013709
0.067317	0.1	-0.011889
0.068983	0.1	-0.011140
0.070650	0.1	-0.009364
0.072333	0.101	-0.004554
0.073983	0.099	0.000139
0.075650	0.1	0.003111
0.077317	0.1	0.004853
0.078983	0.1	0.005211
0.080650	0.1	0.006312
0.082317	0.1	0.008292
0.083983	0.1	0.009625
0.085650	0.1	0.011421
0.087317	0.1	0.014113
0.088983	0.1	0.015341
0.090650	0.1	0.011687
0.092317	0.1	0.004878
0.093983	0.1	0.000528
0.095983	0.12	-0.001988
0.097650	0.1	-0.005439
0.099317	0.1	-0.009551
0.100983	0.1	-0.013378
0.102650	0.1	-0.018079
0.104317	0.1	-0.022928
0.105983	0.1	-0.027625
0.107650	0.1	-0.034730
0.109317	0.1	-0.043340
0.110983	0.1	-0.044933
0.112650	0.1	-0.039965
0.114317	0.1	-0.038237
0.116017	0.102	-0.045177
0.117683	0.1	-0.054102
0.119350	0.1	-0.054055
0.121017	0.1	-0.041817
0.122683	0.1	-0.023463
0.124350	0.1	-0.007410
0.126017	0.1	0.002166
0.127683	0.1	0.005690
0.129683	0.12	0.005077
0.131350	0.1	0.002165
0.133017	0.1	-0.001358
0.134683	0.1	-0.003243
0.136350	0.1	-0.002717
0.138017	0.1	-0.000110
0.139683	0.1	0.002977
0.141367	0.101	0.004654
0.143017	0.099	0.003406
0.144683	0.1	0.003111
0.146350	0.1	0.006643
0.148017	0.1	0.009643
0.149683	0.1	0.006437
0.151350	0.1	-0.003555
0.153017	0.1	-0.011305
0.154683	0.1	-0.010204
0.156350	0.1	-0.002084
0.158017	0.1	0.005878
0.159683	0.1	0.006367
0.161733	0.123	-0.003723
0.163350	0.097	-0.018624
0.165017	0.1	-0.026989
0.166717	0.102	-0.023803
0.168367	0.099	-0.013427
0.170017	0.099	-0.003192
