URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/10.20.2023 ASGR Female Livers.seq/814.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	10.20.2023 ASGR Female Livers
Name	nluc 1
Number	2
Position	RA2
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	10/20/2023 6:02:51 PM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.500033
Data Points	63835
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.057512
Signal Max.	105.848400
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.095
Max. Step (s)	0.129
Average Step (s)	0.10104336

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.000543
0.001650	0.099	0.008133
0.003317	0.1	0.011054
0.004983	0.1	0.010838
0.006650	0.1	0.011036
0.008317	0.1	0.012340
0.009983	0.1	0.012831
0.011667	0.101	0.011061
0.013317	0.099	0.008024
0.014983	0.1	0.003793
0.016650	0.1	-0.000313
0.018317	0.1	-0.005560
0.019983	0.1	-0.014918
0.021650	0.1	-0.027059
0.023317	0.1	-0.036868
0.024983	0.1	-0.042636
0.026650	0.1	-0.045688
0.028317	0.1	-0.048047
0.030333	0.121	-0.051884
0.031983	0.099	-0.056444
0.033650	0.1	-0.057512
0.035317	0.1	-0.055325
0.036983	0.1	-0.051220
0.038650	0.1	-0.045171
0.040317	0.1	-0.039109
0.041983	0.1	-0.033911
0.043650	0.1	-0.029647
0.045317	0.1	-0.024739
0.046983	0.1	-0.021063
0.048650	0.1	-0.019503
0.050317	0.1	-0.016490
0.051983	0.1	-0.012217
0.053650	0.1	-0.011818
0.055317	0.1	-0.018138
0.056983	0.1	-0.027439
0.058650	0.1	-0.032292
0.060317	0.1	-0.032281
0.061983	0.1	-0.030284
0.063983	0.12	-0.031894
0.065650	0.1	-0.035454
0.067317	0.1	-0.033478
0.068983	0.1	-0.025882
0.070650	0.1	-0.015216
0.072317	0.1	-0.003479
0.073983	0.1	0.005759
0.075650	0.1	0.007623
0.077317	0.1	0.004070
0.078983	0.1	0.000668
0.080650	0.1	-0.000712
0.082317	0.1	-0.001647
0.083983	0.1	-0.006848
0.085650	0.1	-0.015430
0.087317	0.1	-0.016137
0.088983	0.1	-0.007050
0.090650	0.1	0.003463
0.092317	0.1	0.008799
0.093983	0.1	0.004183
0.096067	0.125	-0.006216
0.097650	0.095	-0.010314
0.099317	0.1	-0.004096
0.100983	0.1	0.008097
0.102650	0.1	0.019793
0.104317	0.1	0.028767
0.105983	0.1	0.037908
0.107650	0.1	0.044485
0.109317	0.1	0.044769
0.110983	0.1	0.041364
0.112650	0.1	0.038751
0.114317	0.1	0.037711
0.115983	0.1	0.038350
0.117650	0.1	0.038167
0.119317	0.1	0.037039
0.120983	0.1	0.031802
0.122650	0.1	0.023915
0.124317	0.1	0.017301
0.125983	0.1	0.015452
0.127650	0.1	0.017509
0.129650	0.12	0.021964
0.131317	0.1	0.026324
0.133067	0.105	0.029861
0.134683	0.097	0.031900
0.136367	0.101	0.029316
0.138017	0.099	0.023602
0.139700	0.101	0.019831
0.141350	0.099	0.019955
0.143033	0.101	0.022049
0.144683	0.099	0.024787
0.146367	0.101	0.024830
0.148017	0.099	0.021056
0.149700	0.101	0.016821
0.151350	0.099	0.012033
0.153033	0.101	0.000509
0.154683	0.099	-0.013170
0.156367	0.101	-0.020626
0.158017	0.099	-0.018196
0.159700	0.101	-0.010207
0.161350	0.099	0.002044
0.163350	0.12	0.014216
