URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/10.20.2023 ASGR Female Livers.seq/626.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	10.20.2023 ASGR Female Livers
Name	nluc 3
Number	9
Position	RB1
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	11/8/2023 7:54:53 PM -05:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.500133
Data Points	63836
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.064246
Signal Max.	97.752520
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.095
Max. Step (s)	0.129
Average Step (s)	0.10104187

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.003028
0.001683	0.101	0.012089
0.003333	0.099	0.018729
0.005000	0.1	0.022502
0.006667	0.1	0.021718
0.008333	0.1	0.014840
0.010000	0.1	0.006958
0.011667	0.1	0.003270
0.013333	0.1	0.003539
0.015000	0.1	0.005835
0.016667	0.1	0.009706
0.018333	0.1	0.011692
0.020000	0.1	0.010025
0.021667	0.1	0.006466
0.023333	0.1	0.004509
0.025000	0.1	0.004305
0.026667	0.1	-0.001210
0.028333	0.1	-0.015099
0.030000	0.1	-0.030741
0.032050	0.123	-0.044384
0.033700	0.099	-0.056833
0.035333	0.098	-0.064246
0.037017	0.101	-0.062656
0.038717	0.102	-0.049288
0.040350	0.098	-0.031627
0.042000	0.099	-0.022684
0.043683	0.101	-0.028843
0.045333	0.099	-0.043147
0.047017	0.101	-0.054574
0.048667	0.099	-0.058797
0.050350	0.101	-0.053380
0.051983	0.098	-0.041801
0.053667	0.101	-0.032295
0.055317	0.099	-0.028521
0.057000	0.101	-0.028137
0.058650	0.099	-0.029952
0.060333	0.101	-0.033492
0.061983	0.099	-0.035186
0.063667	0.101	-0.030788
0.065650	0.119	-0.022601
0.067317	0.1	-0.013269
0.068967	0.099	-0.008486
0.070633	0.1	-0.009562
