URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/6.1.23 Liver western diets 5.3 replicates.seq/734.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	6.1.23 Liver western diets 5.3 replicates
Name	5.3.23 c865 Liver 1
Number	3
Position	RA3
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	6/1/2023 8:41:14 PM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.500833
Data Points	63845
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.619710
Signal Max.	30.470810
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10102829

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.022678
0.001683	0.101	-0.028223
0.003333	0.099	-0.035765
0.005000	0.1	-0.036048
0.006667	0.1	-0.025882
0.008333	0.1	-0.010165
0.010000	0.1	0.005351
0.011667	0.1	0.016196
0.013333	0.1	0.018165
0.015000	0.1	0.012728
0.016667	0.1	0.008190
0.018333	0.1	0.004155
0.020000	0.1	-0.002066
0.021667	0.1	-0.008238
0.023333	0.1	-0.014948
0.025000	0.1	-0.024348
0.026667	0.1	-0.034049
0.028333	0.1	-0.041105
0.030333	0.12	-0.045214
0.032033	0.102	-0.047012
0.033733	0.102	-0.047977
0.035367	0.098	-0.047574
0.037050	0.101	-0.044189
0.038700	0.099	-0.040686
0.040367	0.1	-0.043726
0.042033	0.1	-0.048985
0.043700	0.1	-0.049447
0.045367	0.1	-0.044891
0.047033	0.1	-0.038038
0.048700	0.1	-0.031313
0.050367	0.1	-0.028132
0.052033	0.1	-0.029690
0.053700	0.1	-0.033788
0.055367	0.1	-0.037408
0.057033	0.1	-0.038888
0.058700	0.1	-0.040996
0.060367	0.1	-0.045344
0.062033	0.1	-0.051550
0.064050	0.121	-0.055920
0.065717	0.1	-0.054801
0.067367	0.099	-0.047741
0.069050	0.101	-0.036074
0.070700	0.099	-0.022171
0.072400	0.102	-0.013159
0.074033	0.098	-0.017884
0.075717	0.101	-0.034423
0.077367	0.099	-0.050187
0.079050	0.101	-0.056938
0.080700	0.099	-0.055938
0.082367	0.1	-0.051242
0.084017	0.099	-0.049760
0.085700	0.101	-0.052293
0.087350	0.099	-0.051883
0.089050	0.102	-0.043985
0.090683	0.098	-0.035129
0.092367	0.101	-0.031751
0.094017	0.099	-0.031766
0.096083	0.124	-0.035019
0.097767	0.101	-0.038888
0.099467	0.102	-0.038638
0.101083	0.097	-0.029884
0.102750	0.1	-0.014137
0.104417	0.1	-0.000070
0.106083	0.1	0.006155
0.107750	0.1	0.003229
0.109417	0.1	-0.004729
0.111083	0.1	-0.008001
0.112750	0.1	-0.005861
0.114417	0.1	-0.005628
0.116117	0.102	-0.009018
0.117783	0.1	-0.012224
0.119450	0.1	-0.011160
0.121117	0.1	-0.005677
0.122783	0.1	0.000576
0.124450	0.1	0.004752
0.126117	0.1	0.005726
0.127783	0.1	0.006527
0.129783	0.12	0.009224
0.131450	0.1	0.011492
0.133117	0.1	0.010588
0.134783	0.1	0.000041
0.136450	0.1	-0.023142
0.138117	0.1	-0.044357
0.139783	0.1	-0.051281
0.141450	0.1	-0.044236
0.143117	0.1	-0.034215
0.144783	0.1	-0.030963
0.146450	0.1	-0.035862
0.148117	0.1	-0.038362
0.149783	0.1	-0.029435
0.151450	0.1	-0.010974
0.153117	0.1	0.005396
0.154783	0.1	0.013337
0.156450	0.1	0.012253
0.158117	0.1	0.004035
0.159783	0.1	-0.004915
0.161450	0.1	-0.009464
0.163467	0.121	-0.009861
0.165117	0.099	-0.006071
0.166783	0.1	0.001450
0.168483	0.102	0.007880
0.170117	0.098	0.011200
0.171783	0.1	0.011631
0.173450	0.1	0.007602
0.175117	0.1	0.000139
0.176783	0.1	-0.008731
0.178450	0.1	-0.014569
0.180117	0.1	-0.014953
0.181783	0.1	-0.011792
0.183433	0.099	-0.008519
0.185100	0.1	-0.012630
0.186767	0.1	-0.025945
0.188433	0.1	-0.037574
0.190100	0.1	-0.036944
0.191767	0.1	-0.025127
0.193433	0.1	-0.007666
0.195100	0.1	0.009366
0.197100	0.12	0.019134
0.198750	0.099	0.018664
0.200417	0.1	0.010540
0.202083	0.1	-0.000171
0.203750	0.1	-0.008796
0.205417	0.1	-0.011206
0.207083	0.1	-0.006552
0.208750	0.1	0.001784
0.210417	0.1	0.008498
0.212083	0.1	0.011875
0.213750	0.1	0.012311
0.215417	0.1	0.008205
0.217083	0.1	0.000108
0.218750	0.1	-0.008020
0.220417	0.1	-0.011388
0.222083	0.1	-0.008226
0.223750	0.1	-0.003510
0.225417	0.1	-0.001294
0.227083	0.1	-0.000128
0.228750	0.1	-0.000336
0.230750	0.12	-0.004362
0.232417	0.1	-0.012271
0.234083	0.1	-0.017690
0.235767	0.101	-0.018750
0.237417	0.099	-0.019577
0.239100	0.101	-0.021562
0.240750	0.099	-0.020849
0.242417	0.1	-0.014511
0.244083	0.1	-0.007478
0.245750	0.1	-0.008985
0.247417	0.1	-0.019473
0.249083	0.1	-0.030002
0.250750	0.1	-0.033476
0.252417	0.1	-0.029765
0.254083	0.1	-0.023409
0.255767	0.101	-0.020461
0.257417	0.099	-0.020132
0.259083	0.1	-0.017241
0.260750	0.1	-0.009323
0.262417	0.1	0.002057
0.264417	0.12	0.014044
0.266083	0.1	0.023522
0.267750	0.1	0.026584
0.269417	0.1	0.023203
0.271083	0.1	0.017216
0.272750	0.1	0.011148
0.274417	0.1	0.001617
0.276083	0.1	-0.007823
0.277750	0.1	-0.013298
0.279417	0.1	-0.014727
0.281083	0.1	-0.011447
0.282750	0.1	-0.005921
0.284417	0.1	-0.002070
0.286083	0.1	0.000063
0.287750	0.1	0.000830
0.289417	0.1	-0.004411
0.291083	0.1	-0.023663
0.292750	0.1	-0.048704
0.294417	0.1	-0.059473
0.296083	0.1	-0.050854
0.298083	0.12	-0.034608
0.299800	0.103	-0.019446
0.301450	0.099	-0.009212
0.303117	0.1	-0.004484
0.304783	0.1	-0.001387
0.306450	0.1	-0.001484
0.308117	0.1	-0.008143
0.309783	0.1	-0.014209
0.311450	0.1	-0.013566
0.313117	0.1	-0.009080
0.314783	0.1	-0.002015
0.316450	0.1	0.003315
0.318117	0.1	0.003030
0.319783	0.1	-0.001632
0.321450	0.1	-0.007162
0.323117	0.1	-0.008995
0.324783	0.1	-0.005026
0.326450	0.1	-0.000738
0.328117	0.1	-0.006068
0.330117	0.12	-0.018109
0.331783	0.1	-0.025959
0.333450	0.1	-0.030797
0.335117	0.1	-0.036084
0.336783	0.1	-0.039266
0.338450	0.1	-0.039763
0.340117	0.1	-0.038326
0.341783	0.1	-0.035130
0.343450	0.1	-0.028944
0.345117	0.1	-0.018600
0.346783	0.1	-0.009074
0.348450	0.1	-0.006696
0.350100	0.099	-0.010265
0.351767	0.1	-0.016069
0.353433	0.1	-0.024795
0.355100	0.1	-0.036617
0.356783	0.101	-0.044114
0.358433	0.099	-0.046227
0.360100	0.1	-0.045323
0.361767	0.1	-0.040584
0.363767	0.12	-0.031978
0.365433	0.1	-0.019904
0.367083	0.099	-0.009102
0.368783	0.102	-0.002690
0.370433	0.099	-0.000670
0.372100	0.1	-0.001280
0.373750	0.099	-0.001427
0.375433	0.101	-0.002180
0.377083	0.099	-0.003417
0.378767	0.101	-0.002503
0.380433	0.1	0.001610
0.382083	0.099	0.007029
0.383750	0.1	0.010536
0.385417	0.1	0.007272
0.387083	0.1	-0.009028
0.388750	0.1	-0.027556
0.390417	0.1	-0.032213
0.392100	0.101	-0.023863
0.393750	0.099	-0.011641
0.395417	0.1	-0.000726
0.397417	0.12	0.009654
0.399083	0.1	0.019553
0.400750	0.1	0.023731
0.402417	0.1	0.020561
0.404083	0.1	0.012337
0.405767	0.101	-0.000842
0.407417	0.099	-0.016269
0.409083	0.1	-0.026093
0.410750	0.1	-0.025012
0.412417	0.1	-0.017474
0.414083	0.1	-0.006674
0.415750	0.1	0.004513
0.417417	0.1	0.011586
0.419083	0.1	0.014295
0.420750	0.1	0.015055
0.422433	0.101	0.012351
0.424083	0.099	0.001080
0.425750	0.1	-0.016782
0.427417	0.1	-0.032973
0.429083	0.1	-0.043319
0.431083	0.12	-0.045542
