URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/6.8.23 Liver western diets 5.3 replicates reinject.seq/696.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	6.8.23 Liver western diets 5.3 replicates reinject
Name	5.3.23 c865 Liver 2
Number	1
Position	RC1
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	6/10/2023 3:34:35 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.500867
Data Points	63844
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-1.078067
Signal Max.	53.723300
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.1010299

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-1.077995
0.001667	0.1	-1.078017
0.003333	0.1	-1.078025
0.005000	0.1	-1.078019
0.006667	0.1	-1.078022
0.008333	0.1	-1.078039
0.010000	0.1	-1.078032
0.011667	0.1	-1.077999
0.013333	0.1	-1.077975
0.015000	0.1	-1.077977
0.016667	0.1	-1.077999
0.018333	0.1	-1.078027
0.020000	0.1	-1.078035
0.021667	0.1	-1.078029
0.023333	0.1	-1.078035
0.025000	0.1	-1.078052
0.026667	0.1	-1.078037
0.028333	0.1	-1.077992
0.030000	0.1	-1.077966
0.031700	0.102	-1.077976
0.033667	0.118	-1.078006
0.035333	0.1	-1.078030
0.037000	0.1	-1.078033
0.038683	0.101	-1.078029
0.040333	0.099	-1.078043
0.042000	0.1	-1.078067
0.043667	0.1	-1.078040
0.045333	0.1	-1.077977
0.047000	0.1	-1.077941
0.048667	0.1	-1.077947
0.050333	0.1	-1.077977
0.052000	0.1	-1.078006
0.053667	0.1	-1.077983
0.055333	0.1	-1.077883
0.057000	0.1	-1.077710
0.058667	0.1	-1.077366
0.060333	0.1	-1.076627
0.062000	0.1	-1.075442
0.063667	0.1	-1.073817
0.065333	0.1	-1.071539
0.067450	0.127	-1.068185
0.069117	0.1	-1.063085
0.070767	0.099	-1.055890
0.072417	0.099	-1.046734
0.074100	0.101	-1.035072
0.075750	0.099	-1.020505
0.077433	0.101	-1.002878
0.079083	0.099	-0.982358
0.080767	0.101	-0.959445
0.082417	0.099	-0.933929
0.084083	0.1	-0.906453
0.085750	0.1	-0.877065
0.087417	0.1	-0.845298
0.089083	0.1	-0.811443
0.090767	0.101	-0.775914
0.092417	0.099	-0.739324
0.094083	0.1	-0.700007
0.095750	0.1	-0.656951
0.097417	0.1	-0.613619
0.099433	0.121	-0.570651
0.101100	0.1	-0.528719
0.102750	0.099	-0.490633
0.104417	0.1	-0.457173
0.106083	0.1	-0.426251
0.107750	0.1	-0.388931
0.109417	0.1	-0.343773
0.111083	0.1	-0.298260
0.112750	0.1	-0.259276
0.114417	0.1	-0.228963
0.116083	0.1	-0.203143
0.117750	0.1	-0.178500
0.119417	0.1	-0.156053
0.121083	0.1	-0.132200
0.122750	0.1	-0.107044
0.124417	0.1	-0.083831
0.126083	0.1	-0.059462
0.127750	0.1	-0.035418
0.129417	0.1	-0.014517
0.131083	0.1	0.003398
0.133083	0.12	0.018019
0.134767	0.101	0.032027
0.136417	0.099	0.046897
0.138083	0.1	0.060750
0.139750	0.1	0.072237
0.141417	0.1	0.080705
0.143083	0.1	0.088581
0.144750	0.1	0.101859
0.146417	0.1	0.124364
0.148083	0.1	0.158824
0.149750	0.1	0.197756
0.151417	0.1	0.229861
0.153083	0.1	0.247128
0.154750	0.1	0.249785
0.156417	0.1	0.249717
0.158083	0.1	0.256242
0.159750	0.1	0.269248
0.161417	0.1	0.277848
0.163083	0.1	0.272750
0.164783	0.102	0.258019
0.166817	0.122	0.240443
0.168483	0.1	0.226504
0.170117	0.098	0.225488
0.171783	0.1	0.236279
0.173450	0.1	0.254022
0.175117	0.1	0.270734
0.176800	0.101	0.276720
0.178450	0.099	0.274744
0.180117	0.1	0.270479
0.181783	0.1	0.263822
0.183450	0.1	0.253706
0.185117	0.1	0.242897
0.186783	0.1	0.235667
0.188450	0.1	0.228949
0.190117	0.1	0.220044
0.191783	0.1	0.210648
0.193450	0.1	0.203682
0.195117	0.1	0.202839
0.196783	0.1	0.209584
0.198450	0.1	0.219091
0.200467	0.121	0.218559
0.202117	0.099	0.207298
0.203783	0.1	0.195271
0.205483	0.102	0.187581
0.207117	0.098	0.182713
0.208783	0.1	0.179386
0.210450	0.1	0.176337
0.212133	0.101	0.172693
0.213783	0.099	0.170913
0.215433	0.099	0.166584
0.217100	0.1	0.156623
0.218767	0.1	0.148696
0.220433	0.1	0.145846
0.222100	0.1	0.146755
0.223767	0.1	0.155753
0.225433	0.1	0.169702
0.227100	0.1	0.183478
0.228767	0.1	0.189657
0.230433	0.1	0.189758
0.232083	0.099	0.191237
0.234083	0.12	0.192144
0.235750	0.1	0.188996
0.237417	0.1	0.184010
0.239100	0.101	0.179940
0.240750	0.099	0.177094
0.242417	0.1	0.172686
0.244083	0.1	0.166851
0.245750	0.1	0.162987
0.247417	0.1	0.159791
0.249083	0.1	0.156943
0.250750	0.1	0.160410
0.252417	0.1	0.170419
0.254083	0.1	0.180395
0.255750	0.1	0.182834
0.257417	0.1	0.176173
0.259083	0.1	0.166902
0.260750	0.1	0.159879
0.262417	0.1	0.154406
0.264083	0.1	0.151291
0.265750	0.1	0.148861
0.267783	0.122	0.144596
0.269450	0.1	0.140331
0.271083	0.098	0.141020
0.272750	0.1	0.145886
0.274417	0.1	0.151106
0.276083	0.1	0.159722
0.277750	0.1	0.175014
0.279417	0.1	0.190361
0.281083	0.1	0.195235
0.282750	0.1	0.189739
0.284417	0.1	0.184881
0.286083	0.1	0.184557
0.287750	0.1	0.186012
0.289417	0.1	0.188572
0.291083	0.1	0.192261
0.292750	0.1	0.191084
0.294417	0.1	0.177703
0.296083	0.1	0.157667
0.297783	0.102	0.142674
0.299767	0.119	0.138708
0.301417	0.099	0.145592
0.303083	0.1	0.158971
0.304750	0.1	0.169798
0.306417	0.1	0.173699
0.308083	0.1	0.172460
0.309750	0.1	0.168006
0.311417	0.1	0.161486
0.313083	0.1	0.158718
0.314750	0.1	0.164117
0.316417	0.1	0.174291
0.318083	0.1	0.182170
0.319750	0.1	0.185131
0.321417	0.1	0.183950
0.323083	0.1	0.183032
0.324750	0.1	0.184254
0.326417	0.1	0.185107
0.328083	0.1	0.184341
0.329750	0.1	0.181643
0.331417	0.1	0.176315
0.333417	0.12	0.168695
0.335083	0.1	0.159447
0.336767	0.101	0.155337
0.338417	0.099	0.158035
0.340083	0.1	0.161494
0.341750	0.1	0.161089
0.343417	0.1	0.156383
0.345083	0.1	0.149634
0.346750	0.1	0.144319
0.348417	0.1	0.143778
0.350083	0.1	0.148381
0.351750	0.1	0.156909
0.353417	0.1	0.165591
0.355083	0.1	0.169215
0.356750	0.1	0.164209
0.358417	0.1	0.151057
0.360083	0.1	0.138255
0.361750	0.1	0.133066
0.363417	0.1	0.136418
0.365117	0.102	0.141040
0.367167	0.123	0.140966
0.368817	0.099	0.139014
0.370467	0.099	0.136959
0.372117	0.099	0.132562
0.373800	0.101	0.124784
0.375450	0.099	0.117148
0.377133	0.101	0.112944
0.378783	0.099	0.111211
0.380467	0.101	0.111442
0.382117	0.099	0.114323
0.383800	0.101	0.118501
0.385450	0.099	0.123029
0.387133	0.101	0.125766
0.388783	0.099	0.122666
0.390467	0.101	0.116581
0.392117	0.099	0.111405
0.393800	0.101	0.111135
0.395450	0.099	0.117912
0.397133	0.101	0.128408
0.398783	0.099	0.137023
0.400783	0.12	0.138333
0.402450	0.1	0.130573
0.404117	0.1	0.117750
0.405800	0.101	0.109263
0.407450	0.099	0.108529
0.409117	0.1	0.114748
0.410783	0.1	0.125012
0.412450	0.1	0.133662
0.414117	0.1	0.134180
0.415767	0.099	0.126409
0.417433	0.1	0.117540
0.419100	0.1	0.114540
0.420767	0.1	0.117533
0.422433	0.1	0.122253
0.424100	0.1	0.126425
0.425767	0.1	0.128071
0.427433	0.1	0.128114
0.429100	0.1	0.127459
0.430767	0.1	0.125873
0.432433	0.1	0.124791
0.434417	0.119	0.124687
0.436083	0.1	0.128049
0.437783	0.102	0.131807
0.439433	0.099	0.124589
0.441083	0.099	0.108475
0.442750	0.1	0.099695
0.444433	0.101	0.104580
0.446083	0.099	0.112749
0.447750	0.1	0.112683
0.449417	0.1	0.104565
0.451083	0.1	0.098237
0.452750	0.1	0.094882
0.454417	0.1	0.090398
0.456083	0.1	0.085242
0.457750	0.1	0.080460
0.459417	0.1	0.078834
0.461083	0.1	0.082500
0.462750	0.1	0.090079
0.464417	0.1	0.097843
0.466450	0.122	0.103646
0.468100	0.099	0.103375
0.469750	0.099	0.096864
0.471433	0.101	0.086817
0.473117	0.101	0.074706
0.474750	0.098	0.065660
0.476417	0.1	0.059940
0.478083	0.1	0.058264
0.479750	0.1	0.065266
0.481417	0.1	0.077502
0.483083	0.1	0.080302
0.484750	0.1	0.069434
0.486417	0.1	0.060094
0.488083	0.1	0.061120
0.489750	0.1	0.069291
0.491417	0.1	0.074042
0.493083	0.1	0.065898
0.494750	0.1	0.051578
0.496417	0.1	0.039584
0.498083	0.1	0.033938
0.500083	0.12	0.034572
0.501750	0.1	0.040871
0.503417	0.1	0.054509
0.505100	0.101	0.075614
0.506750	0.099	0.099011
0.508417	0.1	0.118250
0.510083	0.1	0.130360
0.511750	0.1	0.131684
0.513417	0.1	0.121991
0.515083	0.1	0.112022
0.516750	0.1	0.111338
0.518417	0.1	0.115284
0.520083	0.1	0.113588
0.521750	0.1	0.108427
0.523417	0.1	0.105710
0.525083	0.1	0.103665
0.526750	0.1	0.100647
0.528417	0.1	0.098156
0.530083	0.1	0.097808
0.531750	0.1	0.098499
0.533750	0.12	0.098916
0.535417	0.1	0.099953
0.537083	0.1	0.106648
0.538750	0.1	0.119522
0.540417	0.1	0.129027
0.542083	0.1	0.129998
0.543750	0.1	0.127885
0.545417	0.1	0.124347
0.547083	0.1	0.118881
0.548750	0.1	0.113342
0.550417	0.1	0.107612
0.552083	0.1	0.099703
0.553750	0.1	0.093837
0.555417	0.1	0.087242
0.557083	0.1	0.070398
0.558750	0.1	0.051931
0.560417	0.1	0.045794
0.562083	0.1	0.049956
0.563750	0.1	0.060660
0.565450	0.102	0.071719
0.567450	0.12	0.070991
0.569117	0.1	0.062711
0.570783	0.1	0.058807
0.572450	0.1	0.063579
0.574117	0.1	0.076581
0.575783	0.1	0.088904
0.577450	0.1	0.094797
0.579117	0.1	0.097134
0.580783	0.1	0.100041
0.582450	0.1	0.106780
0.584133	0.101	0.113377
0.585783	0.099	0.113840
0.587450	0.1	0.111426
0.589117	0.1	0.109322
0.590783	0.1	0.109690
0.592450	0.1	0.110488
0.594117	0.1	0.105251
0.595783	0.1	0.094036
0.597450	0.1	0.084527
0.599117	0.1	0.079785
0.601150	0.122	0.079376
0.602783	0.098	0.081369
0.604467	0.101	0.086827
0.606133	0.1	0.095796
0.607783	0.099	0.102403
0.609450	0.1	0.106473
0.611117	0.1	0.112344
0.612783	0.1	0.116332
0.614450	0.1	0.115704
0.616100	0.099	0.109578
0.617783	0.101	0.098512
0.619433	0.099	0.089787
0.621100	0.1	0.089658
0.622767	0.1	0.095365
0.624433	0.1	0.101036
0.626100	0.1	0.097795
0.627767	0.1	0.080505
0.629433	0.1	0.060329
0.631100	0.1	0.042200
0.633100	0.12	0.028922
0.634750	0.099	0.028946
0.636417	0.1	0.044648
0.638083	0.1	0.065038
0.639750	0.1	0.081012
0.641417	0.1	0.089318
0.643083	0.1	0.091083
0.644750	0.1	0.089918
0.646417	0.1	0.087253
0.648083	0.1	0.086183
0.649750	0.1	0.090957
0.651417	0.1	0.101998
0.653083	0.1	0.114873
0.654750	0.1	0.123222
0.656417	0.1	0.120959
0.658083	0.1	0.109567
0.659750	0.1	0.100645
0.661417	0.1	0.098692
0.663083	0.1	0.099442
0.664750	0.1	0.100523
0.666750	0.12	0.103098
0.668417	0.1	0.107034
0.670083	0.1	0.109610
0.671783	0.102	0.108234
0.673417	0.098	0.102498
0.675083	0.1	0.096668
0.676750	0.1	0.094712
0.678467	0.103	0.095174
0.680083	0.097	0.094269
0.681750	0.1	0.089964
0.683417	0.1	0.084599
0.685083	0.1	0.082116
0.686750	0.1	0.082635
0.688433	0.101	0.085392
0.690083	0.099	0.093090
0.691750	0.1	0.107050
0.693417	0.1	0.123526
0.695117	0.102	0.134436
0.696750	0.098	0.137707
0.698417	0.1	0.138054
0.700417	0.12	0.135645
0.702083	0.1	0.130637
0.703767	0.101	0.127620
0.705417	0.099	0.123384
0.707083	0.1	0.112923
0.708750	0.1	0.097033
0.710417	0.1	0.078443
0.712083	0.1	0.058337
0.713750	0.1	0.045240
0.715417	0.1	0.051235
0.717083	0.1	0.073507
0.718750	0.1	0.096686
0.720417	0.1	0.111252
0.722083	0.1	0.117805
0.723750	0.1	0.118072
0.725417	0.1	0.115123
0.727083	0.1	0.113892
0.728750	0.1	0.119483
0.730417	0.1	0.128860
0.732117	0.102	0.137718
0.734150	0.122	0.148890
0.735783	0.098	0.162746
0.737450	0.1	0.178197
0.739150	0.102	0.191263
0.740783	0.098	0.194923
0.742450	0.1	0.189051
0.744117	0.1	0.178537
0.745783	0.1	0.164333
0.747450	0.1	0.152510
0.749117	0.1	0.154175
0.750783	0.1	0.172263
0.752450	0.1	0.192762
0.754117	0.1	0.204530
0.755783	0.1	0.210645
0.757450	0.1	0.217198
