URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/6.1.23 Liver western diets 5.3 replicates.seq/429.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	6.1.23 Liver western diets 5.3 replicates
Name	5.3.23 c865 Liver 3
Number	9
Position	RB1
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	6/2/2023 7:35:22 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.500417
Data Points	63843
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.323611
Signal Max.	43.237460
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10103106

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.017177
0.001683	0.101	0.018177
0.003333	0.099	0.016878
0.005017	0.101	0.013592
0.006667	0.099	0.012260
0.008350	0.101	0.012269
0.010000	0.099	0.012718
0.011683	0.101	0.014420
0.013333	0.099	0.016296
0.015000	0.1	0.016572
0.016667	0.1	0.017317
0.018333	0.1	0.018401
0.020000	0.1	0.018409
0.021683	0.101	0.018382
0.023333	0.099	0.015548
0.025000	0.1	0.004844
0.026667	0.1	-0.010733
0.028333	0.1	-0.021382
0.030000	0.1	-0.025507
0.031717	0.103	-0.026728
0.033817	0.126	-0.025752
0.035467	0.099	-0.023101
0.037117	0.099	-0.023538
0.038783	0.1	-0.026770
0.040483	0.102	-0.026171
0.042167	0.101	-0.021677
0.043833	0.1	-0.020522
0.045500	0.1	-0.025950
0.047167	0.1	-0.034218
0.048833	0.1	-0.032799
0.050500	0.1	-0.020969
0.052167	0.1	-0.006978
0.053833	0.1	0.002950
0.055500	0.1	0.008796
0.057167	0.1	0.012468
0.058833	0.1	0.014674
0.060500	0.1	0.017312
0.062167	0.1	0.021656
0.063833	0.1	0.021393
0.065867	0.122	0.011690
0.067500	0.098	-0.000866
0.069167	0.1	-0.008942
0.070833	0.1	-0.012081
0.072500	0.1	-0.017557
0.074167	0.1	-0.026690
0.075833	0.1	-0.034179
0.077500	0.1	-0.037823
0.079167	0.1	-0.040221
0.080833	0.1	-0.043777
0.082500	0.1	-0.044925
0.084167	0.1	-0.037194
0.085833	0.1	-0.021317
0.087500	0.1	-0.007943
0.089167	0.1	-0.006555
0.090833	0.1	-0.014884
0.092500	0.1	-0.019400
0.094167	0.1	-0.017993
0.095833	0.1	-0.017170
0.097500	0.1	-0.015046
0.099500	0.12	-0.009344
0.101167	0.1	-0.001323
0.102833	0.1	0.007518
0.104517	0.101	0.012151
0.106167	0.099	0.007528
