URL	chrom://farber-hplc/test001/Josh/1.25.23 ASGR Fish Poop.seq/462.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	1.25.23 ASGR Fish Poop
Name	ASGR331
Number	8
Position	RA8
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	1/28/2023 2:09:27 AM -05:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.501333
Data Points	63843
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-1.304010
Signal Max.	297.001100
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10103192

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.076224
0.001667	0.1	-0.056170
0.003333	0.1	-0.028455
0.005000	0.1	-0.009859
0.006667	0.1	0.000291
0.008333	0.1	0.002849
0.010000	0.1	-0.000327
0.011667	0.1	-0.006499
0.013333	0.1	-0.012807
0.015000	0.1	-0.018246
0.016667	0.1	-0.017535
0.018333	0.1	-0.005355
0.020000	0.1	0.007194
0.021667	0.1	0.012412
0.023333	0.1	0.008495
0.025000	0.1	-0.006633
0.026667	0.1	-0.025797
0.028333	0.1	-0.044252
0.030000	0.1	-0.071883
0.032083	0.125	-0.111313
0.033667	0.095	-0.141329
0.035333	0.1	-0.147419
0.037000	0.1	-0.131885
0.038683	0.101	-0.104488
0.040333	0.099	-0.077650
0.042000	0.1	-0.065587
0.043667	0.1	-0.068133
0.045333	0.1	-0.076516
0.047000	0.1	-0.084794
0.048667	0.1	-0.079896
0.050333	0.1	-0.059167
0.052000	0.1	-0.035947
0.053667	0.1	-0.023124
0.055333	0.1	-0.029905
0.057000	0.1	-0.064460
0.058667	0.1	-0.112809
0.060333	0.1	-0.156033
0.062000	0.1	-0.178617
0.063667	0.1	-0.170987
0.065750	0.125	-0.133054
0.067333	0.095	-0.084193
0.069017	0.101	-0.048773
0.070683	0.1	-0.037079
0.072333	0.099	-0.033957
0.074000	0.1	-0.029059
0.075667	0.1	-0.025911
0.077333	0.1	-0.019350
0.079000	0.1	-0.006890
0.080667	0.1	0.006371
0.082333	0.1	0.012581
0.084000	0.1	-0.004816
0.085667	0.1	-0.031299
0.087333	0.1	-0.043689
0.089000	0.1	-0.038267
0.090667	0.1	-0.029776
0.092333	0.1	-0.029228
0.094000	0.1	-0.030803
0.095667	0.1	-0.033684
0.097333	0.1	-0.048354
0.099333	0.12	-0.068445
0.101000	0.1	-0.078718
0.102667	0.1	-0.082404
0.104333	0.1	-0.082909
0.106000	0.1	-0.079686
0.107667	0.1	-0.068392
0.109333	0.1	-0.050041
0.111000	0.1	-0.034346
0.112667	0.1	-0.040015
0.114333	0.1	-0.061241
0.116000	0.1	-0.078796
0.117667	0.1	-0.083222
0.119333	0.1	-0.067051
0.121033	0.102	-0.037855
0.122700	0.1	-0.016755
0.124367	0.1	-0.009595
0.126033	0.1	-0.003659
0.127700	0.1	0.002037
0.129367	0.1	-0.003651
0.131033	0.1	-0.021002
0.133033	0.12	-0.036210
0.134700	0.1	-0.041359
0.136367	0.1	-0.041481
0.138033	0.1	-0.040496
0.139700	0.1	-0.035388
0.141367	0.1	-0.029580
0.143033	0.1	-0.020767
0.144700	0.1	-0.002929
0.146367	0.1	0.022635
0.148033	0.1	0.042690
0.149700	0.1	0.044833
0.151367	0.1	0.032378
0.153033	0.1	0.013284
0.154700	0.1	-0.007181
0.156367	0.1	-0.019395
0.158033	0.1	-0.026168
0.159700	0.1	-0.029547
0.161367	0.1	-0.029011
0.163033	0.1	-0.023290
0.164700	0.1	-0.014437
0.166700	0.12	-0.009273
0.168367	0.1	-0.013911
0.170033	0.1	-0.022404
0.171683	0.099	-0.021805
0.173350	0.1	-0.005425
0.175017	0.1	0.015998
0.176683	0.1	0.019002
0.178350	0.1	0.001834
0.180017	0.1	-0.018009
0.181683	0.1	-0.024802
0.183350	0.1	-0.021832
0.185017	0.1	-0.020320
0.186700	0.101	-0.023247
0.188333	0.098	-0.019261
0.190000	0.1	-0.010505
0.191667	0.1	-0.007158
0.193333	0.1	-0.004168
0.195000	0.1	0.007451
0.196667	0.1	0.023463
0.198333	0.1	0.031697
0.200333	0.12	0.035357
0.202000	0.1	0.040274
0.203667	0.1	0.043761
0.205333	0.1	0.045198
0.207000	0.1	0.038931
0.208667	0.1	0.023163
0.210333	0.1	0.007313
0.212000	0.1	0.000989
0.213667	0.1	0.006029
0.215333	0.1	0.021419
0.217000	0.1	0.037647
0.218667	0.1	0.043661
0.220333	0.1	0.041378
0.222000	0.1	0.033657
0.223667	0.1	0.017485
0.225333	0.1	-0.004572
0.227000	0.1	-0.022227
0.228667	0.1	-0.028928
0.230350	0.101	-0.029142
0.232367	0.121	-0.023607
0.234000	0.098	-0.024852
0.235667	0.1	-0.049028
0.237350	0.101	-0.073347
0.239033	0.101	-0.074739
0.240667	0.098	-0.052951
0.242333	0.1	-0.024461
0.244000	0.1	-0.008646
0.245667	0.1	-0.007048
0.247333	0.1	-0.008403
0.249000	0.1	-0.010568
0.250667	0.1	-0.016341
0.252333	0.1	-0.021761
0.254000	0.1	-0.018853
0.255667	0.1	-0.010554
0.257333	0.1	-0.000565
0.259000	0.1	0.005687
0.260667	0.1	0.007366
0.262333	0.1	0.010376
0.264000	0.1	0.018894
0.266000	0.12	0.018774
0.267667	0.1	-0.011113
0.269333	0.1	-0.061573
0.271000	0.1	-0.088941
0.272667	0.1	-0.072180
0.274333	0.1	-0.023502
0.276000	0.1	0.025750
0.277667	0.1	0.053010
0.279333	0.1	0.053828
0.281000	0.1	0.030527
0.282667	0.1	-0.011239
0.284333	0.1	-0.049390
0.286000	0.1	-0.067153
0.287700	0.102	-0.063011
0.289367	0.1	-0.048469
0.291033	0.1	-0.032841
0.292700	0.1	-0.016081
0.294367	0.1	-0.007097
0.296033	0.1	-0.024827
0.297700	0.1	-0.055162
0.299700	0.12	-0.078734
0.301367	0.1	-0.087336
0.303033	0.1	-0.083326
0.304733	0.102	-0.076274
0.306417	0.101	-0.067657
0.308050	0.098	-0.060918
0.309700	0.099	-0.065972
0.311367	0.1	-0.072791
0.313033	0.1	-0.069011
0.314700	0.1	-0.057380
0.316367	0.1	-0.049158
0.318033	0.1	-0.057644
0.319700	0.1	-0.076969
0.321367	0.1	-0.091081
0.323033	0.1	-0.089252
0.324700	0.1	-0.075779
0.326367	0.1	-0.055664
0.328033	0.1	-0.032425
0.329700	0.1	-0.016328
0.331367	0.1	-0.020618
0.333400	0.122	-0.045689
0.335033	0.098	-0.064237
0.336700	0.1	-0.065032
0.338367	0.1	-0.061542
0.340033	0.1	-0.066793
0.341700	0.1	-0.084142
0.343367	0.1	-0.102452
0.345033	0.1	-0.096841
0.346700	0.1	-0.059481
0.348367	0.1	-0.004982
0.350033	0.1	0.035890
0.351700	0.1	0.046749
0.353367	0.1	0.036762
0.355033	0.1	0.017439
0.356700	0.1	-0.006984
0.358367	0.1	-0.020757
0.360033	0.1	-0.011948
0.361700	0.1	0.005523
0.363367	0.1	0.011510
0.365033	0.1	0.008206
0.367033	0.12	0.011153
0.368733	0.102	0.014365
0.370400	0.1	-0.005428
0.372067	0.1	-0.052894
0.373700	0.098	-0.094201
0.375383	0.101	-0.099950
0.377033	0.099	-0.071124
0.378717	0.101	-0.028192
0.380367	0.099	-0.001587
0.382050	0.101	-0.019343
0.383700	0.099	-0.063136
0.385383	0.101	-0.089370
0.387033	0.099	-0.076999
0.388717	0.101	-0.040382
0.390367	0.099	-0.004214
0.392050	0.101	0.017519
0.393700	0.099	0.028364
0.395383	0.101	0.036110
0.397050	0.1	0.031881
0.398717	0.1	0.010887
0.400700	0.119	-0.010875
0.402367	0.1	-0.017538
0.404050	0.101	-0.011106
0.405700	0.099	0.007495
0.407367	0.1	0.028270
0.409033	0.1	0.037900
