URL	chrom://farber-hplc/test001/Josh/1.25.23 ASGR Fish Poop.seq/609.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	1.25.23 ASGR Fish Poop
Name	ASGR52
Number	1
Position	RA1
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	1/27/2023 1:26:11 PM -05:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.500817
Data Points	63841
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-1.186597
Signal Max.	334.273000
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.13
Average Step (s)	0.1010346

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.002441
0.001650	0.099	-0.017055
0.003317	0.1	-0.034261
0.004983	0.1	-0.051737
0.006650	0.1	-0.060997
0.008317	0.1	-0.055106
0.009983	0.1	-0.038600
0.011650	0.1	-0.015988
0.013317	0.1	0.010554
0.014983	0.1	0.018397
0.016650	0.1	-0.001538
0.018317	0.1	-0.021100
0.019983	0.1	-0.022394
0.021650	0.1	-0.016195
0.023317	0.1	-0.011212
0.024983	0.1	-0.010045
0.026650	0.1	-0.013899
0.028317	0.1	-0.029864
0.030317	0.12	-0.056477
0.031983	0.1	-0.094401
0.033717	0.104	-0.152947
0.035317	0.096	-0.212652
0.036983	0.1	-0.239315
0.038650	0.1	-0.228470
0.040317	0.1	-0.208107
0.041983	0.1	-0.184583
0.043650	0.1	-0.152215
0.045317	0.1	-0.114023
0.046983	0.1	-0.074215
0.048650	0.1	-0.047585
0.050317	0.1	-0.048171
0.051983	0.1	-0.068843
0.053650	0.1	-0.086471
0.055317	0.1	-0.097666
0.057017	0.102	-0.100108
0.058683	0.1	-0.081963
0.060350	0.1	-0.046057
0.062017	0.1	-0.021724
0.064033	0.121	-0.040017
0.065683	0.099	-0.075722
0.067350	0.1	-0.092686
0.069017	0.1	-0.075969
0.070683	0.1	-0.035519
0.072350	0.1	0.006749
0.074017	0.1	0.036820
0.075683	0.1	0.047978
0.077350	0.1	0.042564
0.079017	0.1	0.032971
0.080700	0.101	0.028820
0.082350	0.099	0.028892
0.084017	0.1	0.029774
0.085683	0.1	0.030538
0.087350	0.1	0.034817
0.089017	0.1	0.033778
0.090683	0.1	0.020414
0.092350	0.1	0.003622
0.094017	0.1	-0.006836
0.095683	0.1	-0.011731
0.097717	0.122	-0.020020
0.099367	0.099	-0.033710
0.101050	0.101	-0.044409
0.102700	0.099	-0.051587
0.104350	0.099	-0.060628
0.106033	0.101	-0.058000
0.107667	0.098	-0.038294
0.109350	0.101	-0.011014
0.111000	0.099	0.009385
0.112683	0.101	0.002964
0.114333	0.099	-0.026308
0.116017	0.101	-0.051120
0.117667	0.099	-0.048427
0.119350	0.101	-0.032326
0.121000	0.099	-0.020209
0.122683	0.101	-0.007441
0.124317	0.098	0.011505
0.126000	0.101	0.034855
0.127650	0.099	0.054484
0.129333	0.101	0.065702
0.131317	0.119	0.068439
0.133017	0.102	0.065699
0.134683	0.1	0.059354
0.136317	0.098	0.031697
0.137983	0.1	-0.020504
0.139650	0.1	-0.070149
0.141317	0.1	-0.092729
0.142983	0.1	-0.092266
0.144683	0.102	-0.079196
0.146317	0.098	-0.055689
0.147983	0.1	-0.023892
0.149650	0.1	0.004565
0.151317	0.1	0.019834
0.152983	0.1	0.024295
0.154650	0.1	0.012901
0.156317	0.1	-0.004613
0.157983	0.1	-0.010619
0.159650	0.1	-0.005826
0.161317	0.1	0.011165
0.163333	0.121	0.034538
0.164983	0.099	0.057999
0.166650	0.1	0.076427
0.168317	0.1	0.083744
0.169983	0.1	0.074368
0.171650	0.1	0.046107
0.173317	0.1	0.005286
0.174983	0.1	-0.044606
0.176650	0.1	-0.083038
0.178317	0.1	-0.093989
0.179983	0.1	-0.088600
0.181650	0.1	-0.081565
0.183317	0.1	-0.076515
0.184983	0.1	-0.072676
0.186650	0.1	-0.061061
0.188317	0.1	-0.037138
0.189983	0.1	-0.009808
0.191650	0.1	0.008683
0.193317	0.1	0.014397
0.194983	0.1	0.011874
0.196983	0.12	0.005186
0.198650	0.1	0.000284
0.200317	0.1	-0.004860
0.201983	0.1	-0.023531
