URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/8.4.23 7_12 livers and poop.seq/242.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	8.4.23 7_12 livers and poop
Name	Nluc 4 liver 7.12.23
Number	2
Position	RB1
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	8/5/2023 2:28:13 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.500350
Data Points	63839
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.067779
Signal Max.	67.999770
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10103733

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.011982
0.001667	0.1	0.019347
0.003333	0.1	0.025607
0.005000	0.1	0.030500
0.006683	0.101	0.035556
0.008333	0.099	0.040241
0.010000	0.1	0.036738
0.011667	0.1	0.020759
0.013317	0.099	0.006472
0.014983	0.1	0.004689
0.016650	0.1	0.006524
0.018317	0.1	0.004068
0.019983	0.1	0.002194
0.021650	0.1	0.004025
0.023317	0.1	0.007013
0.024983	0.1	0.005857
0.026650	0.1	-0.005308
0.028317	0.1	-0.023227
0.029983	0.1	-0.040997
0.032033	0.123	-0.055030
0.033683	0.099	-0.065904
0.035317	0.098	-0.067779
0.036983	0.1	-0.062265
0.038650	0.1	-0.054933
0.040317	0.1	-0.047742
0.041983	0.1	-0.039306
0.043650	0.1	-0.027074
0.045317	0.1	-0.013178
0.046983	0.1	-0.005113
0.048650	0.1	-0.010294
0.050317	0.1	-0.023808
0.051983	0.1	-0.032479
0.053650	0.1	-0.031276
0.055317	0.1	-0.024498
0.056983	0.1	-0.017577
0.058650	0.1	-0.013020
0.060317	0.1	-0.010137
0.062000	0.101	-0.005950
0.063650	0.099	-0.000504
0.065650	0.12	0.002313
0.067317	0.1	0.001933
0.068983	0.1	-0.000295
0.070650	0.1	-0.005284
0.072317	0.1	-0.010803
0.073983	0.1	-0.015884
0.075650	0.1	-0.018008
0.077317	0.1	-0.010796
0.078983	0.1	0.001889
0.080650	0.1	0.010961
0.082317	0.1	0.014643
0.083983	0.1	0.014770
0.085650	0.1	0.012418
0.087317	0.1	0.009139
0.088983	0.1	0.003088
0.090650	0.1	-0.004764
0.092317	0.1	-0.009133
0.093983	0.1	-0.008573
0.095650	0.1	-0.005910
0.097317	0.1	-0.002872
0.099317	0.12	-0.000294
0.100983	0.1	0.002682
0.102650	0.1	0.004136
0.104317	0.1	0.002765
0.105983	0.1	0.001960
0.107650	0.1	0.007085
0.109317	0.1	0.016879
0.110983	0.1	0.025904
0.112650	0.1	0.030688
0.114367	0.103	0.029739
0.115983	0.097	0.025931
0.117650	0.1	0.023433
0.119317	0.1	0.021197
0.120983	0.1	0.016621
0.122650	0.1	0.011100
0.124317	0.1	0.006533
0.125983	0.1	0.003391
0.127650	0.1	0.000738
0.129317	0.1	-0.001203
0.131033	0.103	-0.003711
0.133050	0.121	-0.003514
0.134683	0.098	-0.001541
0.136350	0.1	-0.002587
0.138033	0.101	-0.004938
0.139683	0.099	-0.003668
0.141350	0.1	0.001056
0.143017	0.1	0.005818
0.144683	0.1	0.009456
0.146350	0.1	0.010896
0.148017	0.1	0.009255
0.149683	0.1	0.007950
0.151350	0.1	0.012352
0.153017	0.1	0.020149
0.154683	0.1	0.026829
0.156350	0.1	0.029890
0.158017	0.1	0.023923
0.159683	0.1	0.011834
0.161350	0.1	0.003833
0.163017	0.1	0.002702
0.164683	0.1	0.004992
0.166717	0.122	0.005628
0.168350	0.098	0.006757
0.170033	0.101	0.011973
0.171683	0.099	0.014492
0.173367	0.101	0.007187
0.175017	0.099	-0.003944
0.176700	0.101	-0.006620
0.178350	0.099	0.000303
0.180017	0.1	0.011430
0.181667	0.099	0.022063
0.183350	0.101	0.031733
0.185000	0.099	0.039271
0.186683	0.101	0.039778
0.188333	0.099	0.031081
0.190017	0.101	0.019540
0.191667	0.099	0.012769
0.193350	0.101	0.013091
0.195000	0.099	0.017822
0.196667	0.1	0.024906
0.198317	0.099	0.030117
0.200317	0.12	0.028450
0.202017	0.102	0.024048
0.203683	0.1	0.020734
0.205317	0.098	0.017720
0.206983	0.1	0.014145
0.208650	0.1	0.011941
0.210317	0.1	0.013112
0.211983	0.1	0.017671
0.213650	0.1	0.017105
0.215317	0.1	0.005980
0.216983	0.1	-0.006953
0.218650	0.1	-0.012173
0.220317	0.1	-0.007664
0.221983	0.1	0.002886
0.223650	0.1	0.013175
0.225317	0.1	0.017635
0.226983	0.1	0.016180
0.228650	0.1	0.014578
0.230317	0.1	0.013541
0.232333	0.121	0.007971
0.233983	0.099	0.000706
0.235650	0.1	0.000807
0.237333	0.101	0.011675
0.238983	0.099	0.023265
0.240650	0.1	0.021288
0.242317	0.1	0.008370
0.243983	0.1	-0.000767
0.245650	0.1	0.001594
0.247317	0.1	0.009051
0.248983	0.1	0.016447
0.250650	0.1	0.017142
0.252317	0.1	0.005979
0.253983	0.1	-0.008693
0.255650	0.1	-0.015407
0.257317	0.1	-0.011101
0.258983	0.1	-0.001688
0.260650	0.1	0.004059
0.262317	0.1	0.004263
0.263983	0.1	0.005132
0.265983	0.12	0.008846
0.267650	0.1	0.011480
0.269317	0.1	0.012787
0.271000	0.101	0.014556
0.272717	0.103	0.017172
0.274317	0.096	0.019208
0.275983	0.1	0.019996
0.277650	0.1	0.017680
0.279317	0.1	0.012875
0.280983	0.1	0.012297
0.282650	0.1	0.018055
0.284317	0.1	0.024901
0.285983	0.1	0.029608
0.287650	0.1	0.030064
0.289367	0.103	0.026183
0.290983	0.097	0.022120
0.292650	0.1	0.019264
0.294317	0.1	0.014937
0.295983	0.1	0.010392
0.297683	0.102	0.008855
0.299683	0.12	0.010212
0.301350	0.1	0.010393
0.303033	0.101	0.007929
0.304683	0.099	0.002855
0.306350	0.1	-0.003770
0.308017	0.1	-0.005305
0.309683	0.1	0.003472
0.311350	0.1	0.018472
0.313017	0.1	0.030615
0.314683	0.1	0.036592
0.316350	0.1	0.037298
0.318017	0.1	0.034005
0.319683	0.1	0.028816
0.321350	0.1	0.024354
0.323017	0.1	0.016257
0.324683	0.1	0.006044
0.326350	0.1	0.001288
0.328017	0.1	0.003437
0.329683	0.1	0.009032
0.331350	0.1	0.015084
0.333383	0.122	0.021864
0.335017	0.098	0.027871
0.336683	0.1	0.027336
0.338350	0.1	0.022407
0.340017	0.1	0.015475
0.341683	0.1	0.009339
0.343350	0.1	0.007743
0.345017	0.1	0.008462
0.346683	0.1	0.009717
0.348367	0.101	0.009981
0.350017	0.099	0.000812
0.351683	0.1	-0.013707
0.353350	0.1	-0.022176
0.355017	0.1	-0.021119
0.356683	0.1	-0.014927
0.358350	0.1	-0.006806
0.360017	0.1	0.000899
0.361683	0.1	0.005020
0.363333	0.099	0.005077
0.365000	0.1	0.004388
0.367000	0.12	0.004116
0.368667	0.1	0.002506
0.370367	0.102	0.000355
0.372000	0.098	0.001510
0.373667	0.1	0.008198
0.375333	0.1	0.017360
0.377000	0.1	0.022709
0.378667	0.1	0.022756
0.380317	0.099	0.018739
0.381983	0.1	0.010677
0.383650	0.1	0.004785
0.385317	0.1	0.004687
0.386983	0.1	0.008155
0.388650	0.1	0.014171
0.390317	0.1	0.022392
0.391983	0.1	0.030888
0.393650	0.1	0.037298
0.395317	0.1	0.038422
0.396983	0.1	0.033303
0.398650	0.1	0.025481
0.400683	0.122	0.018362
0.402317	0.098	0.015479
0.403983	0.1	0.016462
0.405667	0.101	0.016452
0.407317	0.099	0.013923
0.408983	0.1	0.012726
0.410650	0.1	0.014519
0.412317	0.1	0.015969
0.413983	0.1	0.012108
0.415650	0.1	0.003184
0.417317	0.1	-0.003849
0.418983	0.1	-0.003988
0.420650	0.1	-0.003386
0.422317	0.1	-0.004377
0.423983	0.1	-0.000330
0.425650	0.1	0.009062
0.427317	0.1	0.016215
0.428983	0.1	0.016048
0.430650	0.1	0.006567
0.432650	0.12	-0.008497
0.434317	0.1	-0.019066
0.435983	0.1	-0.023646
0.437650	0.1	-0.030396
0.439317	0.1	-0.038808
0.440983	0.1	-0.042536
0.442650	0.1	-0.036293
0.444317	0.1	-0.022679
0.445983	0.1	-0.008527
