URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/3.16.2023 Liver Western Diet ASGR rep2.seq/106.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	3.16.2023 Liver Western Diet ASGR rep2
Name	c830 2
Number	3
Position	RA5
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	3/16/2023 9:27:10 PM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.501033
Data Points	63841
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.082401
Signal Max.	97.743340
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10103481

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.002668
0.001667	0.1	0.004022
0.003333	0.1	0.002429
0.005000	0.1	-0.002155
0.006667	0.1	-0.009057
0.008333	0.1	-0.020209
0.010000	0.1	-0.034709
0.011667	0.1	-0.044180
0.013333	0.1	-0.045064
0.015000	0.1	-0.038679
0.016667	0.1	-0.027881
0.018333	0.1	-0.016108
0.020000	0.1	-0.006449
0.021667	0.1	-0.002066
0.023333	0.1	-0.004828
0.025000	0.1	-0.014990
0.026667	0.1	-0.026042
0.028333	0.1	-0.032664
0.030000	0.1	-0.033568
0.032050	0.123	-0.028097
0.033783	0.104	-0.021168
0.035450	0.1	-0.019453
0.037117	0.1	-0.024238
0.038783	0.1	-0.035410
0.040450	0.1	-0.051767
0.042150	0.102	-0.069744
0.043783	0.098	-0.081338
0.045450	0.1	-0.082183
0.047117	0.1	-0.071871
0.048783	0.1	-0.054970
0.050450	0.1	-0.038977
0.052117	0.1	-0.029757
0.053783	0.1	-0.027353
0.055450	0.1	-0.030701
0.057117	0.1	-0.033366
0.058783	0.1	-0.030433
0.060450	0.1	-0.025987
0.062117	0.1	-0.023901
0.063783	0.1	-0.020797
0.065783	0.12	-0.014576
0.067450	0.1	-0.006027
0.069150	0.102	0.002084
0.070767	0.097	0.004573
0.072433	0.1	-0.001720
0.074100	0.1	-0.012669
0.075767	0.1	-0.023187
0.077433	0.1	-0.029773
0.079100	0.1	-0.030094
0.080767	0.1	-0.024967
0.082433	0.1	-0.015586
0.084100	0.1	-0.002657
0.085767	0.1	0.011504
0.087417	0.099	0.021220
0.089083	0.1	0.024253
0.090750	0.1	0.022417
0.092417	0.1	0.018988
0.094083	0.1	0.016941
0.095750	0.1	0.012610
0.097417	0.1	0.003725
0.099417	0.12	-0.005940
0.101083	0.1	-0.012873
0.102750	0.1	-0.018781
0.104433	0.101	-0.025075
0.106117	0.101	-0.025383
0.107750	0.098	-0.020638
0.109417	0.1	-0.018748
0.111083	0.1	-0.020021
0.112750	0.1	-0.018013
0.114417	0.1	-0.008918
0.116083	0.1	0.000835
0.117750	0.1	0.004765
0.119417	0.1	0.000865
0.121083	0.1	-0.006461
0.122750	0.1	-0.011724
0.124417	0.1	-0.015906
0.126083	0.1	-0.023683
0.127750	0.1	-0.031219
0.129417	0.1	-0.031662
0.131083	0.1	-0.022236
0.133083	0.12	-0.012990
0.134750	0.1	-0.011758
0.136417	0.1	-0.012573
0.138083	0.1	-0.009526
0.139750	0.1	-0.007940
0.141417	0.1	-0.006775
0.143083	0.1	-0.002258
0.144750	0.1	0.006134
0.146417	0.1	0.010921
0.148083	0.1	0.007193
0.149750	0.1	0.001438
0.151417	0.1	-0.000780
0.153083	0.1	0.002516
0.154750	0.1	0.008129
0.156417	0.1	0.008796
0.158083	0.1	0.000301
0.159750	0.1	-0.011690
0.161417	0.1	-0.019519
0.163083	0.1	-0.022131
0.164750	0.1	-0.023917
0.166783	0.122	-0.028751
0.168450	0.1	-0.033256
0.170083	0.098	-0.033748
0.171750	0.1	-0.029677
0.173433	0.101	-0.020144
0.175083	0.099	-0.006108
0.176750	0.1	0.009631
0.178417	0.1	0.020360
0.180083	0.1	0.023422
0.181750	0.1	0.024977
0.183417	0.1	0.026316
0.185083	0.1	0.024811
0.186750	0.1	0.018952
0.188417	0.1	0.011647
0.190083	0.1	0.008591
0.191750	0.1	0.006583
0.193417	0.1	-0.000182
0.195083	0.1	-0.011276
0.196750	0.1	-0.019510
0.198833	0.125	-0.018930
0.200517	0.101	-0.013675
0.202183	0.1	-0.015119
0.203833	0.099	-0.021306
0.205500	0.1	-0.022074
0.207167	0.1	-0.018281
0.208833	0.1	-0.019592
0.210500	0.1	-0.025348
0.212167	0.1	-0.033904
0.213833	0.1	-0.048727
0.215500	0.1	-0.061640
0.217167	0.1	-0.065894
0.218833	0.1	-0.060087
0.220500	0.1	-0.049242
0.222167	0.1	-0.042011
0.223833	0.1	-0.036955
0.225500	0.1	-0.025085
0.227167	0.1	-0.008954
0.228833	0.1	0.000736
0.230500	0.1	0.002504
0.232517	0.121	0.001368
0.234167	0.099	-0.002944
0.235850	0.101	-0.009449
0.237517	0.1	-0.017681
0.239200	0.101	-0.035615
0.240833	0.098	-0.059991
0.242500	0.1	-0.075360
0.244167	0.1	-0.068918
0.245833	0.1	-0.045989
0.247500	0.1	-0.023573
0.249183	0.101	-0.010116
0.250833	0.099	-0.003288
0.252517	0.101	-0.003005
0.254167	0.099	-0.011365
0.255833	0.1	-0.019893
0.257500	0.1	-0.022906
0.259167	0.1	-0.023049
0.260833	0.1	-0.020534
0.262500	0.1	-0.017147
0.264167	0.1	-0.018191
0.266167	0.12	-0.022910
0.267833	0.1	-0.026106
0.269500	0.1	-0.023404
