URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/3.28.23 Liver Western Diet rnd2 %26 poop rnd2 march 16 samples.seq/653.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	3.28.23 Liver Western Diet rnd2 & poop rnd2 march 16 samples
Name	c830 3 liver
Number	1
Position	RA1
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	3/28/2023 3:54:58 PM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.501550
Data Points	63841
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.072927
Signal Max.	78.226320
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10103529

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.029443
0.001700	0.102	-0.040721
0.003333	0.098	-0.046494
0.005000	0.1	-0.049367
0.006667	0.1	-0.051587
0.008333	0.1	-0.053677
0.010000	0.1	-0.058099
0.011667	0.1	-0.065227
0.013333	0.1	-0.067284
0.015000	0.1	-0.057801
0.016667	0.1	-0.041588
0.018333	0.1	-0.026667
0.020000	0.1	-0.018345
0.021667	0.1	-0.016298
0.023333	0.1	-0.016064
0.025000	0.1	-0.014051
0.026667	0.1	-0.012234
0.028333	0.1	-0.013706
0.030000	0.1	-0.017987
0.031667	0.1	-0.020948
0.033667	0.12	-0.023327
0.035333	0.1	-0.029006
0.037000	0.1	-0.034151
0.038667	0.1	-0.035150
0.040350	0.101	-0.033076
0.042000	0.099	-0.027695
0.043667	0.1	-0.021037
0.045333	0.1	-0.016128
0.047000	0.1	-0.015971
0.048667	0.1	-0.020274
0.050333	0.1	-0.025851
0.052000	0.1	-0.031138
0.053667	0.1	-0.036760
0.055333	0.1	-0.041004
0.057000	0.1	-0.039716
0.058667	0.1	-0.034982
0.060333	0.1	-0.035675
0.062000	0.1	-0.040846
0.063667	0.1	-0.045341
0.065333	0.1	-0.043326
0.067350	0.121	-0.036562
0.069000	0.099	-0.031051
0.070667	0.1	-0.031309
0.072333	0.1	-0.035212
0.074067	0.104	-0.038458
0.075717	0.099	-0.039724
0.077383	0.1	-0.038845
0.079050	0.1	-0.034277
0.080717	0.1	-0.023559
0.082383	0.1	-0.010099
0.084050	0.1	-0.001313
0.085717	0.1	0.000531
0.087383	0.1	-0.003129
0.089050	0.1	-0.009841
0.090717	0.1	-0.015990
0.092383	0.1	-0.017106
0.094050	0.1	-0.014064
0.095717	0.1	-0.006481
0.097383	0.1	-0.000912
0.099050	0.1	-0.003803
0.101050	0.12	-0.010842
0.102717	0.1	-0.013249
0.104383	0.1	-0.008026
0.106050	0.1	-0.003855
0.107767	0.103	-0.008218
0.109383	0.097	-0.019299
0.111050	0.1	-0.031703
0.112717	0.1	-0.043252
0.114383	0.1	-0.054906
0.116050	0.1	-0.066665
0.117717	0.1	-0.072927
0.119383	0.1	-0.070461
0.121050	0.1	-0.062523
0.122717	0.1	-0.056175
0.124417	0.102	-0.056614
0.126083	0.1	-0.055685
0.127750	0.1	-0.047291
0.129417	0.1	-0.034965
0.131100	0.101	-0.023863
0.132750	0.099	-0.016733
0.134783	0.122	-0.014742
0.136417	0.098	-0.016963
0.138117	0.102	-0.024514
0.139750	0.098	-0.033460
0.141417	0.1	-0.037377
0.143083	0.1	-0.034370
0.144750	0.1	-0.029238
0.146417	0.1	-0.024788
0.148083	0.1	-0.028595
0.149750	0.1	-0.042124
0.151417	0.1	-0.052034
0.153083	0.1	-0.051097
0.154750	0.1	-0.045133
0.156417	0.1	-0.036138
0.158083	0.1	-0.023936
0.159750	0.1	-0.011941
0.161417	0.1	-0.009143
0.163083	0.1	-0.016217
0.164750	0.1	-0.028332
0.166417	0.1	-0.040667
