URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/3.13.2023 Liver Western Diet ASGR.seq/687.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	3.13.2023 Liver Western Diet ASGR
Name	c830 Liver 2
Number	4
Position	RA4
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	3/13/2023 10:54:03 PM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.501300
Data Points	63833
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.109288
Signal Max.	491.289000
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.13
Average Step (s)	0.10104772

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.053045
0.001667	0.1	-0.033980
0.003333	0.1	-0.021384
0.005000	0.1	-0.019904
0.006667	0.1	-0.025984
0.008333	0.1	-0.031123
0.010000	0.1	-0.028405
0.011667	0.1	-0.021009
0.013333	0.1	-0.015759
0.015000	0.1	-0.017318
0.016667	0.1	-0.022803
0.018333	0.1	-0.023171
0.020000	0.1	-0.022160
0.021683	0.101	-0.029263
0.023333	0.099	-0.040165
0.025000	0.1	-0.050047
0.026667	0.1	-0.060754
0.028333	0.1	-0.069024
0.030000	0.1	-0.071468
0.032000	0.12	-0.067290
0.033667	0.1	-0.060523
0.035350	0.101	-0.054380
0.036983	0.098	-0.047120
0.038650	0.1	-0.040460
0.040317	0.1	-0.035984
0.041983	0.1	-0.031854
0.043650	0.1	-0.031402
0.045317	0.1	-0.040528
0.046983	0.1	-0.056180
0.048650	0.1	-0.066845
0.050317	0.1	-0.071093
0.051967	0.099	-0.070851
0.053633	0.1	-0.066738
0.055300	0.1	-0.061521
0.056967	0.1	-0.058066
0.058633	0.1	-0.059436
0.060300	0.1	-0.065123
0.061967	0.1	-0.070400
0.063633	0.1	-0.070486
0.065667	0.122	-0.062814
0.067300	0.098	-0.049168
0.068967	0.1	-0.032403
0.070633	0.1	-0.018525
0.072300	0.1	-0.017829
0.073967	0.1	-0.028809
0.075633	0.1	-0.040491
0.077300	0.1	-0.043493
0.078967	0.1	-0.034656
0.080633	0.1	-0.019957
0.082300	0.1	-0.008888
0.083967	0.1	-0.006186
0.085633	0.1	-0.009020
0.087300	0.1	-0.012048
0.088967	0.1	-0.011793
0.090633	0.1	-0.008659
0.092300	0.1	-0.006261
0.093967	0.1	-0.005350
0.095633	0.1	-0.000230
0.097300	0.1	0.009800
0.099300	0.12	0.021024
0.100967	0.1	0.033103
0.102633	0.1	0.045286
0.104300	0.1	0.050818
0.105967	0.1	0.044296
0.107633	0.1	0.029689
0.109300	0.1	0.016837
0.110967	0.1	0.015010
0.112633	0.1	0.024939
0.114300	0.1	0.039697
0.115967	0.1	0.048419
0.117633	0.1	0.046626
0.119300	0.1	0.038038
0.120967	0.1	0.024950
0.122633	0.1	0.006493
0.124300	0.1	-0.013127
0.125967	0.1	-0.023158
0.127650	0.101	-0.019943
0.129300	0.099	-0.010973
0.130967	0.1	-0.006680
0.132967	0.12	-0.004881
0.134633	0.1	-0.004652
0.136350	0.103	-0.008016
0.137967	0.097	-0.012675
0.139633	0.1	-0.015971
0.141300	0.1	-0.017178
0.142967	0.1	-0.016538
0.144633	0.1	-0.014920
0.146300	0.1	-0.008664
0.147967	0.1	-0.000289
0.149633	0.1	0.004971
0.151333	0.102	0.003342
0.153000	0.1	-0.003732
0.154667	0.1	-0.010977
0.156333	0.1	-0.016702
0.158000	0.1	-0.026417
0.159667	0.1	-0.047646
0.161350	0.101	-0.068715
0.163000	0.099	-0.072756
0.165067	0.124	-0.059960
0.166717	0.099	-0.041528
0.168383	0.1	-0.027466
0.170050	0.1	-0.021540
0.171750	0.102	-0.024448
0.173500	0.105	-0.034534
0.175167	0.1	-0.051955
0.176833	0.1	-0.071200
0.178500	0.1	-0.080870
0.180200	0.102	-0.079970
0.181833	0.098	-0.079754
0.183500	0.1	-0.080750
0.185167	0.1	-0.074396
0.186833	0.1	-0.059968
0.188500	0.1	-0.046601
0.190167	0.1	-0.041312
0.191833	0.1	-0.042576
0.193500	0.1	-0.047837
0.195167	0.1	-0.051788
0.196833	0.1	-0.049160
0.198833	0.12	-0.043734
0.200500	0.1	-0.044426
0.202200	0.102	-0.051681
0.203833	0.098	-0.058330
0.205500	0.1	-0.059337
0.207167	0.1	-0.052030
0.208833	0.1	-0.039835
0.210500	0.1	-0.032468
0.212167	0.1	-0.031341
0.213833	0.1	-0.030798
0.215500	0.1	-0.028290
0.217167	0.1	-0.023754
0.218817	0.099	-0.018047
0.220483	0.1	-0.013130
0.222150	0.1	-0.010233
0.223817	0.1	-0.009985
0.225483	0.1	-0.012934
0.227150	0.1	-0.019349
0.228817	0.1	-0.027543
0.230483	0.1	-0.034361
0.232500	0.121	-0.041011
0.234150	0.099	-0.052125
0.235833	0.101	-0.067760
0.237467	0.098	-0.083495
0.239133	0.1	-0.091918
0.240800	0.1	-0.084735
0.242467	0.1	-0.068244
0.244133	0.1	-0.056229
0.245800	0.1	-0.048152
0.247467	0.1	-0.037250
0.249133	0.1	-0.025075
0.250800	0.1	-0.016780
0.252467	0.1	-0.014575
0.254133	0.1	-0.018817
0.255800	0.1	-0.027397
0.257467	0.1	-0.037480
0.259133	0.1	-0.045102
0.260800	0.1	-0.046279
0.262467	0.1	-0.041643
0.264133	0.1	-0.035568
0.266133	0.12	-0.029467
0.267800	0.1	-0.028722
0.269467	0.1	-0.036605
0.271133	0.1	-0.043556
0.272800	0.1	-0.043651
0.274467	0.1	-0.037553
0.276133	0.1	-0.026631
0.277800	0.1	-0.015690
0.279467	0.1	-0.011794
0.281133	0.1	-0.017939
0.282800	0.1	-0.029125
0.284467	0.1	-0.034451
0.286133	0.1	-0.033152
0.287800	0.1	-0.029451
0.289467	0.1	-0.027578
0.291133	0.1	-0.034172
0.292800	0.1	-0.045101
0.294467	0.1	-0.050939
0.296133	0.1	-0.052623
0.297800	0.1	-0.049805
0.299800	0.12	-0.041392
0.301467	0.1	-0.031752
0.303200	0.104	-0.025799
0.304800	0.096	-0.034027
0.306467	0.1	-0.056012
0.308133	0.1	-0.082184
0.309800	0.1	-0.101658
0.311467	0.1	-0.102707
0.313133	0.1	-0.085290
0.314800	0.1	-0.063911
0.316467	0.1	-0.048232
0.318133	0.1	-0.037743
0.319800	0.1	-0.027323
0.321467	0.1	-0.019884
0.323133	0.1	-0.020421
0.324800	0.1	-0.029821
0.326467	0.1	-0.042715
0.328133	0.1	-0.050737
0.329800	0.1	-0.056214
0.331467	0.1	-0.064611
0.333567	0.126	-0.072173
0.335217	0.099	-0.074826
0.336883	0.1	-0.070147
0.338550	0.1	-0.061090
0.340233	0.101	-0.057188
0.341883	0.099	-0.058564
0.343550	0.1	-0.058772
0.345217	0.1	-0.054681
0.346883	0.1	-0.049103
0.348550	0.1	-0.045204
0.350233	0.101	-0.045912
0.351883	0.099	-0.050232
0.353550	0.1	-0.053172
0.355217	0.1	-0.052282
0.356883	0.1	-0.049434
0.358550	0.1	-0.046826
0.360217	0.1	-0.047611
0.361883	0.1	-0.049157
0.363550	0.1	-0.048653
0.365550	0.12	-0.050373
0.367217	0.1	-0.055159
0.368883	0.1	-0.057604
0.370550	0.1	-0.054744
0.372317	0.106	-0.048753
0.374000	0.101	-0.045260
0.375667	0.1	-0.045804
0.377333	0.1	-0.044427
0.379000	0.1	-0.040609
0.380667	0.1	-0.041046
0.382333	0.1	-0.047775
0.384000	0.1	-0.058327
0.385650	0.099	-0.070041
0.387317	0.1	-0.074178
0.388983	0.1	-0.065735
0.390667	0.101	-0.052016
0.392317	0.099	-0.039483
0.393983	0.1	-0.028615
0.395650	0.1	-0.018891
0.397317	0.1	-0.008745
0.399317	0.12	-0.003781
0.400983	0.1	-0.010539
0.402633	0.099	-0.024783
0.404317	0.101	-0.036554
0.405967	0.099	-0.041786
0.407633	0.1	-0.042670
0.409300	0.1	-0.043513
0.410967	0.1	-0.043586
0.412633	0.1	-0.039296
0.414300	0.1	-0.036109
0.415967	0.1	-0.038139
0.417650	0.101	-0.040209
0.419300	0.099	-0.038309
0.420967	0.1	-0.033340
0.422633	0.1	-0.025699
0.424300	0.1	-0.016441
0.425967	0.1	-0.011557
0.427633	0.1	-0.008908
0.429300	0.1	-0.006467
0.430967	0.1	-0.009153
0.433017	0.123	-0.017632
0.434633	0.097	-0.023723
0.436300	0.1	-0.025480
0.437967	0.1	-0.025469
0.439633	0.1	-0.022832
0.441300	0.1	-0.019095
0.442967	0.1	-0.021006
0.444633	0.1	-0.027453
0.446300	0.1	-0.030488
0.447967	0.1	-0.029100
0.449633	0.1	-0.025018
0.451300	0.1	-0.018537
0.452967	0.1	-0.015518
0.454633	0.1	-0.018551
0.456300	0.1	-0.023040
0.457967	0.1	-0.021056
0.459633	0.1	-0.011489
0.461300	0.1	-0.001651
0.462967	0.1	0.002397
0.464633	0.1	-0.000359
0.466633	0.12	-0.005899
0.468300	0.1	-0.010715
0.469967	0.1	-0.015006
0.471633	0.1	-0.019196
0.473300	0.1	-0.019253
0.474967	0.1	-0.012456
0.476633	0.1	-0.007556
0.478300	0.1	-0.013235
0.479967	0.1	-0.022591
