URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/3.28.23 Liver Western Diet rnd2 %26 poop rnd2 march 16 samples.seq/710.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	3.28.23 Liver Western Diet rnd2 & poop rnd2 march 16 samples
Name	c830 liver `
Number	4
Position	RA4
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	3/28/2023 9:22:04 PM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.500267
Data Points	63839
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.080453
Signal Max.	67.106800
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10103725

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.001586
0.001650	0.099	0.007025
0.003317	0.1	0.006512
0.004983	0.1	-0.000265
0.006650	0.1	-0.011807
0.008317	0.1	-0.028044
0.009983	0.1	-0.040489
0.011650	0.1	-0.043361
0.013317	0.1	-0.039399
0.014983	0.1	-0.032111
0.016650	0.1	-0.023601
0.018317	0.1	-0.020280
0.019983	0.1	-0.027074
0.021650	0.1	-0.039773
0.023317	0.1	-0.045294
0.024983	0.1	-0.038149
0.026650	0.1	-0.025908
0.028317	0.1	-0.017722
0.030317	0.12	-0.015676
0.031983	0.1	-0.019152
0.033650	0.1	-0.023412
0.035317	0.1	-0.028218
0.036983	0.1	-0.034517
0.038683	0.102	-0.038828
0.040317	0.098	-0.051167
0.041983	0.1	-0.070496
0.043650	0.1	-0.080369
0.045317	0.1	-0.078633
0.046983	0.1	-0.070467
0.048650	0.1	-0.059542
0.050317	0.1	-0.048458
0.051983	0.1	-0.040155
0.053650	0.1	-0.034827
0.055317	0.1	-0.030322
0.056983	0.1	-0.027676
0.058650	0.1	-0.031101
0.060317	0.1	-0.039751
0.061983	0.1	-0.046848
0.063983	0.12	-0.046980
0.065717	0.104	-0.041960
0.067333	0.097	-0.038084
0.069000	0.1	-0.034544
0.070650	0.099	-0.030500
0.072317	0.1	-0.031148
0.073983	0.1	-0.035654
0.075650	0.1	-0.040577
0.077317	0.1	-0.046773
0.078983	0.1	-0.051705
0.080650	0.1	-0.050908
0.082317	0.1	-0.042317
0.083983	0.1	-0.033968
0.085650	0.1	-0.034584
0.087317	0.1	-0.041006
0.089017	0.102	-0.045768
0.090683	0.1	-0.042429
0.092350	0.1	-0.032892
0.094017	0.1	-0.024187
0.096033	0.121	-0.017590
0.097683	0.099	-0.013825
0.099350	0.1	-0.018248
0.101017	0.1	-0.030042
0.102683	0.1	-0.036861
0.104350	0.1	-0.037062
0.106017	0.1	-0.034598
0.107683	0.1	-0.030391
0.109350	0.1	-0.026409
0.111017	0.1	-0.021739
0.112683	0.1	-0.015295
0.114350	0.1	-0.008756
0.116017	0.1	-0.005491
0.117683	0.1	-0.006728
0.119350	0.1	-0.009532
0.121017	0.1	-0.011249
0.122683	0.1	-0.015828
0.124350	0.1	-0.024634
0.126017	0.1	-0.030272
0.127683	0.1	-0.027839
0.129683	0.12	-0.019431
0.131350	0.1	-0.014087
0.133017	0.1	-0.010688
0.134717	0.102	-0.004261
0.136350	0.098	0.001551
0.138000	0.099	0.003597
0.139667	0.1	0.003589
0.141333	0.1	0.003424
0.143000	0.1	0.001291
0.144667	0.1	-0.001587
0.146333	0.1	-0.007177
0.148000	0.1	-0.015279
0.149667	0.1	-0.021402
0.151333	0.1	-0.022936
0.153000	0.1	-0.022649
0.154650	0.099	-0.023177
0.156317	0.1	-0.023898
0.157983	0.1	-0.023654
0.159650	0.1	-0.020639
0.161317	0.1	-0.013481
0.163350	0.122	-0.004182
0.165017	0.1	0.000828
0.166650	0.098	-0.001998
0.168333	0.101	-0.010951
0.169983	0.099	-0.019034
0.171650	0.1	-0.021459
0.173317	0.1	-0.016733
0.174983	0.1	-0.011258
0.176650	0.1	-0.012174
0.178317	0.1	-0.018476
0.179983	0.1	-0.028038
0.181650	0.1	-0.035195
0.183317	0.1	-0.032459
0.184983	0.1	-0.021535
0.186650	0.1	-0.010801
0.188317	0.1	-0.005951
0.189983	0.1	-0.005981
0.191650	0.1	-0.007117
0.193317	0.1	-0.006078
0.194983	0.1	-0.004795
0.197017	0.122	-0.006832
0.198683	0.1	-0.009929
0.200333	0.099	-0.012255
0.202000	0.1	-0.013571
0.203667	0.1	-0.017167
0.205317	0.099	-0.020364
0.207000	0.101	-0.020278
0.208650	0.099	-0.017235
0.210333	0.101	-0.010597
0.211983	0.099	-0.004390
0.213667	0.101	-0.003944
0.215317	0.099	-0.006587
0.217000	0.101	-0.006720
0.218650	0.099	-0.004193
0.220333	0.101	-0.001640
0.221983	0.099	-0.000142
0.223667	0.101	-0.000277
0.225317	0.099	-0.004315
0.227000	0.101	-0.009886
0.228650	0.099	-0.014336
0.230650	0.12	-0.016448
0.232433	0.107	-0.015943
0.234100	0.1	-0.013446
0.235767	0.1	-0.012196
0.237433	0.1	-0.011512
0.239100	0.1	-0.011114
0.240767	0.1	-0.013074
0.242433	0.1	-0.015782
0.244100	0.1	-0.021549
0.245767	0.1	-0.026757
0.247433	0.1	-0.025754
0.249100	0.1	-0.018912
0.250767	0.1	-0.011746
0.252433	0.1	-0.011328
0.254100	0.1	-0.014323
0.255767	0.1	-0.011805
0.257433	0.1	-0.006054
0.259100	0.1	-0.004487
0.260767	0.1	-0.007909
0.262817	0.123	-0.012519
0.264433	0.097	-0.016928
0.266100	0.1	-0.022018
0.267767	0.1	-0.026796
0.269433	0.1	-0.029239
0.271083	0.099	-0.029563
0.272750	0.1	-0.028291
0.274417	0.1	-0.024608
0.276083	0.1	-0.018320
0.277767	0.101	-0.011674
0.279433	0.1	-0.004796
0.281083	0.099	-0.000328
0.282750	0.1	-0.002059
0.284417	0.1	-0.009258
0.286083	0.1	-0.018896
0.287733	0.099	-0.029819
0.289400	0.1	-0.039030
0.291067	0.1	-0.044644
0.292733	0.1	-0.046480
0.294400	0.1	-0.042500
0.296450	0.123	-0.035248
0.298067	0.097	-0.028948
0.299733	0.1	-0.023214
0.301433	0.102	-0.016628
0.303067	0.098	-0.014955
0.304733	0.1	-0.022987
0.306400	0.1	-0.034792
0.308067	0.1	-0.039455
0.309733	0.1	-0.032446
0.311400	0.1	-0.019107
0.313067	0.1	-0.004958
0.314733	0.1	0.007421
0.316400	0.1	0.014151
0.318067	0.1	0.008208
0.319733	0.1	-0.008360
0.321400	0.1	-0.022648
0.323067	0.1	-0.028569
0.324733	0.1	-0.028053
0.326417	0.101	-0.023510
0.328067	0.099	-0.019367
0.330067	0.12	-0.018556
0.331733	0.1	-0.019250
0.333400	0.1	-0.017768
0.335083	0.101	-0.018450
0.336767	0.101	-0.024338
0.338400	0.098	-0.030556
0.340067	0.1	-0.031515
0.341733	0.1	-0.026008
0.343400	0.1	-0.018976
0.345067	0.1	-0.015765
0.346733	0.1	-0.019665
0.348400	0.1	-0.029881
0.350067	0.1	-0.039048
0.351733	0.1	-0.042930
0.353400	0.1	-0.043969
0.355067	0.1	-0.040785
0.356733	0.1	-0.032017
0.358400	0.1	-0.019808
0.360067	0.1	-0.005544
0.361750	0.101	0.005942
0.363733	0.119	0.010426
0.365400	0.1	0.009573
0.367083	0.101	0.006015
0.368733	0.099	0.002613
0.370400	0.1	0.001505
0.372067	0.1	0.001931
0.373733	0.1	-0.000115
0.375400	0.1	-0.005473
0.377067	0.1	-0.011121
0.378733	0.1	-0.016501
0.380400	0.1	-0.022130
0.382067	0.1	-0.028719
0.383733	0.1	-0.032136
0.385400	0.1	-0.029729
0.387067	0.1	-0.023330
0.388733	0.1	-0.017592
0.390400	0.1	-0.014226
0.392067	0.1	-0.012481
0.393733	0.1	-0.010615
0.395400	0.1	-0.008314
0.397400	0.12	-0.010294
0.399067	0.1	-0.018623
0.400733	0.1	-0.023891
0.402400	0.1	-0.020850
0.404100	0.102	-0.013759
0.405767	0.1	-0.009727
0.407433	0.1	-0.011597
0.409100	0.1	-0.015609
0.410767	0.1	-0.017160
0.412433	0.1	-0.016344
0.414100	0.1	-0.016376
0.415767	0.1	-0.015451
0.417433	0.1	-0.010997
0.419100	0.1	-0.004926
0.420767	0.1	0.001205
0.422433	0.1	0.009287
0.424100	0.1	0.015386
0.425767	0.1	0.014261
0.427433	0.1	0.007065
0.429100	0.1	0.000998
0.431100	0.12	-0.001603
0.432767	0.1	-0.004178
0.434433	0.1	-0.007056
0.436100	0.1	-0.010083
0.437767	0.1	-0.015702
0.439433	0.1	-0.022007
0.441100	0.1	-0.021601
0.442767	0.1	-0.012337
0.444450	0.101	-0.003491
0.446100	0.099	-0.004055
0.447767	0.1	-0.012474
0.449433	0.1	-0.023353
0.451100	0.1	-0.032956
0.452767	0.1	-0.036887
0.454417	0.099	-0.032991
0.456083	0.1	-0.024736
0.457750	0.1	-0.018080
0.459417	0.1	-0.014533
0.461100	0.101	-0.012346
0.463133	0.122	-0.009270
0.464767	0.098	-0.006221
0.466417	0.099	-0.006836
0.468083	0.1	-0.012862
0.469750	0.1	-0.020281
0.471400	0.099	-0.025796
0.473067	0.1	-0.031162
0.474733	0.1	-0.039012
0.476417	0.101	-0.046650
0.478067	0.099	-0.049520
0.479733	0.1	-0.046175
0.481400	0.1	-0.039210
0.483067	0.1	-0.033046
0.484733	0.1	-0.029631
0.486400	0.1	-0.027466
0.488067	0.1	-0.025648
0.489733	0.1	-0.021723
0.491400	0.1	-0.015826
0.493083	0.101	-0.013898
0.494733	0.099	-0.017743
0.496750	0.121	-0.022836
0.498400	0.099	-0.023557
0.500083	0.101	-0.021683
0.501733	0.099	-0.021442
0.503417	0.101	-0.024767
0.505067	0.099	-0.028451
0.506750	0.101	-0.028358
0.508400	0.099	-0.029079
0.510083	0.101	-0.033360
0.511733	0.099	-0.036811
0.513417	0.101	-0.035881
0.515067	0.099	-0.029002
0.516750	0.101	-0.017145
0.518400	0.099	-0.007037
0.520083	0.101	-0.005578
0.521733	0.099	-0.012480
0.523417	0.101	-0.020762
0.525067	0.099	-0.027176
0.526750	0.101	-0.031196
0.528400	0.099	-0.029961
0.530400	0.12	-0.022413
0.532100	0.102	-0.011616
0.533733	0.098	-0.002020
0.535400	0.1	0.002157
0.537100	0.102	-0.000510
0.538733	0.098	-0.009745
0.540400	0.1	-0.019016
0.542067	0.1	-0.021422
0.543733	0.1	-0.015438
0.545400	0.1	-0.007227
0.547067	0.1	-0.004478
0.548733	0.1	-0.007970
0.550400	0.1	-0.016590
0.552067	0.1	-0.028407
0.553733	0.1	-0.038568
0.555400	0.1	-0.041311
0.557067	0.1	-0.035715
0.558733	0.1	-0.025148
0.560400	0.1	-0.014870
0.562067	0.1	-0.012586
0.564067	0.12	-0.021990
0.565733	0.1	-0.031076
0.567400	0.1	-0.033215
0.569067	0.1	-0.035070
0.570767	0.102	-0.037350
0.572433	0.1	-0.034991
0.574100	0.1	-0.026988
0.575767	0.1	-0.016756
0.577433	0.1	-0.011013
0.579100	0.1	-0.010526
0.580767	0.1	-0.009188
0.582433	0.1	-0.007525
0.584100	0.1	-0.012771
0.585767	0.1	-0.025382
0.587433	0.1	-0.034780
0.589100	0.1	-0.035777
0.590767	0.1	-0.030043
0.592433	0.1	-0.021953
0.594100	0.1	-0.015351
0.595767	0.1	-0.015115
0.597767	0.12	-0.023890
0.599433	0.1	-0.034100
0.601100	0.1	-0.041455
0.602767	0.1	-0.049217
0.604433	0.1	-0.054248
0.606100	0.1	-0.050110
0.607767	0.1	-0.041071
0.609433	0.1	-0.030961
0.611117	0.101	-0.019033
0.612767	0.099	-0.007168
0.614433	0.1	-0.002386
0.616100	0.1	-0.012066
0.617767	0.1	-0.029169
0.619433	0.1	-0.039277
0.621083	0.099	-0.038509
0.622750	0.1	-0.033440
0.624417	0.1	-0.029101
0.626083	0.1	-0.026330
0.627767	0.101	-0.021951
0.629800	0.122	-0.014580
0.631450	0.099	-0.011276
0.633083	0.098	-0.013517
0.634750	0.1	-0.012739
0.636417	0.1	-0.008062
0.638067	0.099	-0.003137
0.639733	0.1	-0.000249
0.641400	0.1	-0.001238
0.643067	0.1	-0.003410
0.644733	0.1	-0.005458
0.646400	0.1	-0.009242
0.648067	0.1	-0.009500
0.649733	0.1	0.004212
0.651400	0.1	0.040385
0.653067	0.1	0.111825
0.654733	0.1	0.236678
0.656400	0.1	0.446213
0.658067	0.1	0.790655
0.659733	0.1	1.308233
0.661400	0.1	2.007281
0.663417	0.121	2.908345
0.665067	0.099	4.051495
0.666733	0.1	5.437749
0.668400	0.1	6.950044
0.670067	0.1	8.504699
0.671733	0.1	10.114840
0.673400	0.1	11.788060
0.675067	0.1	13.468930
0.676733	0.1	15.100220
0.678400	0.1	16.735930
0.680067	0.1	18.385050
0.681733	0.1	20.029240
0.683400	0.1	21.587270
0.685067	0.1	22.958940
0.686733	0.1	24.101590
0.688400	0.1	25.298440
0.690067	0.1	26.872870
0.691733	0.1	28.798370
0.693400	0.1	30.796180
0.695067	0.1	32.751660
0.697067	0.12	34.777080
0.698733	0.1	36.925690
0.700400	0.1	38.984040
0.702083	0.101	40.872150
0.703733	0.099	42.674960
0.705450	0.103	44.453900
0.707067	0.097	45.988550
0.708733	0.1	47.075920
0.710400	0.1	47.853930
0.712067	0.1	48.577370
0.713800	0.104	49.633700
0.715400	0.096	50.968960
0.717067	0.1	52.075380
0.718733	0.1	52.864550
0.720400	0.1	53.777250
0.722100	0.102	55.137240
0.723767	0.1	56.772420
0.725433	0.1	58.496660
0.727100	0.1	60.221200
0.728767	0.1	61.863560
0.730767	0.12	62.918390
0.732433	0.1	63.019830
0.734100	0.1	62.772740
0.735767	0.1	62.844220
0.737433	0.1	63.377360
0.739100	0.1	64.174960
0.740767	0.1	64.966600
0.742433	0.1	65.421040
0.744100	0.1	65.707650
0.745767	0.1	66.085520
0.747433	0.1	66.283480
0.749133	0.102	66.071720
0.750767	0.098	65.338560
0.752433	0.1	63.795330
0.754100	0.1	62.005370
0.755767	0.1	60.972630
0.757433	0.1	60.846510
0.759100	0.1	61.240550
0.760767	0.1	61.439790
0.762433	0.1	61.187410
0.764433	0.12	60.708670
0.766100	0.1	60.218360
0.767767	0.1	59.951900
0.769433	0.1	59.941860
0.771083	0.099	60.013390
0.772750	0.1	60.297570
0.774417	0.1	60.620470
0.776083	0.1	60.835520
0.777767	0.101	61.019900
0.779417	0.099	61.116530
0.781083	0.1	61.147470
0.782750	0.1	61.053320
0.784417	0.1	61.012710
0.786083	0.1	61.292870
0.787733	0.099	62.055330
0.789400	0.1	62.896260
0.791067	0.1	63.279890
0.792733	0.1	63.285680
0.794400	0.1	63.251870
0.796067	0.1	63.316930
0.798200	0.128	63.256920
0.799817	0.097	62.995980
0.801483	0.1	62.771510
0.803150	0.1	62.837850
0.804850	0.102	63.164150
0.806517	0.1	63.567040
0.808183	0.1	63.638630
0.809850	0.1	63.282060
0.811517	0.1	62.837840
0.813183	0.1	62.619940
0.814850	0.1	62.435000
0.816517	0.1	62.162080
0.818183	0.1	62.245340
0.819850	0.1	62.857030
0.821517	0.1	63.494900
0.823183	0.1	64.066010
0.824850	0.1	64.649060
0.826517	0.1	65.253980
0.828183	0.1	65.920260
0.830183	0.12	66.496960
0.831850	0.1	66.891390
0.833517	0.1	67.106800
0.835217	0.102	67.028810
0.836867	0.099	66.682030
0.838517	0.099	66.211780
0.840183	0.1	65.407340
0.841850	0.1	64.421840
0.843517	0.1	63.772760
0.845183	0.1	63.640050
0.846850	0.1	63.830220
0.848517	0.1	64.174500
0.850183	0.1	64.788810
0.851850	0.1	65.441020
0.853517	0.1	65.879350
0.855167	0.099	65.938860
0.856833	0.1	65.566320
0.858500	0.1	64.828890
0.860167	0.1	63.558290
0.861833	0.1	62.051530
0.863850	0.121	60.639230
0.865500	0.099	59.373670
0.867183	0.101	58.672880
0.868833	0.099	58.517960
0.870500	0.1	58.483020
0.872150	0.099	58.263890
0.873817	0.1	57.933980
0.875483	0.1	57.515310
0.877150	0.1	56.965260
0.878817	0.1	56.132980
0.880483	0.1	54.953050
0.882150	0.1	53.961630
0.883817	0.1	53.449440
0.885483	0.1	53.180440
0.887150	0.1	52.871000
0.888817	0.1	52.230230
0.890483	0.1	50.929430
0.892150	0.1	48.983100
0.893817	0.1	47.041530
0.895483	0.1	45.730440
0.897483	0.12	44.994160
0.899150	0.1	44.237920
0.900933	0.107	43.306320
0.902617	0.101	42.507860
0.904283	0.1	42.036170
0.905933	0.099	41.731650
0.907600	0.1	41.323870
0.909267	0.1	40.855420
0.910933	0.1	40.514870
0.912600	0.1	40.166970
0.914267	0.1	39.653850
0.915933	0.1	39.058140
0.917600	0.1	38.550870
0.919267	0.1	37.985260
0.920933	0.1	37.350720
0.922600	0.1	36.811680
0.924267	0.1	36.291100
0.925933	0.1	35.794990
0.927600	0.1	35.397120
0.929267	0.1	34.918130
0.931283	0.121	34.138870
0.932983	0.102	33.150810
0.934617	0.098	32.381060
0.936300	0.101	32.188920
0.937917	0.097	32.310950
0.939600	0.101	32.286700
0.941250	0.099	31.992020
0.942950	0.102	31.612060
0.944583	0.098	31.242960
0.946267	0.101	30.812940
0.947917	0.099	30.474400
0.949600	0.101	30.276480
0.951250	0.099	29.884690
0.952933	0.101	29.367520
0.954567	0.098	29.060840
0.956250	0.101	28.895120
0.957900	0.099	28.536870
0.959583	0.101	27.919340
0.961233	0.099	27.261010
0.963267	0.122	26.838750
0.964900	0.098	26.641320
0.966567	0.1	26.457010
0.968233	0.1	26.192880
0.969900	0.1	25.888260
0.971567	0.1	25.528620
0.973233	0.1	25.147420
0.974900	0.1	24.815750
0.976567	0.1	24.541990
0.978233	0.1	24.214180
0.979900	0.1	23.803980
0.981567	0.1	23.452490
0.983233	0.1	23.163770
0.984900	0.1	22.844150
0.986567	0.1	22.426910
0.988233	0.1	21.975590
0.989900	0.1	21.620660
0.991567	0.1	21.346900
0.993233	0.1	21.093800
0.994900	0.1	20.730840
0.996900	0.12	20.196680
0.998567	0.1	19.633280
1.000233	0.1	19.109910
1.001900	0.1	18.690970
1.003567	0.1	18.421360
1.005233	0.1	18.267450
1.006900	0.1	18.127510
1.008567	0.1	17.870320
1.010233	0.1	17.514960
1.011900	0.1	17.169120
1.013567	0.1	16.821590
1.015233	0.1	16.463710
1.016900	0.1	16.080790
1.018567	0.1	15.649320
1.020233	0.1	15.188260
1.021900	0.1	14.729480
1.023567	0.1	14.267430
1.025233	0.1	13.735870
1.026900	0.1	13.159820
1.028567	0.1	12.681200
1.030567	0.12	12.322810
1.032233	0.1	11.991170
1.033917	0.101	11.604230
1.035567	0.099	11.165320
1.037233	0.1	10.730450
1.038900	0.1	10.335200
1.040567	0.1	9.927416
1.042233	0.1	9.445782
1.043900	0.1	8.930947
1.045567	0.1	8.466362
1.047233	0.1	8.074056
1.048900	0.1	7.720532
1.050567	0.1	7.411335
1.052233	0.1	7.164702
1.053900	0.1	6.954805
1.055600	0.102	6.719402
1.057267	0.1	6.452470
1.058933	0.1	6.207244
1.060600	0.1	6.004951
1.062267	0.1	5.822784
1.064267	0.12	5.651551
1.065933	0.1	5.501232
1.067633	0.102	5.369193
1.069283	0.099	5.262314
1.070933	0.099	5.183139
1.072600	0.1	5.113763
1.074267	0.1	5.027133
1.075933	0.1	4.923206
1.077600	0.1	4.815213
1.079267	0.1	4.709247
1.080933	0.1	4.611306
1.082600	0.1	4.531038
1.084267	0.1	4.463054
1.085933	0.1	4.393350
1.087600	0.1	4.334462
1.089267	0.1	4.300907
1.090933	0.1	4.295457
1.092600	0.1	4.291620
1.094267	0.1	4.268294
1.095933	0.1	4.245298
1.097933	0.12	4.227019
1.099600	0.1	4.194293
1.101300	0.102	4.150646
1.102950	0.099	4.100002
1.104583	0.098	4.041528
1.106250	0.1	4.007647
1.107917	0.1	4.005365
1.109583	0.1	3.998926
1.111250	0.1	3.968267
1.112917	0.1	3.939783
1.114583	0.1	3.922733
1.116250	0.1	3.911097
1.117917	0.1	3.900419
1.119583	0.1	3.890320
1.121233	0.099	3.859394
1.122900	0.1	3.797151
1.124567	0.1	3.741189
1.126233	0.1	3.712553
1.127900	0.1	3.707140
1.129950	0.123	3.702477
1.131567	0.097	3.677572
1.133233	0.1	3.647847
1.134900	0.1	3.622529
1.136567	0.1	3.598393
1.138233	0.1	3.573017
1.139900	0.1	3.549505
1.141567	0.1	3.525337
1.143233	0.1	3.502150
1.144900	0.1	3.481338
1.146567	0.1	3.458569
1.148233	0.1	3.425019
1.149900	0.1	3.395653
1.151567	0.1	3.396071
1.153233	0.1	3.423066
1.154900	0.1	3.448176
1.156567	0.1	3.452069
1.158233	0.1	3.428294
1.159900	0.1	3.378314
1.161567	0.1	3.326596
1.163567	0.12	3.284879
1.165233	0.1	3.226010
1.166900	0.1	3.160340
1.168583	0.101	3.108267
1.170250	0.1	3.081627
1.171900	0.099	3.080590
1.173567	0.1	3.094126
1.175233	0.1	3.117204
1.176900	0.1	3.144315
1.178567	0.1	3.171186
1.180233	0.1	3.186526
1.181900	0.1	3.183208
1.183567	0.1	3.172099
1.185233	0.1	3.161060
1.186900	0.1	3.152320
1.188567	0.1	3.147506
1.190233	0.1	3.148748
1.191900	0.1	3.156167
1.193567	0.1	3.163056
1.195233	0.1	3.160248
1.197233	0.12	3.136928
1.198900	0.1	3.090952
1.200567	0.1	3.032247
1.202233	0.1	2.970922
1.203900	0.1	2.930071
1.205567	0.1	2.921739
1.207233	0.1	2.934406
1.208900	0.1	2.951913
1.210567	0.1	2.968187
1.212233	0.1	2.971406
1.213900	0.1	2.957581
1.215567	0.1	2.929762
1.217233	0.1	2.898248
1.218900	0.1	2.874844
1.220567	0.1	2.861915
1.222267	0.102	2.859269
1.223933	0.1	2.854855
1.225600	0.1	2.830607
1.227267	0.1	2.797554
1.228933	0.1	2.778276
1.230933	0.12	2.778716
1.232617	0.101	2.793645
1.234267	0.099	2.814932
1.235950	0.101	2.824509
1.237600	0.099	2.813139
1.239283	0.101	2.786001
1.240933	0.099	2.752617
1.242617	0.101	2.728939
1.244267	0.099	2.706590
1.245950	0.101	2.670120
1.247600	0.099	2.626490
1.249283	0.101	2.582717
1.250933	0.099	2.546817
1.252617	0.101	2.522874
1.254267	0.099	2.519902
1.255950	0.101	2.537019
1.257600	0.099	2.544918
1.259283	0.101	2.517149
1.260933	0.099	2.464133
1.262617	0.101	2.424075
1.264600	0.119	2.424939
1.266267	0.1	2.460194
1.268000	0.104	2.495442
1.269650	0.099	2.496151
1.271317	0.1	2.462473
1.272983	0.1	2.416691
1.274650	0.1	2.383603
1.276317	0.1	2.381844
1.277983	0.1	2.411835
1.279650	0.1	2.465401
1.281317	0.1	2.527186
1.282983	0.1	2.569830
1.284650	0.1	2.576247
1.286317	0.1	2.544617
1.287983	0.1	2.504122
1.289650	0.1	2.479392
1.291317	0.1	2.472252
1.292983	0.1	2.466798
1.294650	0.1	2.448203
1.296667	0.121	2.416045
1.298317	0.099	2.380903
1.299983	0.1	2.340403
1.301650	0.1	2.315590
1.303317	0.1	2.315301
1.304983	0.1	2.322176
1.306650	0.1	2.325156
1.308317	0.1	2.332306
1.309983	0.1	2.346134
1.311650	0.1	2.354163
1.313317	0.1	2.328452
1.314983	0.1	2.283531
1.316650	0.1	2.256826
1.318317	0.1	2.259750
1.319983	0.1	2.282872
1.321650	0.1	2.297793
1.323317	0.1	2.289817
1.324983	0.1	2.272155
1.326650	0.1	2.259249
1.328317	0.1	2.244326
1.330317	0.12	2.204921
1.331983	0.1	2.148619
1.333650	0.1	2.117318
1.335333	0.101	2.125726
1.337017	0.101	2.160181
1.338650	0.098	2.198669
1.340317	0.1	2.217630
1.341983	0.1	2.213326
1.343650	0.1	2.199939
1.345317	0.1	2.193400
1.346983	0.1	2.197468
1.348650	0.1	2.198277
1.350317	0.1	2.179111
1.351983	0.1	2.136512
1.353650	0.1	2.086498
1.355317	0.1	2.055072
1.356983	0.1	2.052002
1.358650	0.1	2.065685
1.360317	0.1	2.078542
1.361983	0.1	2.077409
1.363983	0.12	2.052235
1.365650	0.1	2.008108
1.367317	0.1	1.972456
1.368983	0.1	1.965220
1.370650	0.1	1.978017
1.372350	0.102	1.996918
1.374017	0.1	2.007938
1.375683	0.1	2.004936
1.377350	0.1	1.995738
1.379017	0.1	1.990207
1.380683	0.1	1.988016
1.382350	0.1	1.988518
1.384017	0.1	1.992981
1.385683	0.1	2.001179
1.387350	0.1	2.015516
1.389017	0.1	2.037564
1.390683	0.1	2.056826
1.392350	0.1	2.043487
1.394017	0.1	2.005048
1.395683	0.1	1.976342
1.397683	0.12	1.960931
1.399350	0.1	1.954104
1.401017	0.1	1.956971
1.402683	0.1	1.965083
1.404350	0.1	1.965986
1.406017	0.1	1.952067
1.407683	0.1	1.936539
1.409350	0.1	1.930172
1.411017	0.1	1.925719
1.412683	0.1	1.915010
1.414350	0.1	1.907580
1.416017	0.1	1.911679
1.417683	0.1	1.928976
1.419350	0.1	1.948944
1.421000	0.099	1.957506
1.422667	0.1	1.951877
1.424333	0.1	1.941036
1.426000	0.1	1.914789
1.427667	0.1	1.875262
1.429333	0.1	1.845147
1.431333	0.12	1.823520
1.433000	0.1	1.808698
1.434717	0.103	1.801721
1.436350	0.098	1.791443
1.437983	0.098	1.761497
1.439650	0.1	1.722889
1.441317	0.1	1.697555
1.442983	0.1	1.701939
1.444650	0.1	1.735504
1.446317	0.1	1.772337
1.447983	0.1	1.797077
1.449650	0.1	1.819342
1.451333	0.101	1.845804
1.452983	0.099	1.862114
1.454650	0.1	1.865788
1.456317	0.1	1.861689
1.457983	0.1	1.842627
1.459650	0.1	1.802901
