URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/3.13.2023 Liver Western Diet ASGR.seq/158.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	3.13.2023 Liver Western Diet ASGR
Name	c865 Liver 2
Number	6
Position	RA6
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	3/14/2023 2:32:05 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.501600
Data Points	63845
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.395710
Signal Max.	117.839000
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10102901

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.033456
0.001650	0.099	-0.031729
0.003317	0.1	-0.032934
0.004983	0.1	-0.033543
0.006650	0.1	-0.027707
0.008317	0.1	-0.017853
0.009983	0.1	-0.009370
0.011650	0.1	-0.005690
0.013317	0.1	-0.006429
0.014983	0.1	-0.007516
0.016650	0.1	-0.007684
0.018317	0.1	-0.010191
0.020017	0.102	-0.016929
0.021683	0.1	-0.029480
0.023350	0.1	-0.051611
0.025017	0.1	-0.083205
0.026683	0.1	-0.117906
0.028350	0.1	-0.150166
0.030017	0.1	-0.176567
0.031683	0.1	-0.193536
0.033683	0.12	-0.198565
0.035383	0.102	-0.195102
0.037017	0.098	-0.184830
0.038683	0.1	-0.169325
0.040350	0.1	-0.154626
0.042017	0.1	-0.142600
0.043683	0.1	-0.132068
0.045350	0.1	-0.127928
0.047017	0.1	-0.130592
0.048683	0.1	-0.133246
0.050350	0.1	-0.129311
0.052033	0.101	-0.121290
0.053683	0.099	-0.118188
0.055350	0.1	-0.121337
0.057017	0.1	-0.123435
0.058683	0.1	-0.119574
