URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/3.28.23 Liver Western Diet rnd2 %26 poop rnd2 march 16 samples.seq/518.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	3.28.23 Liver Western Diet rnd2 & poop rnd2 march 16 samples
Name	c865 liver 1
Number	3
Position	RA3
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	3/28/2023 7:33:02 PM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.500333
Data Points	63837
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.106287
Signal Max.	62.501060
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10104048

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.004655
0.001683	0.101	-0.001950
0.003333	0.099	-0.003936
0.005017	0.101	-0.009741
0.006667	0.099	-0.016587
0.008350	0.101	-0.020308
0.010000	0.099	-0.022780
0.011683	0.101	-0.027202
0.013333	0.099	-0.034908
0.015017	0.101	-0.040337
0.016667	0.099	-0.037065
0.018350	0.101	-0.029926
0.020000	0.099	-0.027138
0.021683	0.101	-0.027255
0.023333	0.099	-0.027034
0.025017	0.101	-0.028483
0.026667	0.099	-0.031786
0.028350	0.101	-0.034704
0.030000	0.099	-0.036557
0.032033	0.122	-0.037496
0.033667	0.098	-0.037889
0.035367	0.102	-0.040832
0.037000	0.098	-0.046367
0.038667	0.1	-0.051060
0.040333	0.1	-0.051769
0.042000	0.1	-0.049118
0.043667	0.1	-0.046868
0.045333	0.1	-0.048072
0.047000	0.1	-0.049960
0.048667	0.1	-0.047477
0.050333	0.1	-0.039599
0.052000	0.1	-0.031962
0.053667	0.1	-0.032511
0.055333	0.1	-0.040970
0.057000	0.1	-0.046756
0.058667	0.1	-0.047936
0.060333	0.1	-0.053130
0.062000	0.1	-0.062393
0.063667	0.1	-0.069126
0.065667	0.12	-0.066189
0.067333	0.1	-0.052391
0.069000	0.1	-0.036457
0.070667	0.1	-0.029967
0.072333	0.1	-0.034577
0.074000	0.1	-0.044885
0.075667	0.1	-0.053723
0.077333	0.1	-0.056728
0.079000	0.1	-0.052660
0.080667	0.1	-0.044140
0.082333	0.1	-0.033165
0.084000	0.1	-0.023542
0.085667	0.1	-0.017710
0.087333	0.1	-0.015179
0.089000	0.1	-0.015566
0.090667	0.1	-0.016596
0.092333	0.1	-0.017548
0.094033	0.102	-0.021104
0.095700	0.1	-0.026212
0.097750	0.123	-0.027745
0.099450	0.102	-0.025444
0.101117	0.1	-0.026603
0.102750	0.098	-0.032718
0.104417	0.1	-0.038293
0.106083	0.1	-0.040018
0.107750	0.1	-0.039919
0.109417	0.1	-0.040677
0.111083	0.1	-0.042775
0.112750	0.1	-0.042521
0.114417	0.1	-0.036067
0.116083	0.1	-0.026437
0.117750	0.1	-0.021848
0.119417	0.1	-0.027497
0.121083	0.1	-0.034249
0.122750	0.1	-0.033468
0.124417	0.1	-0.025206
0.126100	0.101	-0.013945
0.127750	0.099	-0.005104
0.129417	0.1	-0.002779
0.131417	0.12	-0.007280
0.133083	0.1	-0.011411
0.134750	0.1	-0.009055
0.136417	0.1	-0.001881
0.138083	0.1	0.006630
0.139750	0.1	0.013886
0.141417	0.1	0.015536
0.143083	0.1	0.010213
0.144750	0.1	-0.001234
0.146417	0.1	-0.015334
0.148083	0.1	-0.027019
0.149750	0.1	-0.031909
0.151417	0.1	-0.033644
0.153083	0.1	-0.036496
0.154750	0.1	-0.035500
0.156417	0.1	-0.027660
0.158083	0.1	-0.015250
0.159750	0.1	-0.004988
0.161417	0.1	-0.002005
0.163083	0.1	-0.003906
0.165133	0.123	-0.005372
0.166750	0.097	-0.004932
0.168417	0.1	-0.006356
0.170150	0.104	-0.008903
0.171750	0.096	-0.010474
0.173417	0.1	-0.015863
0.175083	0.1	-0.027988
0.176750	0.1	-0.039249
0.178450	0.102	-0.041244
0.180117	0.1	-0.036543
0.181783	0.1	-0.029451
0.183450	0.1	-0.020829
0.185117	0.1	-0.013914
0.186800	0.101	-0.009437
0.188450	0.099	-0.007932
0.190117	0.1	-0.008177
0.191783	0.1	-0.004885
0.193450	0.1	0.002997
0.195133	0.101	0.008565
0.196783	0.099	0.007413
0.198783	0.12	0.003207
0.200450	0.1	-0.004498
0.202150	0.102	-0.015305
0.203800	0.099	-0.017703
0.205450	0.099	-0.008033
0.207117	0.1	0.002758
0.208783	0.1	0.005113
0.210450	0.1	-0.000728
0.212117	0.1	-0.007847
0.213783	0.1	-0.010203
0.215450	0.1	-0.006701
0.217117	0.1	-0.000225
0.218783	0.1	0.000234
0.220450	0.1	-0.009180
0.222117	0.1	-0.021013
0.223783	0.1	-0.030215
0.225450	0.1	-0.035564
