URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/3.16.2023 Liver Western Diet ASGR rep2.seq/392.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	3.16.2023 Liver Western Diet ASGR rep2
Name	nluc 1
Number	5
Position	RA7
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Interrupted
Inject Time	3/17/2023 1:05:12 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	82.316367
Data Points	48884
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.073777
Signal Max.	93.991180
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.1010368

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.007719
0.001667	0.1	0.001300
0.003333	0.1	-0.008406
0.005000	0.1	-0.017156
0.006667	0.1	-0.019973
0.008333	0.1	-0.019427
0.010000	0.1	-0.016489
0.011667	0.1	-0.012297
0.013333	0.1	-0.009817
0.015000	0.1	-0.004287
0.016667	0.1	0.008363
0.018333	0.1	0.022430
0.020000	0.1	0.025865
0.021667	0.1	0.018631
0.023333	0.1	0.006725
0.025000	0.1	-0.003106
0.026667	0.1	-0.007095
0.028333	0.1	-0.008708
0.030383	0.123	-0.016505
0.032033	0.099	-0.029495
0.033700	0.1	-0.039260
0.035367	0.1	-0.043693
0.037033	0.1	-0.046640
0.038700	0.1	-0.048275
0.040367	0.1	-0.052914
0.042033	0.1	-0.061722
0.043717	0.101	-0.070317
0.045367	0.099	-0.073777
0.047033	0.1	-0.071517
0.048700	0.1	-0.065425
0.050367	0.1	-0.058397
0.052033	0.1	-0.054633
0.053700	0.1	-0.049922
0.055383	0.101	-0.041492
0.057033	0.099	-0.031247
0.058700	0.1	-0.022858
0.060367	0.1	-0.017106
0.062033	0.1	-0.014413
0.064083	0.123	-0.016448
0.065700	0.097	-0.022690
0.067367	0.1	-0.031900
0.069033	0.1	-0.038119
0.070700	0.1	-0.036624
0.072367	0.1	-0.029296
0.074033	0.1	-0.016410
0.075700	0.1	-0.003857
0.077367	0.1	0.002124
0.079033	0.1	0.004019
0.080700	0.1	0.007003
0.082367	0.1	0.010984
0.084033	0.1	0.011863
0.085700	0.1	0.008289
0.087367	0.1	0.000227
0.089033	0.1	-0.007753
0.090700	0.1	-0.009952
0.092367	0.1	-0.005065
0.094033	0.1	0.003270
0.095700	0.1	0.008443
0.097700	0.12	0.006954
0.099350	0.099	-0.000663
0.101017	0.1	-0.009009
0.102683	0.1	-0.012565
0.104350	0.1	-0.009680
0.106017	0.1	-0.005733
0.107683	0.1	-0.007395
0.109350	0.1	-0.015920
0.111017	0.1	-0.023731
0.112683	0.1	-0.025291
0.114350	0.1	-0.024056
0.116000	0.099	-0.024167
0.117667	0.1	-0.021545
0.119333	0.1	-0.016710
0.121000	0.1	-0.013987
0.122667	0.1	-0.015250
0.124333	0.1	-0.017967
0.126000	0.1	-0.020673
0.127667	0.1	-0.021218
0.129333	0.1	-0.015803
0.131333	0.12	-0.006589
0.133033	0.102	-0.000279
0.134717	0.101	-0.000447
0.136450	0.104	-0.004666
0.138117	0.1	-0.005721
0.139783	0.1	-0.001674
0.141450	0.1	0.004418
0.143117	0.1	0.011245
0.144783	0.1	0.015597
0.146450	0.1	0.013192
0.148117	0.1	0.004744
0.149783	0.1	-0.008994
0.151450	0.1	-0.025214
0.153117	0.1	-0.034208
0.154783	0.1	-0.031811
0.156450	0.1	-0.023103
0.158117	0.1	-0.012989
0.159783	0.1	-0.004222
0.161450	0.1	0.000287
0.163500	0.123	0.004337
0.165183	0.101	0.010546
0.166833	0.099	0.013310
0.168517	0.101	0.010450
0.170167	0.099	0.008689
0.171850	0.101	0.013305
0.173500	0.099	0.019275
0.175183	0.101	0.020555
0.176833	0.099	0.016889
0.178517	0.101	0.012477
0.180167	0.099	0.006836
0.181833	0.1	-0.000042
0.183500	0.1	-0.008948
0.185167	0.1	-0.019707
0.186833	0.1	-0.034692
0.188500	0.1	-0.052468
0.190167	0.1	-0.063892
0.191833	0.1	-0.068128
0.193500	0.1	-0.067231
0.195167	0.1	-0.058056
0.197167	0.12	-0.044221
0.198833	0.1	-0.031506
0.200500	0.1	-0.028024
0.202167	0.1	-0.031252
0.203833	0.1	-0.030489
0.205500	0.1	-0.027778
0.207167	0.1	-0.030506
0.208833	0.1	-0.033340
0.210500	0.1	-0.032861
0.212167	0.1	-0.033621
0.213833	0.1	-0.032309
0.215533	0.102	-0.026318
0.217200	0.1	-0.018543
0.218867	0.1	-0.012030
0.220533	0.1	-0.009748
0.222200	0.1	-0.014990
0.223867	0.1	-0.027449
0.225533	0.1	-0.038993
0.227200	0.1	-0.037822
0.228867	0.1	-0.023906
0.230867	0.12	-0.007208
0.232550	0.101	0.005496
0.234200	0.099	0.013234
0.235867	0.1	0.013706
0.237533	0.1	0.004828
0.239200	0.1	-0.007519
0.240867	0.1	-0.014448
0.242533	0.1	-0.018725
0.244200	0.1	-0.023062
0.245867	0.1	-0.022006
0.247533	0.1	-0.017285
0.249200	0.1	-0.013037
0.250867	0.1	-0.010249
0.252533	0.1	-0.007213
0.254200	0.1	-0.001600
0.255867	0.1	0.004565
0.257533	0.1	0.007866
0.259200	0.1	0.002767
0.260867	0.1	-0.008643
0.262533	0.1	-0.017409
0.264533	0.12	-0.027179
0.266200	0.1	-0.040416
0.267850	0.099	-0.052292
0.269517	0.1	-0.056527
0.271183	0.1	-0.052357
0.272850	0.1	-0.044961
0.274533	0.101	-0.038448
0.276183	0.099	-0.032174
0.277850	0.1	-0.024406
0.279517	0.1	-0.015232
0.281183	0.1	-0.006627
0.282833	0.099	-0.004933
0.284500	0.1	-0.013875
0.286167	0.1	-0.026427
0.287833	0.1	-0.036742
0.289500	0.1	-0.042707
0.291167	0.1	-0.042137
0.292833	0.1	-0.032435
0.294500	0.1	-0.017156
0.296167	0.1	-0.004365
0.298167	0.12	-0.003132
0.299833	0.1	-0.011129
0.301550	0.103	-0.019860
0.303167	0.097	-0.026758
0.304833	0.1	-0.028298
0.306500	0.1	-0.023465
0.308167	0.1	-0.017483
0.309833	0.1	-0.011947
0.311500	0.1	-0.002352
0.313167	0.1	0.009719
0.314833	0.1	0.019936
0.316500	0.1	0.024786
0.318167	0.1	0.024309
0.319833	0.1	0.022300
0.321500	0.1	0.018490
0.323167	0.1	0.011536
0.324833	0.1	0.001675
0.326500	0.1	-0.008140
0.328167	0.1	-0.014720
0.329833	0.1	-0.016097
0.331867	0.122	-0.014360
0.333517	0.099	-0.015552
0.335167	0.099	-0.019364
0.336833	0.1	-0.022195
0.338500	0.1	-0.022620
0.340167	0.1	-0.020060
0.341833	0.1	-0.016530
0.343500	0.1	-0.017911
0.345167	0.1	-0.023308
0.346833	0.1	-0.024202
0.348500	0.1	-0.016545
0.350167	0.1	-0.005230
0.351833	0.1	0.000469
0.353500	0.1	0.000656
0.355167	0.1	0.000898
0.356833	0.1	0.001188
0.358500	0.1	-0.001773
0.360167	0.1	-0.010957
0.361833	0.1	-0.026273
0.363850	0.121	-0.036373
0.365500	0.099	-0.034886
0.367167	0.1	-0.025182
0.368833	0.1	-0.015242
0.370500	0.1	-0.005915
