URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/3.16.2023 Liver Western Diet ASGR rep2.seq/661.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	3.16.2023 Liver Western Diet ASGR rep2
Name	nluc 2
Number	2
Position	RA4
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	3/16/2023 7:38:09 PM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.500683
Data Points	63842
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.588219
Signal Max.	60.842940
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10103289

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.051464
0.001667	0.1	0.038861
0.003333	0.1	0.029963
0.005000	0.1	0.026143
0.006667	0.1	0.025956
0.008333	0.1	0.030449
0.010000	0.1	0.038234
0.011667	0.1	0.046807
0.013333	0.1	0.051041
0.015000	0.1	0.048933
0.016667	0.1	0.043617
0.018333	0.1	0.039626
0.020000	0.1	0.038573
0.021667	0.1	0.034253
0.023333	0.1	0.019441
0.025000	0.1	-0.002164
0.026667	0.1	-0.020532
0.028333	0.1	-0.034792
0.030333	0.12	-0.054230
0.032000	0.1	-0.077573
0.033667	0.1	-0.089929
0.035400	0.104	-0.087664
0.037000	0.096	-0.078376
0.038667	0.1	-0.065582
0.040333	0.1	-0.050654
0.042000	0.1	-0.037546
0.043733	0.104	-0.025676
0.045333	0.096	-0.013707
0.047000	0.1	-0.002966
0.048700	0.102	0.002298
0.050367	0.1	0.000001
0.052033	0.1	-0.005621
0.053700	0.1	-0.011161
0.055367	0.1	-0.017673
0.057033	0.1	-0.024580
0.058700	0.1	-0.028131
0.060367	0.1	-0.025023
0.062033	0.1	-0.015833
0.064033	0.12	-0.003389
0.065700	0.1	0.007603
0.067367	0.1	0.014493
0.069033	0.1	0.018024
0.070700	0.1	0.016831
0.072367	0.1	0.007290
0.074033	0.1	-0.009746
0.075700	0.1	-0.022946
0.077367	0.1	-0.023948
0.079033	0.1	-0.016036
0.080700	0.1	-0.001418
0.082367	0.1	0.017858
0.084033	0.1	0.034098
0.085700	0.1	0.041650
0.087367	0.1	0.042385
0.089033	0.1	0.039504
0.090700	0.1	0.033413
0.092367	0.1	0.023230
0.094033	0.1	0.007153
0.096100	0.124	-0.008478
0.097783	0.101	-0.011543
0.099417	0.098	0.000567
0.101083	0.1	0.019827
0.102750	0.1	0.036249
0.104417	0.1	0.042599
0.106083	0.1	0.037564
0.107750	0.1	0.028518
0.109417	0.1	0.020393
0.111083	0.1	0.015611
0.112750	0.1	0.016051
0.114417	0.1	0.021181
0.116083	0.1	0.027127
0.117750	0.1	0.032669
0.119417	0.1	0.036169
0.121083	0.1	0.039989
0.122750	0.1	0.046444
0.124417	0.1	0.050611
0.126083	0.1	0.044369
0.127750	0.1	0.026941
0.129750	0.12	0.008172
0.131450	0.102	-0.001511
0.133117	0.1	0.000168
0.134783	0.1	0.003013
0.136450	0.1	0.003695
0.138150	0.102	0.000097
0.139783	0.098	-0.013206
0.141450	0.1	-0.028287
0.143117	0.1	-0.032949
0.144783	0.1	-0.023225
0.146467	0.101	-0.009942
0.148117	0.099	-0.002447
0.149783	0.1	0.003949
0.151450	0.1	0.017349
0.153117	0.1	0.037996
0.154783	0.1	0.055931
0.156450	0.1	0.061880
0.158117	0.1	0.059867
0.159783	0.1	0.059359
0.161450	0.1	0.063273
0.163483	0.122	0.068696
0.165117	0.098	0.072271
0.166817	0.102	0.069390
0.168450	0.098	0.059347
0.170117	0.1	0.050881
0.171783	0.1	0.045446
0.173450	0.1	0.034651
0.175117	0.1	0.015006
0.176783	0.1	0.000331
0.178450	0.1	-0.000990
0.180117	0.1	0.005747
0.181767	0.099	0.017600
0.183433	0.1	0.031242
0.185100	0.1	0.037930
0.186767	0.1	0.035240
0.188433	0.1	0.028485
0.190100	0.1	0.018692
0.191767	0.1	0.004913
0.193433	0.1	-0.006655
0.195100	0.1	-0.010084
0.197117	0.121	-0.008882
0.198783	0.1	-0.005614
0.200450	0.1	0.003273
0.202083	0.098	0.018367
0.203767	0.101	0.034183
0.205450	0.101	0.043816
0.207083	0.098	0.046911
0.208750	0.1	0.045344
0.210417	0.1	0.037053
0.212083	0.1	0.020433
0.213767	0.101	0.004521
0.215417	0.099	-0.003740
0.217083	0.1	-0.002340
0.218750	0.1	0.006289
0.220417	0.1	0.021460
0.222083	0.1	0.034038
0.223750	0.1	0.035460
0.225417	0.1	0.031477
0.227083	0.1	0.032782
0.228750	0.1	0.040325
0.230767	0.121	0.049952
0.232417	0.099	0.057096
0.234083	0.1	0.059363
0.235750	0.1	0.060712
0.237417	0.1	0.062844
0.239083	0.1	0.063329
0.240750	0.1	0.057155
0.242417	0.1	0.045037
0.244083	0.1	0.036993
0.245750	0.1	0.036444
0.247417	0.1	0.038135
0.249083	0.1	0.036142
0.250750	0.1	0.032575
0.252417	0.1	0.030777
0.254083	0.1	0.025838
0.255750	0.1	0.020230
0.257417	0.1	0.018537
0.259083	0.1	0.020896
0.260750	0.1	0.023699
0.262750	0.12	0.026188
0.264417	0.1	0.028572
0.266083	0.1	0.030973
0.267750	0.1	0.035671
0.269417	0.1	0.043842
0.271083	0.1	0.052564
0.272750	0.1	0.059594
0.274417	0.1	0.064208
0.276083	0.1	0.065769
0.277750	0.1	0.064402
0.279417	0.1	0.053801
0.281083	0.1	0.034073
0.282750	0.1	0.021079
0.284417	0.1	0.022707
0.286083	0.1	0.033759
0.287750	0.1	0.045678
0.289417	0.1	0.049971
0.291083	0.1	0.041338
0.292750	0.1	0.028460
0.294417	0.1	0.024407
0.296417	0.12	0.032109
0.298133	0.103	0.042758
0.299817	0.101	0.045075
0.301450	0.098	0.037772
0.303117	0.1	0.027852
0.304783	0.1	0.023513
0.306450	0.1	0.025487
0.308117	0.1	0.028928
0.309783	0.1	0.035416
0.311450	0.1	0.045145
0.313117	0.1	0.050761
0.314783	0.1	0.052205
0.316450	0.1	0.056262
0.318117	0.1	0.060782
0.319783	0.1	0.059582
0.321450	0.1	0.048757
0.323117	0.1	0.030794
0.324783	0.1	0.019868
0.326450	0.1	0.023210
0.328117	0.1	0.033129
0.330117	0.12	0.039885
0.331783	0.1	0.043148
0.333450	0.1	0.045805
0.335117	0.1	0.049358
0.336783	0.1	0.049972
0.338450	0.1	0.046850
0.340117	0.1	0.044603
0.341783	0.1	0.047936
0.343450	0.1	0.053844
0.345117	0.1	0.052432
0.346783	0.1	0.045019
0.348433	0.099	0.039730
0.350100	0.1	0.038169
0.351767	0.1	0.037181
0.353433	0.1	0.036378
0.355100	0.1	0.037640
0.356767	0.1	0.039786
0.358433	0.1	0.040198
0.360100	0.1	0.041182
0.361767	0.1	0.042469
0.363800	0.122	0.042573
0.365417	0.097	0.043485
0.367083	0.1	0.048045
0.368750	0.1	0.054796
0.370417	0.1	0.058269
0.372083	0.1	0.052897
0.373750	0.1	0.039967
0.375417	0.1	0.024275
0.377083	0.1	0.012269
0.378750	0.1	0.009457
0.380433	0.101	0.014318
0.382083	0.099	0.023969
0.383750	0.1	0.032418
0.385417	0.1	0.033751
0.387083	0.1	0.032397
0.388750	0.1	0.035111
0.390417	0.1	0.043084
0.392083	0.1	0.052716
0.393750	0.1	0.059210
0.395417	0.1	0.060629
0.397417	0.12	0.058638
0.399083	0.1	0.053695
0.400767	0.101	0.048243
0.402433	0.1	0.046867
0.404083	0.099	0.049245
0.405750	0.1	0.051481
0.407417	0.1	0.049952
0.409083	0.1	0.043207
0.410750	0.1	0.038155
0.412417	0.1	0.037453
0.414083	0.1	0.037462
0.415750	0.1	0.037505
0.417417	0.1	0.036219
0.419083	0.1	0.028115
0.420750	0.1	0.014645
0.422417	0.1	-0.002771
0.424083	0.1	-0.021246
0.425750	0.1	-0.029030
0.427417	0.1	-0.019829
0.429083	0.1	-0.000583
0.431083	0.12	0.015686
0.432750	0.1	0.021250
0.434417	0.1	0.021344
0.436083	0.1	0.023209
0.437750	0.1	0.031142
0.439417	0.1	0.041475
0.441083	0.1	0.043296
0.442750	0.1	0.036670
0.444417	0.1	0.028228
0.446083	0.1	0.022461
0.447750	0.1	0.016458
0.449417	0.1	0.008301
0.451083	0.1	0.002130
0.452750	0.1	0.005618
0.454417	0.1	0.021660
0.456083	0.1	0.040505
0.457750	0.1	0.052341
0.459417	0.1	0.055878
0.461083	0.1	0.051831
0.463150	0.124	0.042651
0.464783	0.098	0.036190
0.466450	0.1	0.037746
0.468117	0.1	0.047692
0.469800	0.101	0.061575
0.471450	0.099	0.071953
0.473117	0.1	0.073103
0.474783	0.1	0.063955
0.476450	0.1	0.052219
0.478117	0.1	0.046352
0.479783	0.1	0.047783
0.481450	0.1	0.050125
0.483117	0.1	0.051078
0.484783	0.1	0.053427
0.486450	0.1	0.059437
0.488117	0.1	0.065091
0.489783	0.1	0.066109
0.491450	0.1	0.065742
0.493117	0.1	0.067272
0.494783	0.1	0.067881
0.496783	0.12	0.063731
0.498450	0.1	0.056232
0.500117	0.1	0.050533
0.501783	0.1	0.044838
0.503500	0.103	0.040683
0.505117	0.097	0.039396
0.506783	0.1	0.034952
0.508450	0.1	0.027799
0.510117	0.1	0.026038
0.511783	0.1	0.027755
0.513450	0.1	0.022914
0.515100	0.099	0.013772
0.516767	0.1	0.015424
0.518450	0.101	0.031846
0.520100	0.099	0.048067
0.521767	0.1	0.050985
0.523433	0.1	0.042624
0.525100	0.1	0.031125
0.526767	0.1	0.024077
0.528433	0.1	0.022363
0.530433	0.12	0.026347
0.532083	0.099	0.032687
0.533750	0.1	0.035581
0.535417	0.1	0.033114
0.537083	0.1	0.025647
0.538750	0.1	0.013949
0.540417	0.1	0.007173
0.542083	0.1	0.006239
0.543750	0.1	0.006531
0.545417	0.1	0.008519
0.547100	0.101	0.010205
0.548750	0.099	0.010006
0.550417	0.1	0.009785
0.552083	0.1	0.013970
0.553750	0.1	0.024717
0.555417	0.1	0.039003
0.557083	0.1	0.048624
0.558750	0.1	0.044743
0.560417	0.1	0.032296
0.562083	0.1	0.023078
0.564117	0.122	0.023328
0.565767	0.099	0.031752
0.567417	0.099	0.045794
0.569083	0.1	0.058234
0.570750	0.1	0.061246
0.572433	0.101	0.056740
0.574083	0.099	0.049194
0.575750	0.1	0.038803
0.577417	0.1	0.030691
0.579083	0.1	0.030486
0.580750	0.1	0.035900
0.582417	0.1	0.039929
0.584083	0.1	0.042072
0.585750	0.1	0.048031
0.587417	0.1	0.056585
0.589083	0.1	0.064088
0.590750	0.1	0.068083
0.592417	0.1	0.067556
0.594083	0.1	0.067740
0.595750	0.1	0.070448
0.597783	0.122	0.074652
0.599417	0.098	0.081513
0.601083	0.1	0.094092
0.602750	0.1	0.109167
0.604417	0.1	0.112331
0.606083	0.1	0.099259
0.607750	0.1	0.084214
0.609417	0.1	0.082786
0.611083	0.1	0.094843
0.612750	0.1	0.109130
0.614417	0.1	0.119281
0.616083	0.1	0.124689
0.617750	0.1	0.126517
0.619417	0.1	0.131721
0.621083	0.1	0.143498
0.622750	0.1	0.156664
0.624417	0.1	0.167217
0.626083	0.1	0.177144
0.627750	0.1	0.189396
0.629417	0.1	0.201086
0.631417	0.12	0.209995
0.633083	0.1	0.213445
0.634750	0.1	0.207693
0.636417	0.1	0.199587
0.638083	0.1	0.202098
