URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.22.26 absorption remainder  2.seq/642.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	4.22.26 absorption remainder  2
Name	AB int 2
Number	8
Position	RA8
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/27/2026 6:08:26 AM -04:00
Volume (µl)	2.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.501500
Data Points	63842
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.567804
Signal Max.	30.091070
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.13
Average Step (s)	0.10103366

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.049069
0.001667	0.1	0.053873
0.003333	0.1	0.047326
0.005017	0.101	0.033036
0.006667	0.099	0.021470
0.008333	0.1	0.020060
0.010000	0.1	0.020949
0.011667	0.1	0.019538
0.013333	0.1	0.018433
0.015000	0.1	0.019893
0.016667	0.1	0.018955
0.018333	0.1	0.008879
0.020000	0.1	-0.006759
0.021683	0.101	-0.018227
0.023333	0.099	-0.023111
0.025000	0.1	-0.022472
0.026667	0.1	-0.020568
0.028333	0.1	-0.022805
0.030367	0.122	-0.026949
0.032017	0.099	-0.033396
0.033667	0.099	-0.046251
0.035367	0.102	-0.058377
0.037000	0.098	-0.063039
0.038667	0.1	-0.060513
0.040333	0.1	-0.055304
0.042017	0.101	-0.048108
0.043667	0.099	-0.042271
0.045350	0.101	-0.040988
0.047000	0.099	-0.042277
0.048683	0.101	-0.044171
0.050333	0.099	-0.045927
0.052000	0.1	-0.043891
0.053667	0.1	-0.035591
0.055333	0.1	-0.028918
0.057000	0.1	-0.027321
0.058667	0.1	-0.026704
0.060333	0.1	-0.028008
0.062000	0.1	-0.032016
0.064017	0.121	-0.029149
0.065667	0.099	-0.018007
0.067333	0.1	-0.010863
0.069000	0.1	-0.011467
0.070667	0.1	-0.018825
0.072333	0.1	-0.025931
0.074000	0.1	-0.026574
0.075667	0.1	-0.028377
0.077333	0.1	-0.031817
0.079000	0.1	-0.027310
0.080667	0.1	-0.016731
0.082333	0.1	-0.009463
0.084000	0.1	-0.003644
0.085700	0.102	0.001651
0.087383	0.101	0.004094
0.089033	0.099	0.002075
0.090700	0.1	-0.006175
0.092383	0.101	-0.017561
0.094033	0.099	-0.028060
0.095700	0.1	-0.036727
0.097700	0.12	-0.038990
0.099367	0.1	-0.029946
0.101033	0.1	-0.013395
0.102700	0.1	0.002290
0.104367	0.1	0.009416
0.106033	0.1	0.011417
0.107700	0.1	0.016528
0.109367	0.1	0.021807
0.111033	0.1	0.022559
0.112700	0.1	0.020030
0.114367	0.1	0.012833
0.116033	0.1	0.008719
0.117700	0.1	0.012652
0.119367	0.1	0.016859
0.121033	0.1	0.016226
0.122700	0.1	0.011011
0.124367	0.1	0.002939
0.126033	0.1	-0.004189
0.127717	0.101	-0.002265
0.129367	0.099	0.009047
0.131450	0.125	0.020305
0.133117	0.1	0.026491
0.134750	0.098	0.032709
0.136417	0.1	0.034968
0.138083	0.1	0.028229
0.139750	0.1	0.021633
0.141417	0.1	0.021040
0.143083	0.1	0.024387
0.144750	0.1	0.028358
0.146417	0.1	0.030949
0.148083	0.1	0.028280
0.149750	0.1	0.026440
0.151417	0.1	0.024662
0.153083	0.1	0.019208
0.154750	0.1	0.011833
0.156417	0.1	0.006449
0.158083	0.1	0.007241
0.159750	0.1	0.012834
0.161417	0.1	0.018074
0.163417	0.12	0.018632
0.165083	0.1	0.014083
0.166750	0.1	0.005925
0.168467	0.103	-0.002164
0.170117	0.099	-0.006669
0.171833	0.103	-0.007743
0.173500	0.1	-0.008518
0.175167	0.1	-0.012009
0.176833	0.1	-0.013753
0.178500	0.1	-0.006029
0.180200	0.102	0.006687
0.181850	0.099	0.018251
0.183500	0.099	0.030432
0.185167	0.1	0.043073
0.186833	0.1	0.049235
0.188500	0.1	0.047479
0.190167	0.1	0.040206
0.191833	0.1	0.032727
0.193500	0.1	0.026629
0.195167	0.1	0.020202
0.197167	0.12	0.013941
0.198833	0.1	0.008560
0.200500	0.1	0.009657
0.202183	0.101	0.016743
0.203867	0.101	0.023817
0.205533	0.1	0.023640
0.207167	0.098	0.015350
0.208833	0.1	0.006558
0.210500	0.1	-0.001910
0.212167	0.1	-0.011812
0.213833	0.1	-0.017017
0.215500	0.1	-0.013877
0.217167	0.1	-0.006820
0.218833	0.1	-0.001415
0.220500	0.1	0.006914
0.222167	0.1	0.018044
0.223833	0.1	0.021690
0.225500	0.1	0.017132
0.227167	0.1	0.011908
0.228833	0.1	0.008415
0.230900	0.124	0.004440
0.232500	0.096	-0.002812
0.234167	0.1	-0.007122
0.235833	0.1	-0.005109
0.237500	0.1	-0.002972
0.239217	0.103	-0.000958
0.240833	0.097	0.003550
0.242500	0.1	0.006087
0.244167	0.1	0.010384
0.245833	0.1	0.015964
0.247567	0.104	0.017724
0.249250	0.101	0.014967
0.250917	0.1	0.006365
0.252583	0.1	-0.004273
0.254250	0.1	-0.008799
0.255917	0.1	-0.000304
0.257583	0.1	0.006704
0.259250	0.1	-0.001990
0.260917	0.1	-0.014643
0.262583	0.1	-0.013896
0.264583	0.12	0.004229
0.266250	0.1	0.027862
0.267917	0.1	0.041706
0.269583	0.1	0.041175
0.271250	0.1	0.033587
0.272917	0.1	0.022699
0.274583	0.1	0.010251
0.276250	0.1	-0.003325
0.277917	0.1	-0.021974
0.279583	0.1	-0.034674
0.281250	0.1	-0.034848
0.282933	0.101	-0.027482
0.284583	0.099	-0.016615
0.286250	0.1	0.002334
0.287917	0.1	0.021684
0.289583	0.1	0.029398
0.291250	0.1	0.021268
0.292917	0.1	0.003711
0.294583	0.1	-0.011365
0.296250	0.1	-0.018878
