URL	chrom://farber-hplc/test001/McKenna/4.03.26 Monica DY_test.seq/823.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	4.03.26 Monica DY_test
Name	AB int 4
Number	6
Position	RA6
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/3/2026 7:13:23 PM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.500383
Data Points	63835
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.158292
Signal Max.	105.393600
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.095
Max. Step (s)	0.13
Average Step (s)	0.10104369

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.003667
0.001667	0.1	-0.001491
0.003333	0.1	-0.007542
0.005000	0.1	-0.007569
0.006667	0.1	-0.000847
0.008333	0.1	0.003477
0.010000	0.1	0.003978
0.011667	0.1	0.002125
0.013333	0.1	-0.005275
0.015000	0.1	-0.013843
0.016667	0.1	-0.016605
0.018333	0.1	-0.012659
0.020000	0.1	-0.008420
0.021667	0.1	-0.005277
0.023333	0.1	-0.002061
0.025000	0.1	-0.005388
0.026667	0.1	-0.020377
0.028333	0.1	-0.038690
0.030000	0.1	-0.050560
0.031667	0.1	-0.056570
0.033667	0.12	-0.062002
0.035333	0.1	-0.071714
0.037000	0.1	-0.085352
0.038700	0.102	-0.095236
0.040333	0.098	-0.095509
0.042000	0.1	-0.085949
0.043667	0.1	-0.071888
0.045333	0.1	-0.056615
0.047000	0.1	-0.049718
0.048667	0.1	-0.055259
0.050333	0.1	-0.061012
0.052000	0.1	-0.058428
0.053667	0.1	-0.052795
0.055333	0.1	-0.047611
0.057000	0.1	-0.043559
0.058667	0.1	-0.041771
0.060333	0.1	-0.037597
0.062000	0.1	-0.035239
0.063667	0.1	-0.042081
0.065333	0.1	-0.049544
0.067467	0.128	-0.050253
0.069100	0.098	-0.046290
0.070767	0.1	-0.042393
0.072467	0.102	-0.038198
0.074117	0.099	-0.037047
0.075767	0.099	-0.041279
0.077417	0.099	-0.043561
0.079083	0.1	-0.040077
0.080750	0.1	-0.033270
0.082417	0.1	-0.027019
0.084083	0.1	-0.022278
0.085750	0.1	-0.018214
0.087417	0.1	-0.013213
0.089083	0.1	-0.008412
0.090750	0.1	-0.009135
0.092417	0.1	-0.010230
0.094083	0.1	-0.007751
0.095750	0.1	-0.002590
0.097417	0.1	0.002596
0.099433	0.121	0.002167
0.101083	0.099	-0.009992
0.102750	0.1	-0.022863
0.104417	0.1	-0.024216
0.106083	0.1	-0.019031
0.107750	0.1	-0.019046
0.109417	0.1	-0.019184
0.111083	0.1	-0.014563
0.112750	0.1	-0.006970
0.114417	0.1	0.007431
0.116083	0.1	0.025621
0.117750	0.1	0.033711
0.119417	0.1	0.023554
0.121083	0.1	0.002422
0.122750	0.1	-0.013897
0.124417	0.1	-0.017181
0.126083	0.1	-0.014897
0.127750	0.1	-0.016601
0.129417	0.1	-0.018242
0.131083	0.1	-0.010501
0.133100	0.121	0.002301
0.134767	0.1	0.015270
0.136450	0.101	0.023448
0.138100	0.099	0.020169
0.139750	0.099	0.006998
0.141417	0.1	-0.002564
0.143083	0.1	0.000684
0.144767	0.101	0.008503
0.146417	0.099	0.012690
0.148100	0.101	0.007967
0.149750	0.099	-0.002833
0.151433	0.101	-0.013070
0.153083	0.099	-0.023085
0.154767	0.101	-0.029984
0.156417	0.099	-0.031296
0.158100	0.101	-0.021991
0.159750	0.099	-0.005099
0.161433	0.101	0.008902
0.163083	0.099	0.022380
0.164767	0.101	0.033707
0.166783	0.121	0.032468
0.168450	0.1	0.015885
0.170083	0.098	-0.002615
0.171750	0.1	-0.007565
0.173417	0.1	0.005287
0.175083	0.1	0.025243
0.176750	0.1	0.035594
0.178417	0.1	0.033264
0.180083	0.1	0.027467
0.181750	0.1	0.020029
0.183417	0.1	0.009436
0.185083	0.1	-0.004673
0.186750	0.1	-0.018613
0.188417	0.1	-0.030219
0.190083	0.1	-0.038092
0.191750	0.1	-0.036203
0.193417	0.1	-0.030007
0.195083	0.1	-0.030130
0.196750	0.1	-0.038534
0.198417	0.1	-0.045651
0.200417	0.12	-0.039691
0.202083	0.1	-0.024548
0.203750	0.1	-0.008089
0.205417	0.1	0.002705
0.207083	0.1	0.009330
0.208750	0.1	0.016239
0.210450	0.102	0.017059
0.212117	0.1	0.003580
0.213783	0.1	-0.014076
0.215450	0.1	-0.027404
0.217117	0.1	-0.029468
0.218783	0.1	-0.019898
0.220450	0.1	-0.013327
0.222117	0.1	-0.011174
0.223783	0.1	-0.009026
0.225450	0.1	-0.008324
0.227117	0.1	-0.008999
0.228783	0.1	-0.009870
0.230450	0.1	-0.008052
0.232117	0.1	-0.004125
0.234117	0.12	0.003018
0.235783	0.1	0.014424
0.237450	0.1	0.018001
0.239133	0.101	0.007227
0.240783	0.099	-0.012493
0.242450	0.1	-0.029696
0.244117	0.1	-0.036921
0.245783	0.1	-0.031669
0.247467	0.101	-0.017646
0.249117	0.099	-0.006905
0.250783	0.1	-0.008394
0.252450	0.1	-0.011505
0.254117	0.1	-0.007338
0.255783	0.1	0.005003
0.257450	0.1	0.019123
0.259117	0.1	0.022859
0.260783	0.1	0.015906
0.262450	0.1	0.005832
0.264117	0.1	0.002125
0.266183	0.124	0.010269
0.267867	0.101	0.018337
0.269500	0.098	0.011228
0.271167	0.1	0.001161
0.272883	0.103	0.000704
0.274500	0.097	0.005409
0.276167	0.1	0.011438
0.277833	0.1	0.012473
0.279500	0.1	0.003328
0.281167	0.1	-0.010404
0.282833	0.1	-0.025180
0.284500	0.1	-0.037474
0.286167	0.1	-0.037572
0.287833	0.1	-0.025302
0.289500	0.1	-0.014264
0.291167	0.1	-0.009635
0.292833	0.1	-0.004490
0.294500	0.1	-0.000791
0.296167	0.1	0.000077
0.297833	0.1	0.004767
0.299833	0.12	0.009471
0.301500	0.1	0.011055
0.303167	0.1	0.007611
0.304833	0.1	0.003232
0.306517	0.101	0.001619
0.308167	0.099	-0.000874
0.309833	0.1	-0.004252
0.311500	0.1	-0.005709
0.313167	0.1	-0.009693
0.314833	0.1	-0.015526
0.316500	0.1	-0.019483
0.318167	0.1	-0.018404
0.319833	0.1	-0.018138
0.321500	0.1	-0.020288
0.323167	0.1	-0.016804
0.324833	0.1	-0.005590
0.326533	0.102	0.002216
0.328200	0.1	-0.002200
0.329867	0.1	-0.008005
0.331533	0.1	-0.003316
0.333567	0.122	0.003973
0.335200	0.098	0.010554
0.336867	0.1	0.016323
0.338533	0.1	0.018217
0.340200	0.1	0.016936
0.341900	0.102	0.010255
0.343533	0.098	-0.001802
0.345200	0.1	-0.009908
0.346867	0.1	-0.008697
0.348533	0.1	0.000331
0.350233	0.102	0.011103
0.351867	0.098	0.011332
0.353533	0.1	0.004559
0.355200	0.1	-0.001405
0.356867	0.1	-0.002314
0.358533	0.1	-0.002653
0.360200	0.1	-0.010139
0.361867	0.1	-0.021029
0.363533	0.1	-0.025977
0.365200	0.1	-0.022127
0.367200	0.12	-0.017415
0.368900	0.102	-0.020952
0.370533	0.098	-0.024273
0.372200	0.1	-0.024016
0.373867	0.1	-0.025288
0.375533	0.1	-0.027761
0.377183	0.099	-0.023413
0.378850	0.1	-0.012405
0.380517	0.1	-0.002700
0.382183	0.1	0.002981
0.383850	0.1	0.001819
0.385517	0.1	-0.008621
0.387183	0.1	-0.020414
0.388850	0.1	-0.022292
0.390517	0.1	-0.019143
0.392183	0.1	-0.024500
0.393833	0.099	-0.034470
0.395500	0.1	-0.037662
0.397167	0.1	-0.033322
0.398833	0.1	-0.022747
0.400833	0.12	-0.006859
0.402500	0.1	0.006153
0.404167	0.1	0.006445
0.405833	0.1	0.003653
0.407500	0.1	0.011078
0.409167	0.1	0.027814
0.410833	0.1	0.042927
0.412500	0.1	0.047763
0.414167	0.1	0.042483
0.415833	0.1	0.028781
0.417500	0.1	0.011455
0.419167	0.1	0.001028
0.420833	0.1	0.003351
0.422500	0.1	0.013207
0.424167	0.1	0.016911
0.425833	0.1	0.010091
0.427500	0.1	-0.000180
0.429167	0.1	-0.001917
0.430833	0.1	0.003292
0.432500	0.1	0.005267
0.434517	0.121	0.003653
0.436167	0.099	0.007670
0.437867	0.102	0.015232
0.439500	0.098	0.019194
0.441167	0.1	0.015804
0.442833	0.1	0.011265
0.444500	0.1	0.010735
0.446200	0.102	0.010320
0.447850	0.099	0.010259
0.449500	0.099	0.015064
0.451183	0.101	0.022734
0.452833	0.099	0.024357
0.454500	0.1	0.015254
0.456167	0.1	0.004241
0.457833	0.1	0.004223
0.459500	0.1	0.008511
0.461167	0.1	0.011158
0.462833	0.1	0.013516
0.464500	0.1	0.012538
0.466167	0.1	0.010465
0.468200	0.122	0.007309
0.469833	0.098	-0.004072
0.471500	0.1	-0.022283
0.473167	0.1	-0.031857
0.474833	0.1	-0.027771
0.476500	0.1	-0.019318
0.478167	0.1	-0.013213
0.479833	0.1	-0.006654
0.481500	0.1	0.001967
0.483167	0.1	0.006781
0.484833	0.1	0.000469
0.486500	0.1	-0.010466
0.488167	0.1	-0.018770
0.489833	0.1	-0.025878
0.491500	0.1	-0.030104
0.493167	0.1	-0.031185
0.494833	0.1	-0.029951
0.496500	0.1	-0.025676
0.498167	0.1	-0.017330
0.500167	0.12	-0.008276
0.501833	0.1	0.000567
0.503500	0.1	0.004119
0.505167	0.1	-0.002023
0.506833	0.1	-0.016037
0.508500	0.1	-0.025979
0.510200	0.102	-0.026285
0.511867	0.1	-0.017277
0.513533	0.1	-0.006731
0.515200	0.1	-0.000316
0.516883	0.101	0.001915
0.518533	0.099	0.000185
0.520200	0.1	0.000174
0.521867	0.1	-0.001995
0.523533	0.1	-0.008250
0.525200	0.1	-0.008692
0.526867	0.1	-0.000966
0.528533	0.1	0.005036
0.530200	0.1	0.004946
0.531867	0.1	-0.000946
0.533867	0.12	-0.011276
0.535533	0.1	-0.021326
0.537200	0.1	-0.028581
0.538867	0.1	-0.032771
0.540533	0.1	-0.037712
0.542200	0.1	-0.039769
0.543867	0.1	-0.029975
0.545533	0.1	-0.013837
0.547200	0.1	-0.001713
0.548867	0.1	0.008256
0.550533	0.1	0.013295
0.552200	0.1	0.005114
0.553867	0.1	-0.011186
0.555533	0.1	-0.022295
0.557200	0.1	-0.019195
0.558867	0.1	-0.005959
0.560517	0.099	0.006438
0.562183	0.1	0.006802
0.563850	0.1	-0.010573
0.565517	0.1	-0.033737
0.567517	0.12	-0.040202
0.569200	0.101	-0.028209
0.570850	0.099	-0.014199
0.572517	0.1	-0.005393
0.574183	0.1	-0.004934
0.575850	0.1	-0.013533
0.577517	0.1	-0.019792
0.579183	0.1	-0.020059
0.580850	0.1	-0.016541
0.582517	0.1	-0.014038
0.584183	0.1	-0.013237
0.585850	0.1	-0.011288
0.587517	0.1	-0.009363
