URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.22.26 absorption remainder  2.seq/781.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	4.22.26 absorption remainder  2
Name	AB int 6
Number	1
Position	RA1
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/26/2026 5:26:12 PM -04:00
Volume (µl)	2.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.500733
Data Points	63842
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.609204
Signal Max.	29.264860
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10103294

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.014812
0.001650	0.099	-0.001304
0.003317	0.1	-0.012335
0.004983	0.1	-0.015749
0.006650	0.1	-0.017197
0.008317	0.1	-0.017953
0.009983	0.1	-0.012145
0.011650	0.1	-0.002464
0.013317	0.1	0.008837
0.014983	0.1	0.020792
0.016650	0.1	0.031229
0.018317	0.1	0.038729
0.019983	0.1	0.039805
0.021650	0.1	0.039680
0.023317	0.1	0.038785
0.024983	0.1	0.030046
0.026650	0.1	0.011903
0.028317	0.1	-0.007532
0.029983	0.1	-0.021731
0.031650	0.1	-0.033738
0.033667	0.121	-0.043808
0.035317	0.099	-0.047224
0.036983	0.1	-0.047098
0.038650	0.1	-0.040009
0.040333	0.101	-0.027603
0.041983	0.099	-0.017876
0.043650	0.1	-0.014399
0.045317	0.1	-0.015084
0.046983	0.1	-0.010780
0.048650	0.1	0.001020
0.050317	0.1	0.007983
0.051983	0.1	0.009357
0.053650	0.1	0.008858
0.055317	0.1	0.009881
0.056983	0.1	0.012662
0.058650	0.1	0.014174
0.060317	0.1	0.018983
0.061983	0.1	0.023504
0.063650	0.1	0.020321
0.065317	0.1	0.009429
0.067317	0.12	-0.009399
0.069050	0.104	-0.027063
0.070733	0.101	-0.037436
0.072400	0.1	-0.043460
0.074067	0.1	-0.049736
0.075733	0.1	-0.050555
0.077400	0.1	-0.043803
0.079067	0.1	-0.033672
0.080733	0.1	-0.022243
0.082400	0.1	-0.011433
0.084067	0.1	0.001264
0.085750	0.101	0.011311
0.087400	0.099	0.009546
0.089067	0.1	0.001023
0.090733	0.1	-0.002432
0.092400	0.1	0.000064
0.094067	0.1	-0.001841
0.095733	0.1	-0.009840
0.097400	0.1	-0.025023
0.099450	0.123	-0.039408
0.101183	0.104	-0.043117
0.102850	0.1	-0.040606
0.104517	0.1	-0.034441
0.106183	0.1	-0.024952
0.107850	0.1	-0.017025
0.109517	0.1	-0.013707
0.111183	0.1	-0.010723
0.112850	0.1	-0.004160
0.114517	0.1	0.005133
0.116183	0.1	0.011064
0.117850	0.1	0.009990
0.119517	0.1	0.000939
0.121183	0.1	-0.009750
0.122850	0.1	-0.009693
0.124517	0.1	-0.002743
0.126183	0.1	-0.001180
0.127850	0.1	-0.004877
0.129517	0.1	-0.013425
0.131183	0.1	-0.027153
0.133183	0.12	-0.035478
0.134833	0.099	-0.033947
0.136500	0.1	-0.024533
0.138167	0.1	-0.015496
0.139833	0.1	-0.012960
0.141500	0.1	-0.015054
0.143167	0.1	-0.019234
0.144833	0.1	-0.028285
0.146517	0.101	-0.031052
0.148167	0.099	-0.019067
0.149833	0.1	-0.003738
0.151483	0.099	0.006446
0.153150	0.1	0.014374
0.154817	0.1	0.018782
0.156483	0.1	0.021910
0.158150	0.1	0.024425
0.159817	0.1	0.026251
0.161500	0.101	0.030288
0.163150	0.099	0.040404
0.164817	0.1	0.052350
0.166817	0.12	0.059072
0.168483	0.1	0.057296
0.170150	0.1	0.044510
0.171833	0.101	0.019973
0.173483	0.099	0.005452
0.175150	0.1	0.009911
0.176817	0.1	0.019182
0.178483	0.1	0.025469
0.180150	0.1	0.028329
0.181817	0.1	0.026946
0.183483	0.1	0.023010
0.185150	0.1	0.019117
0.186817	0.1	0.009978
0.188483	0.1	-0.002465
0.190150	0.1	-0.013577
0.191817	0.1	-0.016667
0.193483	0.1	-0.016431
0.195150	0.1	-0.018570
0.196817	0.1	-0.021148
0.198483	0.1	-0.023734
0.200517	0.122	-0.022492
0.202150	0.098	-0.013900
0.203817	0.1	-0.009003
0.205500	0.101	-0.013423
0.207150	0.099	-0.015166
0.208817	0.1	-0.009406
0.210483	0.1	-0.001885
0.212150	0.1	0.000743
0.213817	0.1	0.003286
0.215483	0.1	0.011785
0.217150	0.1	0.020213
0.218817	0.1	0.017821
0.220483	0.1	0.006229
0.222150	0.1	-0.007409
0.223817	0.1	-0.016500
0.225483	0.1	-0.018290
0.227150	0.1	-0.014902
0.228817	0.1	-0.016308
0.230483	0.1	-0.025432
0.232150	0.1	-0.033137
0.234167	0.121	-0.033145
0.235817	0.099	-0.028469
0.237483	0.1	-0.025103
