URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.22.26 absorption remainder.seq/642.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	4.22.26 absorption remainder
Name	AB int 7
Number	8
Position	RB8
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/23/2026 8:29:26 AM -04:00
Volume (µl)	2.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.500417
Data Points	63842
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.816123
Signal Max.	30.881580
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.13
Average Step (s)	0.10103264

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.002611
0.001650	0.099	-0.002078
0.003317	0.1	-0.003683
0.004983	0.1	-0.000499
0.006667	0.101	0.000178
0.008317	0.099	-0.002258
0.009983	0.1	0.004889
0.011650	0.1	0.013519
0.013317	0.1	0.017338
0.014983	0.1	0.018344
0.016650	0.1	0.014250
0.018317	0.1	-0.001966
0.019983	0.1	-0.019435
0.021650	0.1	-0.024068
0.023317	0.1	-0.026579
0.024983	0.1	-0.034486
0.026650	0.1	-0.040774
0.028317	0.1	-0.045876
0.030317	0.12	-0.045763
0.031983	0.1	-0.036778
0.033650	0.1	-0.032059
0.035317	0.1	-0.041205
0.036983	0.1	-0.057431
0.038650	0.1	-0.074144
0.040317	0.1	-0.084441
0.041983	0.1	-0.081846
0.043650	0.1	-0.066475
0.045317	0.1	-0.045170
0.046983	0.1	-0.026861
0.048650	0.1	-0.017943
0.050317	0.1	-0.012828
0.051983	0.1	-0.009526
0.053650	0.1	-0.010868
0.055317	0.1	-0.017058
0.056983	0.1	-0.025026
0.058650	0.1	-0.023737
0.060317	0.1	-0.008316
0.061983	0.1	0.006778
0.063983	0.12	0.006200
0.065650	0.1	-0.005278
0.067383	0.104	-0.016112
0.068983	0.096	-0.019256
0.070650	0.1	-0.019699
0.072317	0.1	-0.015260
0.073983	0.1	-0.017936
0.075650	0.1	-0.028046
0.077317	0.1	-0.032859
0.078983	0.1	-0.028917
0.080650	0.1	-0.027768
0.082317	0.1	-0.032342
0.083983	0.1	-0.039595
0.085650	0.1	-0.047959
0.087350	0.102	-0.054059
0.089017	0.1	-0.053595
0.090683	0.1	-0.050010
0.092350	0.1	-0.046992
0.094033	0.101	-0.043644
0.096067	0.122	-0.040997
0.097733	0.1	-0.042681
0.099400	0.1	-0.045572
0.101067	0.1	-0.045883
0.102733	0.1	-0.047843
0.104400	0.1	-0.057251
0.106067	0.1	-0.067733
0.107733	0.1	-0.071491
0.109400	0.1	-0.058689
0.111067	0.1	-0.031506
0.112733	0.1	-0.014350
0.114400	0.1	-0.023832
0.116067	0.1	-0.039997
0.117733	0.1	-0.035012
0.119400	0.1	-0.017374
0.121067	0.1	-0.011962
0.122733	0.1	-0.021657
0.124400	0.1	-0.034154
0.126067	0.1	-0.036034
0.127733	0.1	-0.032339
0.129850	0.127	-0.031915
0.131517	0.1	-0.042548
0.133183	0.1	-0.057164
0.134850	0.1	-0.065298
0.136517	0.1	-0.070925
0.138167	0.099	-0.076326
0.139833	0.1	-0.074379
0.141500	0.1	-0.062766
0.143167	0.1	-0.052964
0.144833	0.1	-0.047362
0.146500	0.1	-0.044845
0.148167	0.1	-0.046795
0.149833	0.1	-0.050253
0.151500	0.1	-0.049062
0.153167	0.1	-0.040634
0.154817	0.099	-0.026700
0.156483	0.1	-0.016493
0.158150	0.1	-0.020632
0.159817	0.1	-0.035950
0.161483	0.1	-0.049109
0.163517	0.122	-0.047370
0.165150	0.098	-0.037746
0.166817	0.1	-0.030103
0.168483	0.1	-0.032451
0.170150	0.1	-0.041085
0.171817	0.1	-0.043115
0.173483	0.1	-0.037613
0.175150	0.1	-0.031564
0.176817	0.1	-0.028210
0.178483	0.1	-0.034639
0.180150	0.1	-0.050232
0.181817	0.1	-0.061111
0.183483	0.1	-0.054791
0.185150	0.1	-0.035883
0.186817	0.1	-0.016750
0.188483	0.1	-0.000687
0.190167	0.101	0.008950
0.191817	0.099	0.009662
0.193483	0.1	0.001988
0.195150	0.1	-0.010246
0.197150	0.12	-0.017885
0.198833	0.101	-0.007979
0.200483	0.099	0.015227
0.202183	0.102	0.027825
0.203817	0.098	0.025238
0.205500	0.101	0.023422
0.207150	0.099	0.025561
0.208833	0.101	0.018404
0.210483	0.099	-0.004526
0.212167	0.101	-0.023176
0.213817	0.099	-0.019962
0.215500	0.101	-0.003870
0.217150	0.099	0.009122
0.218833	0.101	0.017049
0.220483	0.099	0.020262
0.222167	0.101	0.018530
0.223817	0.099	0.015673
0.225500	0.101	0.017852
0.227150	0.099	0.024148
0.228833	0.101	0.030191
0.230817	0.119	0.022343
0.232517	0.102	0.008763
0.234183	0.1	-0.000966
0.235817	0.098	-0.008725
0.237483	0.1	-0.004167
0.239150	0.1	0.014305
0.240817	0.1	0.031009
0.242483	0.1	0.036955
0.244150	0.1	0.027618
0.245817	0.1	0.010280
0.247483	0.1	-0.005221
0.249150	0.1	-0.010376
0.250817	0.1	0.001695
0.252483	0.1	0.023814
0.254150	0.1	0.040792
0.255817	0.1	0.041807
0.257483	0.1	0.024156
0.259150	0.1	0.003225
0.260817	0.1	-0.007705
0.262817	0.12	-0.000996
