URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.22.26 absorption remainder  2.seq/907.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	4.22.26 absorption remainder  2
Name	AB intestine 8
Number	6
Position	RA6
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/27/2026 2:31:01 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.500033
Data Points	63835
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.383086
Signal Max.	105.402600
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10104336

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.025448
0.001667	0.1	0.011681
0.003333	0.1	0.000667
0.005000	0.1	-0.001486
0.006667	0.1	0.001868
0.008333	0.1	0.009025
0.010000	0.1	0.018580
0.011667	0.1	0.023213
0.013333	0.1	0.024415
0.015000	0.1	0.026284
0.016667	0.1	0.023058
0.018333	0.1	0.015565
0.020000	0.1	0.010685
0.021667	0.1	0.011366
0.023333	0.1	0.010453
0.025000	0.1	0.003504
0.026667	0.1	-0.004144
0.028333	0.1	-0.014140
0.030333	0.12	-0.028684
0.032000	0.1	-0.039000
0.033667	0.1	-0.038946
0.035333	0.1	-0.035463
0.037000	0.1	-0.036518
0.038667	0.1	-0.042745
0.040333	0.1	-0.050535
0.042000	0.1	-0.054611
0.043667	0.1	-0.053383
0.045333	0.1	-0.052202
0.047000	0.1	-0.054085
0.048667	0.1	-0.053792
0.050333	0.1	-0.046224
0.052033	0.102	-0.038487
0.053700	0.1	-0.038425
0.055367	0.1	-0.040747
0.057033	0.1	-0.041220
0.058700	0.1	-0.040414
0.060367	0.1	-0.036210
0.062417	0.123	-0.029029
0.064117	0.102	-0.026108
0.065750	0.098	-0.027864
0.067417	0.1	-0.033664
0.069083	0.1	-0.033351
0.070750	0.1	-0.021718
0.072417	0.1	-0.005267
0.074083	0.1	0.006881
0.075750	0.1	0.011813
0.077417	0.1	0.014091
0.079083	0.1	0.018737
0.080750	0.1	0.023658
0.082417	0.1	0.022419
0.084083	0.1	0.008347
0.085750	0.1	-0.007826
0.087417	0.1	-0.012937
0.089083	0.1	-0.011799
0.090750	0.1	-0.010951
0.092417	0.1	-0.017615
0.094083	0.1	-0.024653
0.096083	0.12	-0.019319
0.097750	0.1	-0.005852
0.099417	0.1	0.006614
0.101083	0.1	0.012348
0.102783	0.102	0.011786
0.104417	0.098	0.002846
0.106083	0.1	-0.009313
0.107750	0.1	-0.009273
0.109417	0.1	0.000791
0.111083	0.1	0.007791
0.112750	0.1	0.009179
0.114417	0.1	0.011414
0.116083	0.1	0.013226
0.117750	0.1	0.013922
0.119417	0.1	0.014100
0.121083	0.1	0.013167
0.122750	0.1	0.012201
0.124417	0.1	0.011321
0.126083	0.1	0.014070
0.127750	0.1	0.015587
0.129750	0.12	0.013790
0.131417	0.1	0.014673
0.133083	0.1	0.014669
0.134800	0.103	0.011218
0.136417	0.097	0.008600
0.138083	0.1	0.009772
0.139750	0.1	0.018065
0.141417	0.1	0.024234
0.143117	0.102	0.022068
0.144783	0.1	0.013219
0.146450	0.1	-0.000400
0.148117	0.1	-0.008606
0.149783	0.1	-0.001613
0.151450	0.1	0.012382
0.153117	0.1	0.020138
0.154783	0.1	0.018861
0.156450	0.1	0.013567
0.158117	0.1	0.011809
0.159783	0.1	0.019068
0.161450	0.1	0.029334
0.163450	0.12	0.034915
0.165117	0.1	0.030156
0.166783	0.1	0.008348
0.168467	0.101	-0.018306
0.170117	0.099	-0.032043
0.171783	0.1	-0.029691
0.173450	0.1	-0.021759
0.175133	0.101	-0.013549
0.176783	0.099	-0.008430
0.178450	0.1	-0.006886
0.180117	0.1	-0.005726
0.181783	0.1	0.003113
0.183450	0.1	0.018262
0.185100	0.099	0.025358
0.186767	0.1	0.020826
0.188433	0.1	0.017209
0.190100	0.1	0.013362
0.191783	0.101	0.006377
0.193433	0.099	-0.000034
0.195100	0.1	-0.005219
0.197100	0.12	-0.010695
0.198767	0.1	-0.012954
0.200433	0.1	-0.009176
0.202100	0.1	0.001050
0.203750	0.099	0.012991
0.205417	0.1	0.019665
0.207083	0.1	0.025695
0.208750	0.1	0.031902
0.210417	0.1	0.028351
0.212083	0.1	0.016636
0.213750	0.1	0.009450
0.215417	0.1	0.012163
0.217083	0.1	0.018254
0.218750	0.1	0.025077
0.220417	0.1	0.032331
0.222083	0.1	0.035252
0.223750	0.1	0.034664
0.225417	0.1	0.036427
0.227083	0.1	0.042253
0.228750	0.1	0.043211
0.230767	0.121	0.031160
0.232417	0.099	0.013114
0.234083	0.1	0.003734
0.235750	0.1	0.006056
0.237417	0.1	0.013272
0.239083	0.1	0.018665
0.240750	0.1	0.016050
0.242417	0.1	0.009298
0.244083	0.1	0.010488
0.245750	0.1	0.016870
0.247417	0.1	0.019344
0.249083	0.1	0.009532
0.250750	0.1	-0.011387
0.252417	0.1	-0.032354
0.254083	0.1	-0.040544
0.255750	0.1	-0.037423
0.257417	0.1	-0.032246
0.259083	0.1	-0.027222
0.260750	0.1	-0.021369
0.262417	0.1	-0.018848
0.264533	0.127	-0.014878
0.266217	0.101	-0.005914
0.267867	0.099	0.007400
0.269533	0.1	0.022506
0.271183	0.099	0.034559
0.272867	0.101	0.037834
0.274533	0.1	0.032582
0.276200	0.1	0.017712
0.277850	0.099	-0.004376
0.279533	0.101	-0.020009
0.281183	0.099	-0.021083
0.282867	0.101	-0.012105
0.284517	0.099	-0.003858
0.286183	0.1	-0.000588
0.287833	0.099	-0.004636
0.289517	0.101	-0.017333
0.291167	0.099	-0.029598
0.292850	0.101	-0.030591
0.294500	0.099	-0.020058
0.296517	0.121	-0.009127
0.298167	0.099	-0.008374
0.299833	0.1	-0.010156
0.301500	0.1	-0.000268
0.303167	0.1	0.020445
0.304833	0.1	0.037861
0.306500	0.1	0.044988
0.308167	0.1	0.043339
0.309850	0.101	0.037585
0.311500	0.099	0.031637
0.313167	0.1	0.017304
0.314833	0.1	-0.000537
0.316500	0.1	-0.006146
0.318183	0.101	0.003382
0.319833	0.099	0.020958
0.321500	0.1	0.035379
0.323167	0.1	0.040414
0.324833	0.1	0.037311
0.326500	0.1	0.033470
0.328167	0.1	0.028348
0.330167	0.12	0.015580
0.331833	0.1	0.002530
0.333500	0.1	-0.001537
0.335167	0.1	0.002713
0.336833	0.1	0.005086
0.338500	0.1	0.004370
0.340167	0.1	0.010266
0.341850	0.101	0.016461
0.343500	0.099	0.016029
0.345183	0.101	0.011242
0.346833	0.099	0.011081
0.348500	0.1	0.017423
0.350167	0.1	0.020801
0.351833	0.1	0.017990
0.353500	0.1	0.011842
0.355167	0.1	0.003988
0.356833	0.1	-0.001299
0.358517	0.101	-0.002058
0.360167	0.099	0.001334
0.361833	0.1	0.004449
