URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.22.26 absorption remainder.seq/673.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	4.22.26 absorption remainder
Name	AB intestine 9
Number	4
Position	RB4
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/23/2026 1:13:58 AM -04:00
Volume (µl)	2.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.501583
Data Points	63841
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.804778
Signal Max.	37.102890
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.13
Average Step (s)	0.10103532

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.043045
0.001650	0.099	-0.036098
0.003317	0.1	-0.011941
0.005017	0.102	0.017082
0.006650	0.098	0.034624
0.008317	0.1	0.039456
0.009983	0.1	0.036215
0.011650	0.1	0.029840
0.013317	0.1	0.022453
0.014983	0.1	0.009967
0.016650	0.1	-0.000935
0.018317	0.1	-0.007441
0.019983	0.1	-0.007076
0.021650	0.1	0.002732
0.023317	0.1	0.009445
0.024983	0.1	0.002199
0.026650	0.1	-0.023525
0.028317	0.1	-0.051737
0.029983	0.1	-0.064306
0.031983	0.12	-0.061525
0.033650	0.1	-0.057808
0.035317	0.1	-0.065852
0.037000	0.101	-0.077502
0.038683	0.101	-0.079131
0.040317	0.098	-0.076178
0.041983	0.1	-0.080006
0.043650	0.1	-0.087144
0.045317	0.1	-0.086440
0.047067	0.105	-0.070958
0.048650	0.095	-0.044186
0.050317	0.1	-0.018014
0.051983	0.1	-0.007993
0.053650	0.1	-0.012616
0.055317	0.1	-0.017503
0.056983	0.1	-0.015825
0.058650	0.1	-0.008883
0.060317	0.1	-0.000557
0.061983	0.1	0.002446
0.063650	0.1	-0.004792
0.065650	0.12	-0.016079
0.067317	0.1	-0.019776
0.069050	0.104	-0.021100
0.070650	0.096	-0.025614
0.072317	0.1	-0.021919
0.073983	0.1	-0.011379
0.075650	0.1	-0.007827
0.077317	0.1	-0.011888
0.078983	0.1	-0.012600
0.080650	0.1	-0.014793
0.082317	0.1	-0.019506
0.084017	0.102	-0.026262
0.085683	0.1	-0.036652
0.087350	0.1	-0.043503
0.089017	0.1	-0.041681
0.090683	0.1	-0.028802
0.092350	0.1	-0.016768
0.094017	0.1	-0.015054
0.095683	0.1	-0.016673
0.097350	0.1	-0.013775
0.099383	0.122	-0.009099
0.101033	0.099	-0.005642
0.102683	0.099	-0.002704
0.104350	0.1	-0.002118
0.106017	0.1	-0.010411
0.107683	0.1	-0.023199
0.109367	0.101	-0.031587
0.111017	0.099	-0.033049
0.112683	0.1	-0.031051
0.114350	0.1	-0.027796
0.116017	0.1	-0.023993
0.117683	0.1	-0.022271
0.119350	0.1	-0.026480
0.121017	0.1	-0.031857
0.122683	0.1	-0.031272
0.124350	0.1	-0.022171
0.126017	0.1	-0.012932
0.127683	0.1	-0.009782
0.129350	0.1	-0.007658
0.131017	0.1	-0.005801
0.133033	0.121	-0.013077
0.134667	0.098	-0.024858
0.136350	0.101	-0.023236
0.138017	0.1	-0.004194
0.139683	0.1	0.021771
0.141333	0.099	0.036383
0.143017	0.101	0.022667
0.144667	0.099	-0.006377
0.146350	0.101	-0.024077
0.148000	0.099	-0.022118
0.149683	0.101	-0.010624
0.151317	0.098	-0.003383
0.153000	0.101	-0.005445
0.154650	0.099	-0.012323
0.156333	0.101	-0.016399
0.157983	0.099	-0.016238
0.159667	0.101	-0.009972
0.161317	0.099	-0.003210
0.163000	0.101	-0.007557
0.164650	0.099	-0.019215
0.166650	0.12	-0.032122
0.168317	0.1	-0.044015
0.169983	0.1	-0.041503
0.171650	0.1	-0.017934
0.173317	0.1	0.008786
0.174983	0.1	0.014710
0.176650	0.1	0.004350
0.178333	0.101	-0.008087
0.179983	0.099	-0.011951
0.181650	0.1	-0.005316
0.183317	0.1	0.005160
0.184983	0.1	0.014685
0.186650	0.1	0.023790
0.188317	0.1	0.033743
0.189983	0.1	0.037165
0.191650	0.1	0.027512
0.193317	0.1	0.011002
0.194983	0.1	-0.001926
0.196650	0.1	-0.005606
0.198700	0.123	0.001496
0.200433	0.104	0.010181
0.202100	0.1	0.017641
0.203800	0.102	0.026698
0.205433	0.098	0.039273
0.207100	0.1	0.046876
0.208767	0.1	0.040597
0.210433	0.1	0.027141
0.212100	0.1	0.014022
0.213767	0.1	-0.001380
0.215433	0.1	-0.014342
0.217083	0.099	-0.015530
0.218750	0.1	-0.008836
0.220433	0.101	-0.007573
0.222083	0.099	-0.016525
