URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.22.26 absorption remainder  2.seq/664.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	4.22.26 absorption remainder  2
Name	Ab int 10
Number	2
Position	RA2
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/26/2026 7:14:56 PM -04:00
Volume (µl)	2.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.500250
Data Points	63842
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.630126
Signal Max.	29.647620
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10103249

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.022764
0.001667	0.1	0.008542
0.003333	0.1	-0.014810
0.005000	0.1	-0.030595
0.006667	0.1	-0.031765
0.008333	0.1	-0.025999
0.010000	0.1	-0.025267
0.011667	0.1	-0.030589
0.013333	0.1	-0.035430
0.015000	0.1	-0.035620
0.016650	0.099	-0.027547
0.018317	0.1	-0.014543
0.019983	0.1	-0.007980
0.021650	0.1	-0.011093
0.023317	0.1	-0.019616
0.024983	0.1	-0.030235
0.026650	0.1	-0.042719
0.028317	0.1	-0.052146
0.029983	0.1	-0.060311
0.031650	0.1	-0.070845
0.033633	0.119	-0.078494
0.035300	0.1	-0.083180
0.036967	0.1	-0.085210
0.038650	0.101	-0.081208
0.040300	0.099	-0.068341
0.041967	0.1	-0.054276
0.043633	0.1	-0.042099
0.045300	0.1	-0.034386
0.046967	0.1	-0.031989
0.048633	0.1	-0.037715
0.050300	0.1	-0.050377
0.051967	0.1	-0.064537
0.053650	0.101	-0.077471
0.055300	0.099	-0.085968
0.056967	0.1	-0.082793
0.058633	0.1	-0.072358
0.060300	0.1	-0.066376
0.061967	0.1	-0.068313
0.063633	0.1	-0.076342
0.065683	0.123	-0.083838
0.067417	0.104	-0.080749
0.069083	0.1	-0.064912
0.070750	0.1	-0.045896
0.072417	0.1	-0.030638
0.074083	0.1	-0.023962
0.075750	0.1	-0.028823
0.077417	0.1	-0.039234
0.079083	0.1	-0.049062
0.080750	0.1	-0.057827
0.082417	0.1	-0.054599
0.084083	0.1	-0.036762
0.085750	0.1	-0.019696
0.087417	0.1	-0.016999
0.089083	0.1	-0.030523
0.090750	0.1	-0.050252
0.092417	0.1	-0.059758
0.094083	0.1	-0.051528
0.095750	0.1	-0.033888
0.097417	0.1	-0.019063
0.099400	0.119	-0.011078
0.101083	0.101	-0.016723
0.102750	0.1	-0.029249
0.104417	0.1	-0.031417
0.106067	0.099	-0.021300
0.107750	0.101	-0.011962
0.109400	0.099	-0.009273
0.111083	0.101	-0.012651
0.112733	0.099	-0.017888
0.114417	0.101	-0.016429
0.116067	0.099	-0.010971
0.117750	0.101	-0.015648
0.119400	0.099	-0.032158
0.121083	0.101	-0.043662
0.122733	0.099	-0.046511
0.124417	0.101	-0.043989
0.126067	0.099	-0.040392
0.127750	0.101	-0.033067
0.129400	0.099	-0.020814
0.131083	0.101	-0.004377
0.133100	0.121	0.013001
0.134767	0.1	0.021309
0.136400	0.098	0.014887
0.138067	0.1	0.006054
0.139733	0.1	0.004159
0.141400	0.1	0.004771
0.143067	0.1	-0.000218
0.144733	0.1	-0.012520
0.146400	0.1	-0.023624
0.148067	0.1	-0.027045
0.149717	0.099	-0.021867
0.151383	0.1	-0.014026
0.153050	0.1	-0.010204
0.154717	0.1	-0.010896
0.156383	0.1	-0.016276
0.158050	0.1	-0.023285
0.159717	0.1	-0.028311
0.161383	0.1	-0.033950
0.163050	0.1	-0.040757
0.164717	0.1	-0.043545
0.166750	0.122	-0.038578
0.168417	0.1	-0.031636
0.170050	0.098	-0.031851
0.171717	0.1	-0.035485
0.173383	0.1	-0.032662
0.175050	0.1	-0.025796
0.176717	0.1	-0.014343
0.178383	0.1	0.002693
0.180050	0.1	0.019074
0.181717	0.1	0.027341
0.183383	0.1	0.024204
0.185050	0.1	0.007823
0.186717	0.1	-0.015915
0.188383	0.1	-0.036222
0.190050	0.1	-0.038215
0.191717	0.1	-0.024533
0.193383	0.1	-0.011623
0.195050	0.1	-0.004216
0.196717	0.1	0.000000
0.198383	0.1	-0.002378
0.200383	0.12	-0.008890
0.202050	0.1	-0.006582
0.203717	0.1	-0.000201
0.205383	0.1	0.000386
0.207050	0.1	0.002297
0.208717	0.1	0.005011
0.210383	0.1	0.003348
0.212050	0.1	0.001877
0.213717	0.1	0.006196
0.215383	0.1	0.011737
0.217050	0.1	0.012968
0.218717	0.1	0.009629
0.220383	0.1	0.000825
0.222050	0.1	-0.005561
0.223717	0.1	-0.003569
0.225383	0.1	0.002705
0.227050	0.1	0.004772
0.228717	0.1	0.000679
0.230383	0.1	-0.007651
0.232050	0.1	-0.011667
0.234050	0.12	-0.010373
0.235717	0.1	-0.007550
0.237383	0.1	0.000200
0.239050	0.1	0.006438
0.240717	0.1	0.011281
0.242383	0.1	0.021763
0.244050	0.1	0.032921
0.245717	0.1	0.027754
0.247383	0.1	0.002925
0.249050	0.1	-0.022257
0.250717	0.1	-0.026831
0.252383	0.1	-0.014858
0.254050	0.1	-0.002194
0.255717	0.1	0.007134
0.257383	0.1	0.012503
0.259050	0.1	0.013567
0.260717	0.1	0.017520
0.262383	0.1	0.024319
0.264050	0.1	0.024617
0.266100	0.123	0.015768
0.267717	0.097	0.003000
0.269383	0.1	-0.007666
0.271050	0.1	-0.014994
0.272717	0.1	-0.019617
0.274383	0.1	-0.020387
0.276050	0.1	-0.014676
0.277717	0.1	-0.006384
