URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.22.26 absorption remainder  2.seq/502.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	4.22.26 absorption remainder  2
Name	Asgr int 3
Number	7
Position	RA7
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/27/2026 4:19:44 AM -04:00
Volume (µl)	2.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.501483
Data Points	63842
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.522977
Signal Max.	33.100920
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10103365

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.003476
0.001667	0.1	0.022661
0.003333	0.1	0.039074
0.005000	0.1	0.040460
0.006667	0.1	0.031306
0.008333	0.1	0.013043
0.010000	0.1	-0.004908
0.011667	0.1	-0.012945
0.013333	0.1	-0.014151
0.015000	0.1	-0.011878
0.016667	0.1	-0.006513
0.018333	0.1	-0.000151
0.020000	0.1	0.005445
0.021667	0.1	0.014283
0.023350	0.101	0.024956
0.025000	0.099	0.032499
0.026667	0.1	0.026795
0.028317	0.099	0.003062
0.029983	0.1	-0.026632
0.032050	0.124	-0.047628
0.033733	0.101	-0.059208
0.035400	0.1	-0.063761
0.037133	0.104	-0.065397
0.038733	0.096	-0.062638
0.040400	0.1	-0.057722
0.042067	0.1	-0.054030
0.043733	0.1	-0.055639
0.045400	0.1	-0.059723
0.047067	0.1	-0.060839
0.048733	0.1	-0.055416
0.050400	0.1	-0.044001
0.052067	0.1	-0.031504
0.053733	0.1	-0.024362
0.055400	0.1	-0.023205
0.057067	0.1	-0.026003
0.058733	0.1	-0.033457
0.060433	0.102	-0.041393
0.062100	0.1	-0.042362
0.063767	0.1	-0.034223
0.065767	0.12	-0.022555
0.067433	0.1	-0.009856
0.069100	0.1	-0.003335
0.070783	0.101	-0.006105
0.072433	0.099	-0.010828
0.074100	0.1	-0.009649
0.075767	0.1	-0.004882
0.077433	0.1	0.003570
0.079133	0.102	0.012150
0.080767	0.098	0.012350
0.082433	0.1	0.004384
0.084100	0.1	-0.005212
0.085767	0.1	-0.009218
0.087433	0.1	-0.002877
0.089100	0.1	0.003129
0.090767	0.1	-0.003574
0.092433	0.1	-0.018508
0.094100	0.1	-0.024613
0.095767	0.1	-0.018415
0.097433	0.1	-0.007982
0.099450	0.121	-0.003666
0.101100	0.099	-0.011785
0.102817	0.103	-0.027209
0.104433	0.097	-0.031429
0.106117	0.101	-0.022298
0.107767	0.099	-0.011258
0.109450	0.101	-0.005451
0.111083	0.098	-0.005191
0.112767	0.101	-0.007110
0.114417	0.099	-0.012330
0.116100	0.101	-0.020166
0.117750	0.099	-0.023274
0.119433	0.101	-0.021623
0.121083	0.099	-0.022048
0.122767	0.101	-0.022283
0.124417	0.099	-0.021026
0.126100	0.101	-0.015861
0.127733	0.098	-0.006554
0.129417	0.101	0.002964
0.131067	0.099	0.010075
0.133067	0.12	0.015183
0.134767	0.102	0.014913
0.136400	0.098	0.005931
0.138067	0.1	-0.003992
0.139733	0.1	-0.003003
0.141400	0.1	0.003031
0.143067	0.1	0.001808
0.144733	0.1	-0.002921
0.146400	0.1	-0.000825
0.148067	0.1	0.005517
0.149733	0.1	0.010284
0.151400	0.1	0.011643
0.153067	0.1	0.009372
0.154733	0.1	0.005766
0.156400	0.1	-0.003457
0.158067	0.1	-0.019395
0.159733	0.1	-0.031697
0.161400	0.1	-0.030634
0.163067	0.1	-0.017682
0.164733	0.1	-0.002296
0.166733	0.12	0.003004
0.168400	0.1	-0.001419
0.170067	0.1	-0.003696
0.171733	0.1	-0.002905
0.173400	0.1	-0.005820
0.175067	0.1	-0.006754
0.176733	0.1	0.002508
0.178400	0.1	0.015765
0.180067	0.1	0.026068
0.181733	0.1	0.033348
0.183400	0.1	0.034914
0.185067	0.1	0.026118
0.186733	0.1	0.007722
0.188400	0.1	-0.007129
0.190067	0.1	-0.017692
0.191733	0.1	-0.030447
0.193400	0.1	-0.041815
0.195067	0.1	-0.040019
0.196733	0.1	-0.027295
0.198400	0.1	-0.012803
0.200400	0.12	0.002328
0.202067	0.1	0.011238
0.203733	0.1	0.011411
0.205400	0.1	0.011718
0.207067	0.1	0.015565
0.208733	0.1	0.016713
0.210400	0.1	0.012263
0.212067	0.1	0.002011
0.213733	0.1	-0.011212
0.215400	0.1	-0.016353
0.217067	0.1	-0.012218
0.218733	0.1	-0.006798
0.220400	0.1	-0.005740
0.222067	0.1	-0.008576
0.223733	0.1	-0.014586
0.225400	0.1	-0.015699
0.227067	0.1	-0.002129
0.228733	0.1	0.021139
0.230400	0.1	0.043633
0.232450	0.123	0.053415
0.234067	0.097	0.045374
0.235733	0.1	0.031551
0.237467	0.104	0.022567
0.239117	0.099	0.023957
0.240733	0.097	0.032850
0.242400	0.1	0.038672
0.244100	0.102	0.037741
0.245767	0.1	0.034103
0.247433	0.1	0.036577
0.249100	0.1	0.042747
0.250767	0.1	0.041539
0.252433	0.1	0.032434
0.254100	0.1	0.022345
0.255767	0.1	0.015540
0.257433	0.1	0.006315
0.259100	0.1	-0.000435
0.260767	0.1	-0.004514
0.262433	0.1	-0.007298
0.264100	0.1	-0.004135
0.266117	0.121	0.004672
0.267800	0.101	0.015425
0.269433	0.098	0.020504
0.271100	0.1	0.014248
0.272800	0.102	0.004149
0.274433	0.098	0.003587
0.276100	0.1	0.013659
0.277767	0.1	0.023929
0.279433	0.1	0.023114
0.281133	0.102	0.012463
0.282767	0.098	0.008269
0.284433	0.1	0.015537
0.286100	0.1	0.026026
0.287767	0.1	0.035632
0.289433	0.1	0.044291
0.291100	0.1	0.046436
0.292767	0.1	0.040179
