URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.6.26Finish rep 1 intestines wiht reruns.seq/433.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	4.6.26Finish rep 1 intestines wiht reruns
Name	asgr int 3
Number	3
Position	RA3
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/7/2026 8:26:02 PM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.501517
Data Points	63835
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.089125
Signal Max.	121.924800
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10104476

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.005875
0.001650	0.099	0.005955
0.003317	0.1	0.000007
0.004983	0.1	-0.010382
0.006650	0.1	-0.012909
0.008317	0.1	-0.005080
0.009983	0.1	0.007367
0.011650	0.1	0.018802
0.013333	0.101	0.021605
0.014983	0.099	0.019823
0.016650	0.1	0.018849
0.018317	0.1	0.016836
0.019983	0.1	0.017114
0.021650	0.1	0.014461
0.023317	0.1	0.007376
0.024983	0.1	-0.000325
0.026650	0.1	-0.013741
0.028317	0.1	-0.034815
0.029983	0.1	-0.056403
0.031650	0.1	-0.071223
0.033650	0.12	-0.078545
0.035317	0.1	-0.079874
0.036983	0.1	-0.073942
0.038650	0.1	-0.062543
0.040317	0.1	-0.053897
0.041983	0.1	-0.049832
0.043650	0.1	-0.044517
0.045317	0.1	-0.043082
0.046983	0.1	-0.040738
0.048650	0.1	-0.040907
0.050317	0.1	-0.044426
0.051983	0.1	-0.046770
0.053650	0.1	-0.039844
0.055317	0.1	-0.026544
0.056983	0.1	-0.018013
0.058650	0.1	-0.015363
0.060317	0.1	-0.015629
0.061983	0.1	-0.010987
0.063650	0.1	0.002888
0.065733	0.125	0.019284
0.067433	0.102	0.024149
0.069100	0.1	0.015122
0.070767	0.1	0.003606
0.072450	0.101	0.001601
0.074100	0.099	0.006157
0.075767	0.1	0.004245
0.077433	0.1	-0.003126
0.079100	0.1	-0.014415
0.080750	0.099	-0.030051
0.082417	0.1	-0.039084
0.084083	0.1	-0.030017
0.085750	0.1	-0.007499
0.087417	0.1	0.008934
0.089083	0.1	0.009297
0.090750	0.1	-0.000238
0.092417	0.1	-0.008323
0.094083	0.1	-0.011391
0.095750	0.1	-0.010488
0.097417	0.1	-0.007188
0.099483	0.124	-0.009738
0.101150	0.1	-0.023470
0.102817	0.1	-0.036963
0.104483	0.1	-0.035480
0.106150	0.1	-0.017772
0.107817	0.1	0.006305
0.109483	0.1	0.034281
0.111150	0.1	0.062768
0.112817	0.1	0.078868
0.114483	0.1	0.078390
0.116150	0.1	0.071889
0.117817	0.1	0.062346
0.119483	0.1	0.051324
0.121150	0.1	0.049238
0.122817	0.1	0.053920
0.124483	0.1	0.053088
0.126150	0.1	0.041095
0.127817	0.1	0.032943
0.129483	0.1	0.030360
0.131183	0.102	0.024072
0.133183	0.12	0.023169
0.134850	0.1	0.029051
0.136517	0.1	0.035787
0.138183	0.1	0.037801
0.139850	0.1	0.035415
0.141517	0.1	0.028189
0.143183	0.1	0.019797
0.144850	0.1	0.021778
0.146517	0.1	0.032535
0.148183	0.1	0.046415
0.149850	0.1	0.058960
0.151517	0.1	0.059522
0.153183	0.1	0.043092
0.154850	0.1	0.021040
0.156517	0.1	0.006861
0.158183	0.1	0.002025
0.159850	0.1	0.004709
0.161517	0.1	0.018183
0.163183	0.1	0.039030
0.164867	0.101	0.055833
0.166850	0.119	0.059130
0.168550	0.102	0.049433
0.170217	0.1	0.029482
0.171867	0.099	0.007379
0.173517	0.099	-0.005226
0.175183	0.1	-0.006165
0.176850	0.1	-0.000085
0.178517	0.1	0.005162
0.180167	0.099	0.006559
0.181833	0.1	0.007855
0.183500	0.1	0.013465
0.185167	0.1	0.017266
0.186833	0.1	0.016440
0.188500	0.1	0.019112
0.190167	0.1	0.022388
0.191850	0.101	0.013448
0.193500	0.099	-0.005006
0.195167	0.1	-0.019166
0.196817	0.099	-0.024400
0.198483	0.1	-0.020069
0.200483	0.12	-0.018620
0.202150	0.1	-0.022777
0.203833	0.101	-0.022055
0.205483	0.099	-0.019112
0.207150	0.1	-0.017295
0.208817	0.1	-0.014780
0.210483	0.1	-0.017739
0.212150	0.1	-0.026954
0.213817	0.1	-0.038032
0.215483	0.1	-0.039120
0.217150	0.1	-0.027353
0.218817	0.1	-0.020058
0.220483	0.1	-0.023014
0.222150	0.1	-0.031357
0.223817	0.1	-0.042114
0.225483	0.1	-0.053406
0.227150	0.1	-0.054912
0.228817	0.1	-0.044258
0.230483	0.1	-0.034499
0.232150	0.1	-0.027919
0.234283	0.128	-0.028793
0.235933	0.099	-0.032782
0.237600	0.1	-0.028408
0.239283	0.101	-0.019963
0.240933	0.099	-0.012951
0.242600	0.1	-0.002801
0.244267	0.1	0.010275
0.245933	0.1	0.017533
0.247600	0.1	0.015480
0.249267	0.1	0.010763
0.250933	0.1	0.006067
0.252600	0.1	-0.001076
0.254267	0.1	-0.009237
0.255933	0.1	-0.013012
0.257600	0.1	-0.008853
0.259283	0.101	0.001328
0.260933	0.099	0.003835
0.262600	0.1	-0.010478
0.264250	0.099	-0.025357
0.266283	0.122	-0.023424
0.267917	0.098	-0.004797
0.269583	0.1	0.015410
0.271283	0.102	0.028591
0.272933	0.099	0.036541
0.274583	0.099	0.035364
0.276250	0.1	0.026660
0.277917	0.1	0.020952
0.279583	0.1	0.019219
0.281233	0.099	0.016947
0.282900	0.1	0.008795
0.284567	0.1	-0.004305
0.286233	0.1	-0.004960
0.287900	0.1	0.009988
0.289567	0.1	0.023531
0.291233	0.1	0.024311
0.292900	0.1	0.014830
0.294567	0.1	0.000723
0.296233	0.1	-0.007670
0.297900	0.1	-0.002592
0.299900	0.12	0.009645
0.301567	0.1	0.013526
0.303233	0.1	0.007844
0.304917	0.101	0.001050
0.306567	0.099	-0.001784
0.308233	0.1	-0.002843
0.309900	0.1	0.003330
0.311567	0.1	0.013425
0.313233	0.1	0.012883
0.314900	0.1	0.004076
0.316567	0.1	-0.005572
0.318233	0.1	-0.005296
0.319900	0.1	0.005594
0.321567	0.1	0.024215
0.323233	0.1	0.044846
0.324900	0.1	0.055818
0.326567	0.1	0.046817
0.328233	0.1	0.026298
0.329900	0.1	0.011226
0.331567	0.1	0.008700
0.333600	0.122	0.011505
0.335267	0.1	0.010058
0.336900	0.098	0.008657
0.338567	0.1	0.012837
0.340233	0.1	0.012269
0.341900	0.1	0.007132
