URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.22.26 absorption remainder.seq/664.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	4.22.26 absorption remainder
Name	asgr int 6
Number	2
Position	RB2
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/22/2026 9:36:13 PM -04:00
Volume (µl)	2.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.501417
Data Points	63841
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.783288
Signal Max.	29.404770
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10103517

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.017257
0.001667	0.1	-0.029075
0.003333	0.1	-0.046821
0.005000	0.1	-0.051913
0.006667	0.1	-0.036810
0.008333	0.1	-0.014149
0.010000	0.1	0.005240
0.011667	0.1	0.022526
0.013333	0.1	0.026791
0.015000	0.1	0.012994
0.016667	0.1	-0.005615
0.018333	0.1	-0.018732
0.020000	0.1	-0.020095
0.021667	0.1	-0.006922
0.023333	0.1	0.013137
0.025000	0.1	0.022662
0.026667	0.1	0.007426
0.028333	0.1	-0.020200
0.030333	0.12	-0.043687
0.032000	0.1	-0.057652
0.033667	0.1	-0.057722
0.035383	0.103	-0.054867
0.037050	0.1	-0.051078
0.038700	0.099	-0.044656
0.040367	0.1	-0.037263
0.042033	0.1	-0.036385
0.043700	0.1	-0.050146
0.045367	0.1	-0.069595
0.047033	0.1	-0.089178
0.048700	0.1	-0.100735
0.050367	0.1	-0.089521
0.052033	0.1	-0.057098
0.053700	0.1	-0.020371
0.055367	0.1	0.007858
0.057033	0.1	0.020023
0.058700	0.1	0.015788
0.060367	0.1	-0.005824
0.062033	0.1	-0.038766
0.064050	0.121	-0.058176
0.065700	0.099	-0.051309
0.067400	0.102	-0.031760
0.069033	0.098	-0.016660
0.070700	0.1	-0.003791
0.072400	0.102	0.004381
0.074033	0.098	-0.001573
0.075700	0.1	-0.014356
0.077367	0.1	-0.023666
0.079033	0.1	-0.024896
0.080717	0.101	-0.025070
0.082367	0.099	-0.032651
0.084033	0.1	-0.042046
0.085700	0.1	-0.038134
0.087367	0.1	-0.016380
0.089033	0.1	0.013147
0.090700	0.1	0.032207
0.092367	0.1	0.032818
0.094033	0.1	0.019381
0.095700	0.1	0.006431
0.097700	0.12	-0.001458
0.099367	0.1	-0.006048
0.101033	0.1	-0.007350
0.102700	0.1	-0.011477
0.104367	0.1	-0.010875
0.106050	0.101	0.002664
0.107700	0.099	0.024507
0.109367	0.1	0.046002
0.111033	0.1	0.060399
0.112700	0.1	0.058434
0.114367	0.1	0.045103
0.116033	0.1	0.029247
0.117683	0.099	0.021327
0.119350	0.1	0.022363
0.121017	0.1	0.021089
0.122700	0.101	0.018988
0.124350	0.099	0.011872
0.126017	0.1	0.004027
0.127683	0.1	0.006755
0.129350	0.1	0.020550
0.131350	0.12	0.024963
0.133050	0.102	0.008936
0.134700	0.099	-0.018819
0.136367	0.1	-0.038475
0.138000	0.098	-0.047442
0.139683	0.101	-0.042483
0.141333	0.099	-0.023331
0.143017	0.101	-0.007489
0.144667	0.099	-0.005494
