URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.6.26Finish rep 1 intestines wiht reruns.seq/341.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	4.6.26Finish rep 1 intestines wiht reruns
Name	asgr int 7
Number	8
Position	RA8
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/8/2026 5:29:55 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.500867
Data Points	63836
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.323091
Signal Max.	78.358570
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.095
Max. Step (s)	0.129
Average Step (s)	0.10104256

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.010544
0.001667	0.1	-0.000043
0.003317	0.099	-0.016214
0.004983	0.1	-0.030812
0.006650	0.1	-0.037574
0.008317	0.1	-0.041223
0.009983	0.1	-0.049927
0.011650	0.1	-0.059127
0.013317	0.1	-0.057787
0.014983	0.1	-0.044215
0.016667	0.101	-0.025659
0.018317	0.099	-0.004914
0.019983	0.1	0.013770
0.021650	0.1	0.021074
0.023300	0.099	0.017349
0.024967	0.1	0.010187
0.026633	0.1	0.000512
0.028300	0.1	-0.009128
0.029967	0.1	-0.012421
0.031633	0.1	-0.014022
0.033700	0.124	-0.019173
0.035367	0.1	-0.023392
0.037033	0.1	-0.021001
0.038700	0.1	-0.015987
0.040367	0.1	-0.017555
0.042100	0.104	-0.027093
0.043700	0.096	-0.036338
0.045367	0.1	-0.040955
0.047033	0.1	-0.043439
0.048700	0.1	-0.045744
0.050433	0.104	-0.046052
0.052033	0.096	-0.045073
0.053700	0.1	-0.041774
0.055367	0.1	-0.035920
0.057067	0.102	-0.032993
0.058733	0.1	-0.033681
0.060400	0.1	-0.033341
0.062067	0.1	-0.031192
0.063733	0.1	-0.030922
0.065400	0.1	-0.033558
0.067400	0.12	-0.034960
0.069067	0.1	-0.033743
0.070767	0.102	-0.029432
0.072400	0.098	-0.016740
0.074067	0.1	0.003659
0.075750	0.101	0.019633
0.077400	0.099	0.018830
0.079067	0.1	0.009416
0.080733	0.1	0.002696
0.082400	0.1	0.003921
0.084067	0.1	0.009881
0.085733	0.1	0.008305
0.087400	0.1	-0.000279
0.089067	0.1	-0.006853
0.090733	0.1	-0.008765
0.092400	0.1	-0.004008
0.094067	0.1	0.005900
0.095733	0.1	0.016839
0.097400	0.1	0.024203
0.099067	0.1	0.023120
0.101067	0.12	0.018163
0.102733	0.1	0.015198
0.104400	0.1	0.014894
0.106067	0.1	0.019808
0.107717	0.099	0.029936
0.109400	0.101	0.039155
0.111050	0.099	0.043992
0.112717	0.1	0.048583
0.114383	0.1	0.054479
0.116050	0.1	0.053780
0.117750	0.102	0.049413
0.119383	0.098	0.053012
0.121050	0.1	0.066943
0.122717	0.1	0.082243
0.124367	0.099	0.086875
0.126033	0.1	0.077988
0.127700	0.1	0.068910
0.129367	0.1	0.063490
0.131033	0.1	0.061083
0.132700	0.1	0.066319
0.134717	0.121	0.074654
0.136367	0.099	0.079556
0.138033	0.1	0.081076
0.139700	0.1	0.077041
0.141367	0.1	0.067980
0.143033	0.1	0.054523
0.144700	0.1	0.043448
0.146367	0.1	0.035286
0.148033	0.1	0.026801
0.149700	0.1	0.016220
0.151367	0.1	0.007378
0.153033	0.1	0.008706
0.154700	0.1	0.017361
0.156367	0.1	0.021831
0.158033	0.1	0.020055
0.159700	0.1	0.010468
0.161367	0.1	-0.001665
0.163033	0.1	-0.009863
0.164700	0.1	-0.005178
0.166367	0.1	0.011450
0.168383	0.121	0.025781
0.170033	0.099	0.029651
0.171717	0.101	0.027018
0.173383	0.1	0.020141
0.175050	0.1	0.011145
0.176700	0.099	0.002023
0.178383	0.101	-0.007132
0.180033	0.099	-0.016027
0.181717	0.101	-0.023685
0.183367	0.099	-0.027739
0.185050	0.101	-0.031250
0.186700	0.099	-0.036468
0.188383	0.101	-0.039141
0.190033	0.099	-0.034582
0.191717	0.101	-0.027147
0.193367	0.099	-0.019839
0.195050	0.101	-0.015707
0.196717	0.1	-0.015683
0.198383	0.1	-0.022206
0.200033	0.099	-0.033575
0.202033	0.12	-0.043082
0.203700	0.1	-0.042733
0.205400	0.102	-0.031931
0.207033	0.098	-0.023216
0.208700	0.1	-0.023482
0.210367	0.1	-0.027831
0.212033	0.1	-0.026825
0.213700	0.1	-0.016754
0.215367	0.1	-0.006669
0.217033	0.1	-0.009385
0.218700	0.1	-0.022318
0.220367	0.1	-0.030071
0.222033	0.1	-0.029255
0.223700	0.1	-0.029307
0.225367	0.1	-0.035081
0.227033	0.1	-0.043239
0.228700	0.1	-0.047611
0.230367	0.1	-0.040381
0.232033	0.1	-0.023529
0.233700	0.1	-0.010564
0.235700	0.12	-0.006755
0.237433	0.104	-0.012142
0.239050	0.097	-0.026564
0.240767	0.103	-0.042827
0.242367	0.096	-0.055796
0.244033	0.1	-0.062008
0.245700	0.1	-0.057077
0.247367	0.1	-0.041994
0.249100	0.104	-0.028219
0.250700	0.096	-0.023078
0.252367	0.1	-0.020277
0.254033	0.1	-0.014484
0.255700	0.1	-0.005583
0.257400	0.102	0.003930
0.259067	0.1	0.006277
0.260733	0.1	0.004581
0.262400	0.1	0.006584
0.264067	0.1	0.006309
0.265733	0.1	0.002445
0.267750	0.121	0.001987
0.269400	0.099	0.005341
0.271067	0.1	0.007250
0.272733	0.1	0.003477
0.274400	0.1	-0.008656
0.276067	0.1	-0.024510
0.277733	0.1	-0.038212
0.279400	0.1	-0.044452
0.281067	0.1	-0.039170
0.282733	0.1	-0.024167
0.284433	0.102	-0.008115
0.286067	0.098	0.002321
0.287733	0.1	0.006736
0.289400	0.1	0.007852
0.291067	0.1	0.007781
0.292733	0.1	0.004171
0.294400	0.1	0.000510
0.296067	0.1	-0.002249
0.297733	0.1	-0.009222
0.299400	0.1	-0.017483
0.301400	0.12	-0.019821
0.303067	0.1	-0.015048
0.304733	0.1	-0.007185
0.306400	0.1	0.000183
0.308067	0.1	0.004455
0.309750	0.101	0.006068
0.311400	0.099	0.005303
0.313067	0.1	0.004037
0.314733	0.1	0.002007
0.316400	0.1	0.000885
0.318067	0.1	0.002184
0.319733	0.1	0.004541
0.321400	0.1	0.008478
0.323050	0.099	0.013030
0.324717	0.1	0.010073
0.326383	0.1	0.002033
0.328050	0.1	-0.001611
0.329717	0.1	-0.003767
0.331383	0.1	-0.016853
0.333050	0.1	-0.033136
0.335050	0.12	-0.041587
0.336733	0.101	-0.038219
0.338383	0.099	-0.021112
0.340033	0.099	0.004611
0.341700	0.1	0.027549
0.343417	0.103	0.039165
0.345117	0.102	0.040551
0.346783	0.1	0.033976
0.348450	0.1	0.022779
0.350117	0.1	0.012056
0.351783	0.1	0.006142
0.353450	0.1	0.008878
0.355117	0.1	0.015563
0.356817	0.102	0.014352
0.358483	0.1	0.010244
0.360150	0.1	0.011336
0.361817	0.1	0.015219
0.363483	0.1	0.014180
0.365150	0.1	0.009417
0.366817	0.1	0.000947
0.368817	0.12	-0.006958
0.370483	0.1	-0.008984
0.372150	0.1	-0.006537
0.373817	0.1	-0.000875
0.375483	0.1	-0.000216
0.377150	0.1	-0.002938
0.378817	0.1	-0.003448
0.380483	0.1	0.000090
0.382150	0.1	0.000485
0.383817	0.1	-0.004345
0.385483	0.1	-0.009451
0.387150	0.1	-0.013064
0.388817	0.1	-0.012931
0.390483	0.1	-0.007324
0.392150	0.1	0.001636
0.393817	0.1	0.008492
0.395483	0.1	0.008257
0.397150	0.1	0.000994
0.398817	0.1	-0.006477
0.400483	0.1	-0.009958
0.402483	0.12	-0.009683
0.404183	0.102	-0.004868
0.405833	0.099	0.005067
0.407467	0.098	0.006946
0.409133	0.1	-0.001335
0.410817	0.101	-0.003709
0.412467	0.099	0.000601
0.414133	0.1	0.002679
0.415800	0.1	0.002808
0.417467	0.1	0.008302
0.419133	0.1	0.015805
0.420800	0.1	0.022296
0.422467	0.1	0.027678
0.424117	0.099	0.028138
0.425783	0.1	0.019307
0.427450	0.1	0.011194
0.429117	0.1	0.009156
0.430783	0.1	0.009109
0.432450	0.1	0.005582
0.434467	0.121	0.001681
0.436117	0.099	0.005779
0.437783	0.1	0.012747
0.439450	0.1	0.021735
0.441117	0.1	0.031594
0.442783	0.1	0.038031
0.444450	0.1	0.037768
0.446117	0.1	0.030093
0.447783	0.1	0.013281
0.449450	0.1	-0.008617
0.451117	0.1	-0.016289
0.452783	0.1	-0.007268
0.454450	0.1	0.002809
0.456117	0.1	0.008130
0.457783	0.1	0.007436
0.459450	0.1	0.008017
0.461117	0.1	0.016592
0.462783	0.1	0.027085
0.464450	0.1	0.028129
0.466117	0.1	0.014837
0.468133	0.121	-0.002275
0.469783	0.099	-0.012571
0.471467	0.101	-0.014963
0.473117	0.099	-0.008769
0.474800	0.101	0.002822
