URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.22.26 absorption remainder.seq/502.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	4.22.26 absorption remainder
Name	asgr int 8
Number	7
Position	RB7
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/23/2026 6:40:43 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.501550
Data Points	63838
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.709721
Signal Max.	104.183100
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10104004

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.062318
0.001650	0.099	0.065593
0.003333	0.101	0.055658
0.004983	0.099	0.037301
0.006650	0.1	0.015541
0.008317	0.1	-0.001859
0.009983	0.1	-0.014428
0.011650	0.1	-0.021422
0.013317	0.1	-0.011319
0.014983	0.1	0.011230
0.016650	0.1	0.036662
0.018317	0.1	0.055870
0.019983	0.1	0.056287
0.021650	0.1	0.039457
0.023317	0.1	0.019625
0.024983	0.1	0.005977
0.026650	0.1	0.002460
0.028317	0.1	0.000179
0.029983	0.1	-0.006619
0.031983	0.12	-0.013305
0.033683	0.102	-0.018481
0.035350	0.1	-0.030170
0.037000	0.099	-0.048091
0.038650	0.099	-0.063605
0.040317	0.1	-0.069155
0.041983	0.1	-0.059024
0.043650	0.1	-0.040205
0.045333	0.101	-0.026147
0.046983	0.099	-0.019074
0.048650	0.1	-0.020178
0.050333	0.101	-0.021129
0.051983	0.099	-0.013355
0.053650	0.1	-0.001140
0.055317	0.1	0.005941
0.056983	0.1	0.007400
0.058650	0.1	0.010827
0.060317	0.1	0.013243
0.062000	0.101	0.010726
0.064000	0.12	0.011261
0.065650	0.099	0.015594
0.067317	0.1	0.016199
0.068983	0.1	0.014577
0.070667	0.101	0.020555
0.072317	0.099	0.032855
0.073983	0.1	0.036866
0.075650	0.1	0.021057
0.077317	0.1	-0.009095
0.078983	0.1	-0.036645
0.080650	0.1	-0.051196
0.082317	0.1	-0.048158
0.083983	0.1	-0.031516
0.085650	0.1	-0.012576
0.087317	0.1	-0.000358
0.088983	0.1	0.000300
0.090650	0.1	-0.014459
0.092317	0.1	-0.031824
0.093983	0.1	-0.034720
0.095650	0.1	-0.025624
0.097650	0.12	-0.015511
0.099317	0.1	-0.007933
0.101017	0.102	-0.006724
0.102700	0.101	-0.014418
0.104383	0.101	-0.023867
0.106050	0.1	-0.025262
0.107683	0.098	-0.018881
0.109350	0.1	-0.019652
0.111017	0.1	-0.025819
0.112683	0.1	-0.029848
0.114350	0.1	-0.035888
0.116017	0.1	-0.039998
0.117683	0.1	-0.036263
0.119350	0.1	-0.023999
0.121017	0.1	-0.009102
0.122683	0.1	-0.001843
0.124350	0.1	-0.007870
0.126017	0.1	-0.021678
0.127683	0.1	-0.031495
0.129350	0.1	-0.028981
0.131383	0.122	-0.011160
0.133017	0.098	0.018428
0.134683	0.1	0.040219
0.136350	0.1	0.043174
0.138017	0.1	0.036858
0.139683	0.1	0.030788
0.141350	0.1	0.026557
0.143017	0.1	0.020479
0.144683	0.1	0.005241
0.146350	0.1	-0.014016
0.148033	0.101	-0.026725
0.149683	0.099	-0.030088
0.151350	0.1	-0.020200
0.153017	0.1	-0.002603
0.154683	0.1	0.016164
0.156350	0.1	0.033970
0.158017	0.1	0.045635
0.159683	0.1	0.053958
0.161350	0.1	0.055179
0.163017	0.1	0.043479
0.165017	0.12	0.022511
0.166700	0.101	0.008290
0.168333	0.098	0.013083
0.170000	0.1	0.029391
0.171667	0.1	0.046532
0.173333	0.1	0.055952
0.175000	0.1	0.051500
0.176667	0.1	0.039799
0.178333	0.1	0.030989
0.180000	0.1	0.027481
0.181667	0.1	0.024659
0.183333	0.1	0.024105
0.184983	0.099	0.031712
0.186650	0.1	0.045157
0.188317	0.1	0.061055
0.189983	0.1	0.076117
0.191650	0.1	0.087000
0.193317	0.1	0.088453
0.194983	0.1	0.076958
0.196650	0.1	0.058202
0.198650	0.12	0.041524
0.200317	0.1	0.030421
0.202017	0.102	0.021075
0.203650	0.098	0.007078
0.205317	0.1	-0.007010
0.206983	0.1	-0.007614
0.208667	0.101	0.008429
0.210317	0.099	0.026486
0.211983	0.1	0.042205
0.213650	0.1	0.050388
0.215317	0.1	0.045443
0.216983	0.1	0.039638
0.218650	0.1	0.037953
0.220317	0.1	0.035877
0.221983	0.1	0.030806
0.223650	0.1	0.027614
0.225317	0.1	0.027625
0.226983	0.1	0.025591
0.228650	0.1	0.016665
0.230667	0.121	0.011076
0.232317	0.099	0.019639
0.233983	0.1	0.033312
0.235650	0.1	0.034501
0.237317	0.1	0.018462
0.238983	0.1	-0.004883
0.240650	0.1	-0.024773
0.242317	0.1	-0.029964
0.243983	0.1	-0.018339
0.245650	0.1	0.001296
0.247317	0.1	0.021926
0.248983	0.1	0.037040
0.250650	0.1	0.041930
0.252317	0.1	0.039886
0.253983	0.1	0.037832
0.255650	0.1	0.034803
0.257317	0.1	0.028270
0.258983	0.1	0.025202
0.260650	0.1	0.022413
0.262317	0.1	0.016919
0.264367	0.123	0.012089
0.265983	0.097	0.011027
0.267683	0.102	0.016194
0.269400	0.103	0.023095
0.271067	0.1	0.027265
0.272750	0.101	0.024644
0.274400	0.099	0.012578
0.276067	0.1	-0.001986
0.277733	0.1	-0.009327
0.279400	0.1	-0.000898
0.281067	0.1	0.023646
0.282733	0.1	0.049131
0.284400	0.1	0.062300
0.286067	0.1	0.059658
0.287733	0.1	0.046281
0.289400	0.1	0.031671
0.291067	0.1	0.016008
0.292733	0.1	-0.000074
0.294400	0.1	-0.005222
0.296067	0.1	0.002218
0.298067	0.12	0.012434
0.299733	0.1	0.017270
0.301400	0.1	0.021872
0.303067	0.1	0.021909
0.304733	0.1	0.013047
0.306400	0.1	0.004866
0.308067	0.1	0.000401
0.309733	0.1	-0.000804
0.311400	0.1	-0.002001
0.313067	0.1	-0.000879
0.314733	0.1	0.005257
0.316400	0.1	0.011938
0.318067	0.1	0.010397
0.319733	0.1	0.010874
0.321400	0.1	0.017874
0.323067	0.1	0.023304
0.324733	0.1	0.023625
0.326400	0.1	0.021807
0.328067	0.1	0.018846
0.329733	0.1	0.020727
0.331800	0.124	0.027702
0.333400	0.096	0.035661
0.335067	0.1	0.037063
0.336733	0.1	0.037880
0.338400	0.1	0.042090
0.340117	0.103	0.041710
0.341733	0.097	0.033892
0.343400	0.1	0.022825
0.345067	0.1	0.019173
0.346733	0.1	0.021314
0.348400	0.1	0.031710
0.350067	0.1	0.049822
0.351767	0.102	0.059302
0.353433	0.1	0.056678
0.355100	0.1	0.040133
0.356767	0.1	0.017096
0.358433	0.1	0.002929
0.360100	0.1	0.002545
0.361767	0.1	0.008190
0.363433	0.1	0.010297
0.365467	0.122	0.015756
0.367150	0.101	0.030109
0.368817	0.1	0.039536
0.370483	0.1	0.039317
0.372150	0.1	0.039743
0.373817	0.1	0.035665
0.375483	0.1	0.017051
0.377150	0.1	-0.004820
0.378817	0.1	-0.013699
0.380483	0.1	-0.006643
0.382150	0.1	0.006151
0.383817	0.1	0.016435
0.385483	0.1	0.027594
0.387150	0.1	0.044731
0.388817	0.1	0.060349
0.390483	0.1	0.066610
0.392150	0.1	0.063772
