URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.6.26Finish rep 1 intestines wiht reruns.seq/696.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	4.6.26Finish rep 1 intestines wiht reruns
Name	asgr1 int 1
Number	1
Position	RA1
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/7/2026 4:47:55 PM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.501500
Data Points	63836
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.114398
Signal Max.	183.908000
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.095
Max. Step (s)	0.129
Average Step (s)	0.10104316

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.050234
0.001667	0.1	-0.038818
0.003333	0.1	-0.035119
0.005000	0.1	-0.043426
0.006667	0.1	-0.058490
0.008333	0.1	-0.072981
0.010000	0.1	-0.075687
0.011667	0.1	-0.067052
0.013333	0.1	-0.048531
0.015000	0.1	-0.036663
0.016700	0.102	-0.038415
0.018367	0.1	-0.044746
0.020033	0.1	-0.046900
0.021700	0.1	-0.046109
0.023367	0.1	-0.046183
0.025033	0.1	-0.054693
0.026700	0.1	-0.067580
0.028367	0.1	-0.066927
0.030033	0.1	-0.058924
0.032067	0.122	-0.061364
0.033733	0.1	-0.068861
0.035383	0.099	-0.076690
0.037033	0.099	-0.092174
0.038717	0.101	-0.109086
0.040367	0.099	-0.114398
0.042050	0.101	-0.110249
0.043700	0.099	-0.104854
0.045383	0.101	-0.099956
0.047033	0.099	-0.093049
0.048717	0.101	-0.083848
0.050367	0.099	-0.069200
0.052050	0.101	-0.056082
0.053700	0.099	-0.052321
0.055383	0.101	-0.059200
0.057033	0.099	-0.065243
0.058717	0.101	-0.062063
0.060367	0.099	-0.057706
0.062050	0.101	-0.053892
0.063700	0.099	-0.049900
0.065717	0.121	-0.053000
0.067350	0.098	-0.054746
0.069017	0.1	-0.048273
0.070683	0.1	-0.045323
0.072367	0.101	-0.041843
0.074017	0.099	-0.033630
0.075683	0.1	-0.027560
0.077350	0.1	-0.022994
0.079017	0.1	-0.022027
0.080683	0.1	-0.028554
0.082350	0.1	-0.038051
0.084000	0.099	-0.041544
0.085667	0.1	-0.036326
0.087333	0.1	-0.025680
0.089000	0.1	-0.014104
0.090667	0.1	-0.010828
0.092333	0.1	-0.016657
0.094000	0.1	-0.024412
0.095667	0.1	-0.033821
0.097733	0.124	-0.040084
0.099450	0.103	-0.043816
0.101117	0.1	-0.046020
0.102783	0.1	-0.045321
0.104450	0.1	-0.040628
0.106117	0.1	-0.038602
0.107800	0.101	-0.045899
0.109450	0.099	-0.053369
0.111133	0.101	-0.056789
0.112783	0.099	-0.051981
0.114450	0.1	-0.042807
0.116117	0.1	-0.033665
0.117783	0.1	-0.024993
0.119450	0.1	-0.018144
0.121117	0.1	-0.010666
0.122783	0.1	-0.006847
