URL	chrom://farber-hplc/test001/McKenna/4.03.26 Monica DY_test.seq/636.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	4.03.26 Monica DY_test
Name	asgr1 int 4
Number	8
Position	RA8
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/3/2026 10:51:25 PM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.500083
Data Points	63835
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.077653
Signal Max.	148.693400
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.095
Max. Step (s)	0.129
Average Step (s)	0.10104341

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.022753
0.001667	0.1	-0.017367
0.003333	0.1	-0.013829
0.005000	0.1	-0.018521
0.006667	0.1	-0.024907
0.008333	0.1	-0.027797
0.010000	0.1	-0.022381
0.011667	0.1	-0.010914
0.013333	0.1	-0.005474
0.015000	0.1	-0.010037
0.016667	0.1	-0.019306
0.018333	0.1	-0.023936
0.020000	0.1	-0.022170
0.021667	0.1	-0.024086
0.023333	0.1	-0.033950
0.025000	0.1	-0.042946
0.026667	0.1	-0.046663
0.028333	0.1	-0.044120
0.030000	0.1	-0.039985
0.032000	0.12	-0.040924
0.033667	0.1	-0.044659
0.035333	0.1	-0.052360
0.037000	0.1	-0.064189
0.038667	0.1	-0.069761
0.040333	0.1	-0.067143
0.042000	0.1	-0.058850
0.043667	0.1	-0.050709
0.045333	0.1	-0.043011
0.047000	0.1	-0.035175
0.048667	0.1	-0.031524
0.050333	0.1	-0.036634
0.052000	0.1	-0.048761
0.053667	0.1	-0.063981
0.055367	0.102	-0.072574
0.057033	0.1	-0.069450
0.058700	0.1	-0.059467
0.060367	0.1	-0.055284
0.062033	0.1	-0.057264
0.064100	0.124	-0.057987
0.065783	0.101	-0.048381
0.067417	0.098	-0.027799
0.069083	0.1	-0.011264
0.070750	0.1	-0.007557
0.072417	0.1	-0.006116
0.074083	0.1	0.001261
0.075750	0.1	0.011821
0.077417	0.1	0.017129
