URL	chrom://farber-hplc/test001/McKenna/4.03.26 Monica DY_test.seq/770.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	4.03.26 Monica DY_test
Name	asgr1 int 5
Number	9
Position	RB1
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD_end
Type	Unknown
Status	Finished
Inject Time	4/4/2026 12:40:26 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.500700
Data Points	63834
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.136578
Signal Max.	84.014110
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10104557

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.003551
0.001667	0.1	0.005087
0.003400	0.104	0.003250
0.005000	0.096	0.001192
0.006667	0.1	0.001320
0.008333	0.1	0.004943
0.010000	0.1	0.011891
0.011700	0.102	0.021978
0.013367	0.1	0.029757
0.015033	0.1	0.028356
0.016700	0.1	0.018832
0.018367	0.1	0.007782
0.020033	0.1	-0.005207
0.021700	0.1	-0.019499
0.023367	0.1	-0.026709
0.025033	0.1	-0.025117
0.026700	0.1	-0.024719
0.028367	0.1	-0.029451
0.030367	0.12	-0.033913
0.032033	0.1	-0.041325
0.033700	0.1	-0.050217
0.035367	0.1	-0.054713
0.037033	0.1	-0.055704
0.038700	0.1	-0.056290
0.040367	0.1	-0.056314
0.042033	0.1	-0.054677
0.043700	0.1	-0.050809
0.045367	0.1	-0.045372
0.047033	0.1	-0.037130
0.048700	0.1	-0.023968
0.050367	0.1	-0.013133
0.052033	0.1	-0.016918
0.053700	0.1	-0.032598
0.055367	0.1	-0.049394
0.057033	0.1	-0.064065
0.058700	0.1	-0.074354
0.060367	0.1	-0.073888
0.062017	0.099	-0.057446
0.064017	0.12	-0.029399
0.065683	0.1	-0.006997
0.067350	0.1	-0.004712
0.069033	0.101	-0.015736
0.070683	0.099	-0.024521
0.072350	0.1	-0.024963
0.074017	0.1	-0.016766
0.075683	0.1	-0.007933
0.077350	0.1	-0.003369
0.079000	0.099	-0.001384
0.080667	0.1	-0.004792
0.082333	0.1	-0.012407
0.084000	0.1	-0.020566
0.085667	0.1	-0.028013
0.087333	0.1	-0.036289
0.089000	0.1	-0.041553
0.090667	0.1	-0.038335
