URL	chrom://farber-hplc/test001/McKenna/4.03.26 Monica DY_test.seq/729.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	4.03.26 Monica DY_test
Name	AB int 1
Number	4
Position	RA4
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/3/2026 3:35:20 PM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003167
Time Max. (min)	107.503167
Data Points	32251
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-270,821.000000
Signal Max.	2,908,789.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /520 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003167	n.a.	-762.000000
0.006500	0.2	-762.000000
0.009833	0.2	-762.000000
0.013167	0.2	-762.000000
0.016500	0.2	-762.000000
0.019833	0.2	-762.000000
0.023167	0.2	-762.000000
0.026500	0.2	-762.000000
0.029833	0.2	-762.000000
0.033167	0.2	-762.000000
0.036500	0.2	-108,600.000000
0.039833	0.2	-108,711.000000
0.043167	0.2	-108,838.000000
0.046500	0.2	-108,944.000000
0.049833	0.2	-109,011.000000
0.053167	0.2	-109,045.000000
0.056500	0.2	-109,058.000000
0.059833	0.2	-109,064.000000
0.063167	0.2	-109,070.000000
0.066500	0.2	-109,078.000000
0.069833	0.2	-109,097.000000
0.073167	0.2	-109,129.000000
0.076500	0.2	-109,176.000000
0.079833	0.2	-109,228.000000
0.083167	0.2	-109,282.000000
0.086500	0.2	-109,334.000000
0.089833	0.2	-109,389.000000
0.093167	0.2	-109,448.000000
0.096500	0.2	-109,515.000000
0.099833	0.2	-109,589.000000
0.103167	0.2	-109,665.000000
0.106500	0.2	-109,733.000000
0.109833	0.2	-109,777.000000
0.113167	0.2	-109,794.000000
0.116500	0.2	-109,793.000000
0.119833	0.2	-109,789.000000
0.123167	0.2	-109,792.000000
0.126500	0.2	-109,802.000000
0.129833	0.2	-109,819.000000
0.133167	0.2	-109,854.000000
0.136500	0.2	-109,916.000000
0.139833	0.2	-109,997.000000
0.143167	0.2	-110,083.000000
0.146500	0.2	-110,149.000000
0.149833	0.2	-110,184.000000
0.153167	0.2	-110,184.000000
0.156500	0.2	-110,141.000000
0.159833	0.2	-110,062.000000
0.163167	0.2	-109,976.000000
0.166500	0.2	-109,905.000000
0.169833	0.2	-109,855.000000
0.173167	0.2	-109,836.000000
0.176500	0.2	-109,845.000000
0.179833	0.2	-109,868.000000
0.183167	0.2	-109,893.000000
0.186500	0.2	-109,907.000000
0.189833	0.2	-109,895.000000
0.193167	0.2	-109,862.000000
0.196500	0.2	-109,816.000000
0.199833	0.2	-109,764.000000
0.203167	0.2	-109,717.000000
0.206500	0.2	-109,678.000000
0.209833	0.2	-109,639.000000
0.213167	0.2	-109,603.000000
0.216500	0.2	-109,573.000000
0.219833	0.2	-109,564.000000
0.223167	0.2	-109,580.000000
0.226500	0.2	-109,625.000000
0.229833	0.2	-109,696.000000
0.233167	0.2	-109,785.000000
0.236500	0.2	-109,876.000000
0.239833	0.2	-109,952.000000
0.243167	0.2	-110,000.000000
0.246500	0.2	-110,011.000000
0.249833	0.2	-109,983.000000
0.253167	0.2	-109,923.000000
0.256500	0.2	-109,846.000000
0.259833	0.2	-109,753.000000
0.263167	0.2	-109,634.000000
0.266500	0.2	-109,486.000000
0.269833	0.2	-109,326.000000
0.273167	0.2	-109,173.000000
0.276500	0.2	-109,036.000000
0.279833	0.2	-108,917.000000
0.283167	0.2	-108,829.000000
0.286500	0.2	-108,781.000000
0.289833	0.2	-108,767.000000
0.293167	0.2	-108,773.000000
0.296500	0.2	-108,778.000000
0.299833	0.2	-108,760.000000
0.303167	0.2	-108,716.000000
0.306500	0.2	-108,666.000000
0.309833	0.2	-108,625.000000
0.313167	0.2	-108,593.000000
0.316500	0.2	-108,575.000000
0.319833	0.2	-108,582.000000
0.323167	0.2	-108,620.000000
0.326500	0.2	-108,684.000000
0.329833	0.2	-108,745.000000
0.333167	0.2	-108,777.000000
0.336500	0.2	-108,765.000000
