URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.6.26Finish rep 1 intestines wiht reruns.seq/781.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	4.6.26Finish rep 1 intestines wiht reruns
Name	AB int 2
Number	2
Position	RA2
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/7/2026 6:37:01 PM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003417
Time Max. (min)	107.503417
Data Points	32251
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-1,189,682.000000
Signal Max.	31,734,079.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /520 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003417	n.a.	0.000000
0.006750	0.2	0.000000
0.010083	0.2	0.000000
0.013417	0.2	0.000000
0.016750	0.2	0.000000
0.020083	0.2	0.000000
0.023417	0.2	0.000000
0.026750	0.2	0.000000
0.030083	0.2	0.000000
0.033417	0.2	0.000000
0.036750	0.2	-26,648.000000
0.040083	0.2	-26,710.000000
0.043417	0.2	-26,792.000000
0.046750	0.2	-26,873.000000
0.050083	0.2	-26,941.000000
0.053417	0.2	-26,991.000000
0.056750	0.2	-27,024.000000
0.060083	0.2	-27,047.000000
0.063417	0.2	-27,064.000000
0.066750	0.2	-27,080.000000
0.070083	0.2	-27,097.000000
0.073417	0.2	-27,118.000000
0.076750	0.2	-27,140.000000
0.080083	0.2	-27,163.000000
0.083417	0.2	-27,189.000000
0.086750	0.2	-27,221.000000
0.090083	0.2	-27,258.000000
0.093417	0.2	-27,292.000000
0.096750	0.2	-27,322.000000
0.100083	0.2	-27,351.000000
0.103417	0.2	-27,380.000000
0.106750	0.2	-27,407.000000
0.110083	0.2	-27,431.000000
0.113417	0.2	-27,453.000000
0.116750	0.2	-27,470.000000
0.120083	0.2	-27,482.000000
0.123417	0.2	-27,491.000000
0.126750	0.2	-27,500.000000
0.130083	0.2	-27,507.000000
0.133417	0.2	-27,516.000000
0.136750	0.2	-27,524.000000
0.140083	0.2	-27,528.000000
0.143417	0.2	-27,527.000000
0.146750	0.2	-27,520.000000
0.150083	0.2	-27,508.000000
0.153417	0.2	-27,497.000000
0.156750	0.2	-27,492.000000
0.160083	0.2	-27,495.000000
0.163417	0.2	-27,506.000000
0.166750	0.2	-27,523.000000
0.170083	0.2	-27,547.000000
0.173417	0.2	-27,576.000000
0.176750	0.2	-27,609.000000
0.180083	0.2	-27,642.000000
0.183417	0.2	-27,668.000000
0.186750	0.2	-27,682.000000
0.190083	0.2	-27,685.000000
0.193417	0.2	-27,679.000000
0.196750	0.2	-27,668.000000
0.200083	0.2	-27,655.000000
0.203417	0.2	-27,644.000000
0.206750	0.2	-27,637.000000
0.210083	0.2	-27,638.000000
0.213417	0.2	-27,646.000000
0.216750	0.2	-27,660.000000
0.220083	0.2	-27,673.000000
0.223417	0.2	-27,677.000000
0.226750	0.2	-27,673.000000
0.230083	0.2	-27,662.000000
0.233417	0.2	-27,645.000000
0.236750	0.2	-27,624.000000
0.240083	0.2	-27,600.000000
0.243417	0.2	-27,574.000000
