URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.22.26 absorption remainder  2.seq/642.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	4.22.26 absorption remainder  2
Name	AB int 2
Number	8
Position	RA8
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/27/2026 6:08:26 AM -04:00
Volume (µl)	2.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003400
Time Max. (min)	107.503400
Data Points	32251
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-275,030.000000
Signal Max.	20,750,725.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /520 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003400	n.a.	3,429.000000
0.006733	0.2	3,429.000000
0.010067	0.2	3,429.000000
0.013400	0.2	3,429.000000
0.016733	0.2	3,429.000000
0.020067	0.2	3,429.000000
0.023400	0.2	3,429.000000
0.026733	0.2	3,429.000000
0.030067	0.2	3,429.000000
0.033400	0.2	3,429.000000
0.036733	0.2	-52,966.000000
0.040067	0.2	-53,031.000000
0.043400	0.2	-53,117.000000
0.046733	0.2	-53,207.000000
0.050067	0.2	-53,291.000000
0.053400	0.2	-53,366.000000
0.056733	0.2	-53,430.000000
0.060067	0.2	-53,477.000000
0.063400	0.2	-53,518.000000
0.066733	0.2	-53,561.000000
0.070067	0.2	-53,600.000000
0.073400	0.2	-53,633.000000
0.076733	0.2	-53,653.000000
0.080067	0.2	-53,648.000000
0.083400	0.2	-53,616.000000
0.086733	0.2	-53,555.000000
0.090067	0.2	-53,472.000000
0.093400	0.2	-53,386.000000
0.096733	0.2	-53,319.000000
0.100067	0.2	-53,279.000000
0.103400	0.2	-53,285.000000
0.106733	0.2	-53,336.000000
0.110067	0.2	-53,422.000000
0.113400	0.2	-53,528.000000
0.116733	0.2	-53,637.000000
0.120067	0.2	-53,731.000000
0.123400	0.2	-53,798.000000
0.126733	0.2	-53,835.000000
0.130067	0.2	-53,857.000000
0.133400	0.2	-53,887.000000
0.136733	0.2	-53,936.000000
0.140067	0.2	-54,007.000000
0.143400	0.2	-54,097.000000
0.146733	0.2	-54,196.000000
0.150067	0.2	-54,289.000000
0.153400	0.2	-54,370.000000
0.156733	0.2	-54,432.000000
0.160067	0.2	-54,470.000000
0.163400	0.2	-54,487.000000
0.166733	0.2	-54,477.000000
0.170067	0.2	-54,439.000000
0.173400	0.2	-54,378.000000
0.176733	0.2	-54,301.000000
0.180067	0.2	-54,214.000000
0.183400	0.2	-54,120.000000
0.186733	0.2	-54,026.000000
0.190067	0.2	-53,928.000000
0.193400	0.2	-53,831.000000
0.196733	0.2	-53,731.000000
0.200067	0.2	-53,627.000000
0.203400	0.2	-53,520.000000
0.206733	0.2	-53,429.000000
0.210067	0.2	-53,358.000000
0.213400	0.2	-53,307.000000
0.216733	0.2	-53,280.000000
0.220067	0.2	-53,278.000000
0.223400	0.2	-53,306.000000
0.226733	0.2	-53,368.000000
0.230067	0.2	-53,467.000000
0.233400	0.2	-53,585.000000
0.236733	0.2	-53,700.000000
0.240067	0.2	-53,795.000000
0.243400	0.2	-53,865.000000
0.246733	0.2	-53,907.000000
0.250067	0.2	-53,913.000000
0.253400	0.2	-53,875.000000
0.256733	0.2	-53,797.000000
0.260067	0.2	-53,693.000000
0.263400	0.2	-53,570.000000
0.266733	0.2	-53,432.000000
0.270067	0.2	-53,283.000000
0.273400	0.2	-53,139.000000
0.276733	0.2	-53,018.000000
0.280067	0.2	-52,931.000000
0.283400	0.2	-52,879.000000
0.286733	0.2	-52,860.000000
0.290067	0.2	-52,877.000000
0.293400	0.2	-52,940.000000
0.296733	0.2	-53,054.000000
0.300067	0.2	-53,211.000000
0.303400	0.2	-53,393.000000
0.306733	0.2	-53,581.000000
0.310067	0.2	-53,761.000000
0.313400	0.2	-53,924.000000
0.316733	0.2	-54,068.000000
0.320067	0.2	-54,181.000000
0.323400	0.2	-54,252.000000
0.326733	0.2	-54,279.000000
0.330067	0.2	-54,261.000000
0.333400	0.2	-54,201.000000
0.336733	0.2	-54,102.000000
0.340067	0.2	-53,973.000000
0.343400	0.2	-53,841.000000
0.346733	0.2	-53,731.000000
0.350067	0.2	-53,654.000000
0.353400	0.2	-53,606.000000
0.356733	0.2	-53,584.000000
0.360067	0.2	-53,579.000000
0.363400	0.2	-53,579.000000
0.366733	0.2	-53,574.000000
0.370067	0.2	-53,556.000000
0.373400	0.2	-53,524.000000
0.376733	0.2	-53,497.000000
0.380067	0.2	-53,490.000000
0.383400	0.2	-53,515.000000
0.386733	0.2	-53,572.000000
0.390067	0.2	-53,649.000000
0.393400	0.2	-53,735.000000
0.396733	0.2	-53,824.000000
0.400067	0.2	-53,902.000000
0.403400	0.2	-53,955.000000
0.406733	0.2	-53,966.000000
0.410067	0.2	-53,933.000000
0.413400	0.2	-53,867.000000
0.416733	0.2	-53,781.000000
0.420067	0.2	-53,684.000000
0.423400	0.2	-53,590.000000
0.426733	0.2	-53,512.000000
0.430067	0.2	-53,456.000000
0.433400	0.2	-53,418.000000
0.436733	0.2	-53,390.000000
0.440067	0.2	-53,355.000000
0.443400	0.2	-53,315.000000
0.446733	0.2	-53,274.000000
0.450067	0.2	-53,237.000000
0.453400	0.2	-53,192.000000
0.456733	0.2	-53,140.000000
0.460067	0.2	-53,091.000000
0.463400	0.2	-53,053.000000
0.466733	0.2	-53,030.000000
0.470067	0.2	-53,021.000000
0.473400	0.2	-53,024.000000
0.476733	0.2	-53,042.000000
0.480067	0.2	-53,075.000000
0.483400	0.2	-53,122.000000
0.486733	0.2	-53,170.000000
0.490067	0.2	-53,212.000000
0.493400	0.2	-53,253.000000
0.496733	0.2	-53,301.000000
0.500067	0.2	-53,363.000000
0.503400	0.2	-53,431.000000
0.506733	0.2	-53,506.000000
0.510067	0.2	-53,580.000000
0.513400	0.2	-53,640.000000
0.516733	0.2	-53,679.000000
0.520067	0.2	-53,702.000000
0.523400	0.2	-53,706.000000
0.526733	0.2	-53,685.000000
0.530067	0.2	-53,639.000000
0.533400	0.2	-53,566.000000
0.536733	0.2	-53,476.000000
0.540067	0.2	-53,388.000000
0.543400	0.2	-53,322.000000
0.546733	0.2	-53,290.000000
0.550067	0.2	-53,286.000000
0.553400	0.2	-53,300.000000
0.556733	0.2	-53,329.000000
0.560067	0.2	-53,370.000000
0.563400	0.2	-53,415.000000
0.566733	0.2	-53,474.000000
0.570067	0.2	-53,549.000000
0.573400	0.2	-53,628.000000
0.576733	0.2	-53,699.000000
0.580067	0.2	-53,753.000000
0.583400	0.2	-53,782.000000
0.586733	0.2	-53,781.000000
0.590067	0.2	-53,750.000000
0.593400	0.2	-53,689.000000
0.596733	0.2	-53,601.000000
0.600067	0.2	-53,496.000000
0.603400	0.2	-53,394.000000
0.606733	0.2	-53,299.000000
0.610067	0.2	-53,228.000000
0.613400	0.2	-53,196.000000
0.616733	0.2	-53,200.000000
0.620067	0.2	-53,220.000000
0.623400	0.2	-53,245.000000
0.626733	0.2	-53,272.000000
0.630067	0.2	-53,293.000000
0.633400	0.2	-53,286.000000
0.636733	0.2	-53,232.000000
0.640067	0.2	-53,126.000000
0.643400	0.2	-52,980.000000
0.646733	0.2	-52,798.000000
0.650067	0.2	-52,594.000000
0.653400	0.2	-52,374.000000
0.656733	0.2	-52,131.000000
0.660067	0.2	-51,835.000000
0.663400	0.2	-51,454.000000
0.666733	0.2	-50,974.000000
0.670067	0.2	-50,412.000000
0.673400	0.2	-49,798.000000
0.676733	0.2	-49,170.000000
0.680067	0.2	-48,568.000000
0.683400	0.2	-48,029.000000
0.686733	0.2	-47,581.000000
0.690067	0.2	-47,230.000000
0.693400	0.2	-46,958.000000
0.696733	0.2	-46,745.000000
0.700067	0.2	-46,575.000000
0.703400	0.2	-46,440.000000
0.706733	0.2	-46,338.000000
0.710067	0.2	-46,274.000000
0.713400	0.2	-46,251.000000
0.716733	0.2	-46,267.000000
0.720067	0.2	-46,312.000000
0.723400	0.2	-46,377.000000
0.726733	0.2	-46,463.000000
0.730067	0.2	-46,572.000000
0.733400	0.2	-46,703.000000
0.736733	0.2	-46,862.000000
0.740067	0.2	-47,065.000000
0.743400	0.2	-47,319.000000
0.746733	0.2	-47,603.000000
0.750067	0.2	-47,884.000000
0.753400	0.2	-48,134.000000
0.756733	0.2	-48,338.000000
0.760067	0.2	-48,484.000000
0.763400	0.2	-48,585.000000
0.766733	0.2	-48,654.000000
0.770067	0.2	-48,697.000000
0.773400	0.2	-48,728.000000
0.776733	0.2	-48,744.000000
0.780067	0.2	-48,742.000000
0.783400	0.2	-48,720.000000
0.786733	0.2	-48,696.000000
0.790067	0.2	-48,695.000000
0.793400	0.2	-48,727.000000
0.796733	0.2	-48,787.000000
0.800067	0.2	-48,871.000000
0.803400	0.2	-48,972.000000
0.806733	0.2	-49,080.000000
0.810067	0.2	-49,193.000000
0.813400	0.2	-49,307.000000
0.816733	0.2	-49,423.000000
0.820067	0.2	-49,542.000000
0.823400	0.2	-49,665.000000
0.826733	0.2	-49,788.000000
0.830067	0.2	-49,908.000000
0.833400	0.2	-50,028.000000
0.836733	0.2	-50,150.000000
0.840067	0.2	-50,282.000000
0.843400	0.2	-50,429.000000
