URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.6.26Finish rep 1 intestines wiht reruns.seq/837.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	4.6.26Finish rep 1 intestines wiht reruns
Name	AB int 3 (reinject)
Number	4
Position	RA4
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/7/2026 10:14:45 PM -04:00
Volume (µl)	2.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003400
Time Max. (min)	107.503400
Data Points	32251
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-111,485.000000
Signal Max.	1,756,142.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /520 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003400	n.a.	-762.000000
0.006733	0.2	-762.000000
0.010067	0.2	-762.000000
0.013400	0.2	-762.000000
0.016733	0.2	-762.000000
0.020067	0.2	-762.000000
0.023400	0.2	-762.000000
0.026733	0.2	-762.000000
0.030067	0.2	-762.000000
0.033400	0.2	-762.000000
0.036733	0.2	-37,207.000000
0.040067	0.2	-37,306.000000
0.043400	0.2	-37,438.000000
0.046733	0.2	-37,579.000000
0.050067	0.2	-37,716.000000
0.053400	0.2	-37,839.000000
0.056733	0.2	-37,946.000000
0.060067	0.2	-38,036.000000
0.063400	0.2	-38,113.000000
0.066733	0.2	-38,182.000000
0.070067	0.2	-38,245.000000
0.073400	0.2	-38,299.000000
0.076733	0.2	-38,342.000000
0.080067	0.2	-38,370.000000
0.083400	0.2	-38,386.000000
0.086733	0.2	-38,395.000000
0.090067	0.2	-38,402.000000
0.093400	0.2	-38,415.000000
0.096733	0.2	-38,432.000000
0.100067	0.2	-38,454.000000
0.103400	0.2	-38,481.000000
0.106733	0.2	-38,510.000000
0.110067	0.2	-38,536.000000
0.113400	0.2	-38,557.000000
