URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.6.26Finish rep 1 intestines wiht reruns.seq/347.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	4.6.26Finish rep 1 intestines wiht reruns
Name	AB int 5 (reinject)
Number	5
Position	RA5
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/8/2026 12:03:28 AM -04:00
Volume (µl)	2.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003417
Time Max. (min)	107.503417
Data Points	32251
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-295,395.000000
Signal Max.	7,365,062.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /520 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003417	n.a.	-3,048.000000
0.006750	0.2	-3,048.000000
0.010083	0.2	-3,048.000000
0.013417	0.2	-3,048.000000
0.016750	0.2	-3,048.000000
0.020083	0.2	-3,048.000000
0.023417	0.2	-3,048.000000
0.026750	0.2	-3,048.000000
0.030083	0.2	-3,048.000000
0.033417	0.2	-3,048.000000
0.036750	0.2	-37,652.000000
0.040083	0.2	-37,733.000000
0.043417	0.2	-37,841.000000
0.046750	0.2	-37,958.000000
0.050083	0.2	-38,077.000000
0.053417	0.2	-38,189.000000
0.056750	0.2	-38,290.000000
0.060083	0.2	-38,374.000000
0.063417	0.2	-38,440.000000
0.066750	0.2	-38,490.000000
0.070083	0.2	-38,527.000000
0.073417	0.2	-38,554.000000
0.076750	0.2	-38,570.000000
0.080083	0.2	-38,580.000000
0.083417	0.2	-38,585.000000
0.086750	0.2	-38,587.000000
0.090083	0.2	-38,588.000000
0.093417	0.2	-38,588.000000
0.096750	0.2	-38,590.000000
0.100083	0.2	-38,595.000000
0.103417	0.2	-38,603.000000
0.106750	0.2	-38,615.000000
0.110083	0.2	-38,631.000000
0.113417	0.2	-38,647.000000
0.116750	0.2	-38,655.000000
0.120083	0.2	-38,655.000000
0.123417	0.2	-38,648.000000
0.126750	0.2	-38,635.000000
0.130083	0.2	-38,619.000000
0.133417	0.2	-38,601.000000
0.136750	0.2	-38,581.000000
0.140083	0.2	-38,559.000000
0.143417	0.2	-38,542.000000
0.146750	0.2	-38,533.000000
0.150083	0.2	-38,529.000000
0.153417	0.2	-38,530.000000
0.156750	0.2	-38,536.000000
0.160083	0.2	-38,547.000000
0.163417	0.2	-38,567.000000
0.166750	0.2	-38,593.000000
0.170083	0.2	-38,623.000000
0.173417	0.2	-38,654.000000
0.176750	0.2	-38,685.000000
0.180083	0.2	-38,716.000000
0.183417	0.2	-38,748.000000
0.186750	0.2	-38,775.000000
0.190083	0.2	-38,797.000000
0.193417	0.2	-38,814.000000
0.196750	0.2	-38,823.000000
0.200083	0.2	-38,823.000000
0.203417	0.2	-38,821.000000
0.206750	0.2	-38,820.000000
0.210083	0.2	-38,822.000000
0.213417	0.2	-38,827.000000
0.216750	0.2	-38,831.000000
0.220083	0.2	-38,835.000000
0.223417	0.2	-38,837.000000
0.226750	0.2	-38,835.000000
0.230083	0.2	-38,826.000000
0.233417	0.2	-38,810.000000
0.236750	0.2	-38,786.000000
0.240083	0.2	-38,757.000000
0.243417	0.2	-38,725.000000
0.246750	0.2	-38,697.000000
0.250083	0.2	-38,675.000000
