URL	chrom://farber-hplc/test001/McKenna/4.03.26 Monica DY_test.seq/266.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	4.03.26 Monica DY_test
Name	AB int 5
Number	3
Position	RA3
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/3/2026 1:46:18 PM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003250
Time Max. (min)	107.503250
Data Points	32251
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-4,157,445.000000
Signal Max.	42,861,751.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /520 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003250	n.a.	762.000000
0.006583	0.2	762.000000
0.009917	0.2	762.000000
0.013250	0.2	762.000000
0.016583	0.2	762.000000
0.019917	0.2	762.000000
0.023250	0.2	762.000000
0.026583	0.2	762.000000
0.029917	0.2	762.000000
0.033250	0.2	762.000000
0.036583	0.2	-105,022.000000
0.039917	0.2	-105,106.000000
0.043250	0.2	-105,221.000000
0.046583	0.2	-105,350.000000
0.049917	0.2	-105,494.000000
0.053250	0.2	-105,659.000000
0.056583	0.2	-105,853.000000
0.059917	0.2	-106,062.000000
0.063250	0.2	-106,256.000000
0.066583	0.2	-106,418.000000
0.069917	0.2	-106,556.000000
0.073250	0.2	-106,667.000000
0.076583	0.2	-106,741.000000
0.079917	0.2	-106,777.000000
0.083250	0.2	-106,786.000000
0.086583	0.2	-106,776.000000
0.089917	0.2	-106,739.000000
0.093250	0.2	-106,676.000000
0.096583	0.2	-106,582.000000
0.099917	0.2	-106,465.000000
0.103250	0.2	-106,341.000000
0.106583	0.2	-106,233.000000
0.109917	0.2	-106,155.000000
0.113250	0.2	-106,105.000000
0.116583	0.2	-106,075.000000
0.119917	0.2	-106,057.000000
0.123250	0.2	-106,041.000000
0.126583	0.2	-106,023.000000
0.129917	0.2	-106,011.000000
0.133250	0.2	-106,016.000000
0.136583	0.2	-106,041.000000
0.139917	0.2	-106,085.000000
0.143250	0.2	-106,142.000000
0.146583	0.2	-106,206.000000
0.149917	0.2	-106,267.000000
0.153250	0.2	-106,320.000000
0.156583	0.2	-106,360.000000
0.159917	0.2	-106,393.000000
0.163250	0.2	-106,436.000000
0.166583	0.2	-106,488.000000
0.169917	0.2	-106,539.000000
0.173250	0.2	-106,577.000000
0.176583	0.2	-106,581.000000
0.179917	0.2	-106,547.000000
0.183250	0.2	-106,480.000000
0.186583	0.2	-106,386.000000
0.189917	0.2	-106,274.000000
0.193250	0.2	-106,166.000000
0.196583	0.2	-106,074.000000
0.199917	0.2	-106,003.000000
0.203250	0.2	-105,952.000000
0.206583	0.2	-105,920.000000
0.209917	0.2	-105,912.000000
0.213250	0.2	-105,941.000000
0.216583	0.2	-106,012.000000
0.219917	0.2	-106,112.000000
0.223250	0.2	-106,220.000000
0.226583	0.2	-106,309.000000
0.229917	0.2	-106,367.000000
0.233250	0.2	-106,397.000000
0.236583	0.2	-106,403.000000
0.239917	0.2	-106,390.000000
0.243250	0.2	-106,361.000000
0.246583	0.2	-106,312.000000
0.249917	0.2	-106,244.000000
0.253250	0.2	-106,161.000000
0.256583	0.2	-106,063.000000
0.259917	0.2	-105,943.000000
0.263250	0.2	-105,808.000000
0.266583	0.2	-105,674.000000
0.269917	0.2	-105,558.000000
0.273250	0.2	-105,473.000000
0.276583	0.2	-105,424.000000
0.279917	0.2	-105,413.000000
0.283250	0.2	-105,441.000000
0.286583	0.2	-105,497.000000
0.289917	0.2	-105,561.000000
0.293250	0.2	-105,628.000000
0.296583	0.2	-105,703.000000
0.299917	0.2	-105,791.000000
0.303250	0.2	-105,888.000000
0.306583	0.2	-105,984.000000
0.309917	0.2	-106,065.000000
0.313250	0.2	-106,121.000000
0.316583	0.2	-106,150.000000
0.319917	0.2	-106,152.000000
0.323250	0.2	-106,128.000000
0.326583	0.2	-106,079.000000
0.329917	0.2	-106,010.000000
0.333250	0.2	-105,923.000000
0.336583	0.2	-105,830.000000
0.339917	0.2	-105,749.000000
0.343250	0.2	-105,702.000000
0.346583	0.2	-105,698.000000
0.349917	0.2	-105,736.000000
0.353250	0.2	-105,803.000000
0.356583	0.2	-105,873.000000
0.359917	0.2	-105,924.000000
0.363250	0.2	-105,948.000000
0.366583	0.2	-105,940.000000
0.369917	0.2	-105,898.000000
0.373250	0.2	-105,826.000000
0.376583	0.2	-105,742.000000
0.379917	0.2	-105,668.000000
0.383250	0.2	-105,631.000000
0.386583	0.2	-105,646.000000
0.389917	0.2	-105,709.000000
0.393250	0.2	-105,809.000000
0.396583	0.2	-105,929.000000
0.399917	0.2	-106,041.000000
0.403250	0.2	-106,133.000000
0.406583	0.2	-106,200.000000
0.409917	0.2	-106,239.000000
0.413250	0.2	-106,252.000000
0.416583	0.2	-106,230.000000
0.419917	0.2	-106,168.000000
0.423250	0.2	-106,076.000000
0.426583	0.2	-105,970.000000
0.429917	0.2	-105,857.000000
0.433250	0.2	-105,746.000000
0.436583	0.2	-105,650.000000
0.439917	0.2	-105,582.000000
0.443250	0.2	-105,555.000000
0.446583	0.2	-105,573.000000
0.449917	0.2	-105,624.000000
0.453250	0.2	-105,698.000000
0.456583	0.2	-105,789.000000
0.459917	0.2	-105,894.000000
0.463250	0.2	-106,005.000000
0.466583	0.2	-106,099.000000
0.469917	0.2	-106,158.000000
0.473250	0.2	-106,178.000000
0.476583	0.2	-106,168.000000
0.479917	0.2	-106,146.000000
0.483250	0.2	-106,135.000000
0.486583	0.2	-106,144.000000
0.489917	0.2	-106,165.000000
0.493250	0.2	-106,197.000000
0.496583	0.2	-106,241.000000
0.499917	0.2	-106,296.000000
0.503250	0.2	-106,355.000000
0.506583	0.2	-106,409.000000
0.509917	0.2	-106,460.000000
0.513250	0.2	-106,508.000000
0.516583	0.2	-106,554.000000
0.519917	0.2	-106,599.000000
0.523250	0.2	-106,638.000000
0.526583	0.2	-106,667.000000
0.529917	0.2	-106,680.000000
0.533250	0.2	-106,670.000000
0.536583	0.2	-106,633.000000
0.539917	0.2	-106,573.000000
0.543250	0.2	-106,499.000000
0.546583	0.2	-106,421.000000
0.549917	0.2	-106,350.000000
0.553250	0.2	-106,293.000000
0.556583	0.2	-106,250.000000
0.559917	0.2	-106,208.000000
0.563250	0.2	-106,154.000000
0.566583	0.2	-106,084.000000
0.569917	0.2	-105,999.000000
0.573250	0.2	-105,903.000000
0.576583	0.2	-105,796.000000
0.579917	0.2	-105,686.000000
0.583250	0.2	-105,593.000000
0.586583	0.2	-105,539.000000
0.589917	0.2	-105,543.000000
0.593250	0.2	-105,597.000000
0.596583	0.2	-105,685.000000
0.599917	0.2	-105,779.000000
0.603250	0.2	-105,844.000000
0.606583	0.2	-105,852.000000
0.609917	0.2	-105,777.000000
0.613250	0.2	-105,593.000000
0.616583	0.2	-105,261.000000
0.619917	0.2	-104,734.000000
0.623250	0.2	-103,964.000000
0.626583	0.2	-102,912.000000
0.629917	0.2	-101,555.000000
0.633250	0.2	-99,900.000000
0.636583	0.2	-97,988.000000
0.639917	0.2	-95,899.000000
0.643250	0.2	-93,730.000000
0.646583	0.2	-91,587.000000
0.649917	0.2	-89,585.000000
0.653250	0.2	-87,827.000000
0.656583	0.2	-86,394.000000
0.659917	0.2	-85,329.000000
0.663250	0.2	-84,633.000000
0.666583	0.2	-84,264.000000
0.669917	0.2	-84,145.000000
0.673250	0.2	-84,188.000000
0.676583	0.2	-84,292.000000
0.679917	0.2	-84,367.000000
0.683250	0.2	-84,343.000000
0.686583	0.2	-84,183.000000
0.689917	0.2	-83,870.000000
0.693250	0.2	-83,387.000000
0.696583	0.2	-82,727.000000
0.699917	0.2	-81,875.000000
0.703250	0.2	-80,814.000000
0.706583	0.2	-79,516.000000
0.709917	0.2	-77,993.000000
0.713250	0.2	-76,277.000000
0.716583	0.2	-74,369.000000
0.719917	0.2	-72,207.000000
0.723250	0.2	-69,644.000000
0.726583	0.2	-66,488.000000
0.729917	0.2	-62,540.000000
0.733250	0.2	-57,651.000000
0.736583	0.2	-51,743.000000
0.739917	0.2	-44,843.000000
0.743250	0.2	-37,087.000000
0.746583	0.2	-28,687.000000
0.749917	0.2	-19,901.000000
0.753250	0.2	-11,004.000000
0.756583	0.2	-2,249.000000
0.759917	0.2	6,168.000000
0.763250	0.2	14,120.000000
0.766583	0.2	21,516.000000
0.769917	0.2	28,292.000000
0.773250	0.2	34,428.000000
0.776583	0.2	39,949.000000
0.779917	0.2	44,893.000000
0.783250	0.2	49,306.000000
0.786583	0.2	53,238.000000
0.789917	0.2	56,731.000000
0.793250	0.2	59,805.000000
0.796583	0.2	62,459.000000
0.799917	0.2	64,681.000000
0.803250	0.2	66,451.000000
0.806583	0.2	67,732.000000
0.809917	0.2	68,470.000000
0.813250	0.2	68,636.000000
0.816583	0.2	68,236.000000
0.819917	0.2	67,311.000000
0.823250	0.2	65,959.000000
0.826583	0.2	64,312.000000
0.829917	0.2	62,490.000000
0.833250	0.2	60,586.000000
0.836583	0.2	58,663.000000
0.839917	0.2	56,780.000000
0.843250	0.2	54,990.000000
0.846583	0.2	53,330.000000
0.849917	0.2	51,837.000000
0.853250	0.2	50,543.000000
0.856583	0.2	49,448.000000
0.859917	0.2	48,537.000000
0.863250	0.2	47,782.000000
0.866583	0.2	47,129.000000
0.869917	0.2	46,515.000000
0.873250	0.2	45,885.000000
0.876583	0.2	45,200.000000
0.879917	0.2	44,419.000000
0.883250	0.2	43,500.000000
0.886583	0.2	42,404.000000
0.889917	0.2	41,119.000000
0.893250	0.2	39,621.000000
0.896583	0.2	37,883.000000
0.899917	0.2	35,870.000000
0.903250	0.2	33,526.000000
0.906583	0.2	30,778.000000
0.909917	0.2	27,553.000000
0.913250	0.2	23,770.000000
0.916583	0.2	19,368.000000
0.919917	0.2	14,332.000000
0.923250	0.2	8,731.000000
0.926583	0.2	2,684.000000
0.929917	0.2	-3,659.000000
0.933250	0.2	-10,120.000000
0.936583	0.2	-16,528.000000
0.939917	0.2	-22,731.000000
0.943250	0.2	-28,612.000000
0.946583	0.2	-34,089.000000
0.949917	0.2	-39,117.000000
0.953250	0.2	-43,702.000000
0.956583	0.2	-47,881.000000
0.959917	0.2	-51,692.000000
0.963250	0.2	-55,160.000000
