URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/5.6.26 absorption rerurns.seq/781.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	5.6.26 absorption rerurns
Name	AB int 6 (reinject
Number	1
Position	RA1
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	5/6/2026 10:28:12 AM -04:00
Volume (µl)	1.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.500617
Data Points	63839
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.589551
Signal Max.	44.800250
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10103758

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.014021
0.001667	0.1	0.001193
0.003350	0.101	0.015673
0.005000	0.099	0.017449
0.006667	0.1	0.008614
0.008333	0.1	0.006206
0.010000	0.1	0.010442
0.011667	0.1	0.009793
0.013333	0.1	0.001633
0.015000	0.1	-0.008370
0.016667	0.1	-0.015339
0.018333	0.1	-0.020221
0.020000	0.1	-0.024332
0.021667	0.1	-0.024249
0.023333	0.1	-0.023073
0.025000	0.1	-0.032507
0.026667	0.1	-0.057805
0.028333	0.1	-0.090672
0.030000	0.1	-0.118275
0.032000	0.12	-0.133762
0.033667	0.1	-0.141208
0.035333	0.1	-0.141776
0.037000	0.1	-0.139532
0.038667	0.1	-0.142114
0.040333	0.1	-0.144339
0.042000	0.1	-0.136433
0.043667	0.1	-0.126723
0.045333	0.1	-0.121437
0.047017	0.101	-0.113812
0.048667	0.099	-0.107082
0.050333	0.1	-0.105815
0.052000	0.1	-0.106261
0.053667	0.1	-0.105314
0.055333	0.1	-0.100444
0.057000	0.1	-0.096997
0.058667	0.1	-0.093755
0.060333	0.1	-0.087463
0.062000	0.1	-0.083393
0.064133	0.128	-0.078638
0.065833	0.102	-0.068730
0.067500	0.1	-0.055299
0.069167	0.1	-0.040009
0.070867	0.102	-0.026987
0.072533	0.1	-0.021353
0.074200	0.1	-0.024514
0.075867	0.1	-0.034956
0.077533	0.1	-0.044953
0.079200	0.1	-0.046775
0.080867	0.1	-0.037123
0.082533	0.1	-0.025311
0.084200	0.1	-0.019702
0.085867	0.1	-0.017226
0.087533	0.1	-0.018245
0.089200	0.1	-0.023714
0.090867	0.1	-0.031958
0.092533	0.1	-0.039713
0.094200	0.1	-0.050905
0.095867	0.1	-0.065393
0.097883	0.121	-0.068765
0.099533	0.099	-0.055757
0.101200	0.1	-0.035190
0.102900	0.102	-0.017595
0.104567	0.1	-0.012810
0.106217	0.099	-0.021640
0.107867	0.099	-0.031916
0.109533	0.1	-0.038519
0.111200	0.1	-0.039592
0.112867	0.1	-0.030991
0.114550	0.101	-0.014466
0.116200	0.099	-0.003506
0.117867	0.1	-0.011027
0.119517	0.099	-0.027842
0.121183	0.1	-0.041490
0.122850	0.1	-0.042888
0.124517	0.1	-0.030990
0.126183	0.1	-0.016729
0.127850	0.1	-0.009600
0.129517	0.1	-0.012456
0.131517	0.12	-0.017309
0.133183	0.1	-0.019012
0.134883	0.102	-0.024276
0.136500	0.097	-0.029402
0.138167	0.1	-0.034314
0.139833	0.1	-0.042938
0.141500	0.1	-0.053282
0.143183	0.101	-0.059641
0.144833	0.099	-0.050734
0.146500	0.1	-0.030494
0.148167	0.1	-0.015406
0.149833	0.1	-0.011736
0.151500	0.1	-0.012226
0.153167	0.1	-0.008445
0.154833	0.1	-0.008432
0.156500	0.1	-0.011368
0.158167	0.1	-0.008175
0.159850	0.101	-0.004547
0.161500	0.099	-0.009287
0.163167	0.1	-0.026051
0.165167	0.12	-0.036983
0.166883	0.103	-0.034726
0.168633	0.105	-0.024397
0.170283	0.099	-0.011409
0.171950	0.1	0.001861
0.173617	0.1	0.017560
0.175283	0.1	0.029860
0.176950	0.1	0.029531
0.178617	0.1	0.021634
0.180283	0.1	0.019112
0.181950	0.1	0.024725
0.183617	0.1	0.029141
0.185283	0.1	0.031867
0.186950	0.1	0.037746
0.188617	0.1	0.042879
0.190283	0.1	0.035462
0.191950	0.1	0.017708
0.193617	0.1	-0.000860
0.195283	0.1	-0.018443
0.196950	0.1	-0.031726
0.198967	0.121	-0.034816
0.200617	0.099	-0.031637
0.202283	0.1	-0.026285
0.203933	0.099	-0.017105
0.205600	0.1	-0.011514
0.207267	0.1	-0.010347
0.208933	0.1	-0.007700
0.210600	0.1	-0.008070
0.212267	0.1	-0.011892
0.213933	0.1	-0.004952
0.215600	0.1	0.012163
0.217267	0.1	0.021748
0.218933	0.1	0.020297
0.220583	0.099	0.013352
0.222250	0.1	0.003562
0.223917	0.1	-0.006256
0.225583	0.1	-0.020484
0.227267	0.101	-0.027562
0.228917	0.099	-0.022511
0.230583	0.1	-0.015029
0.232633	0.123	-0.009963
0.234283	0.099	-0.013598
0.235933	0.099	-0.024839
0.237600	0.1	-0.035349
0.239267	0.1	-0.041147
0.240917	0.099	-0.038391
0.242600	0.101	-0.029423
0.244250	0.099	-0.028605
0.245917	0.1	-0.037920
0.247583	0.1	-0.054413
0.249267	0.101	-0.064544
0.250917	0.099	-0.056766
0.252583	0.1	-0.040400
0.254250	0.1	-0.024383
0.255933	0.101	-0.009683
0.257583	0.099	-0.002241
0.259250	0.1	-0.006386
0.260917	0.1	-0.018442
0.262600	0.101	-0.028051
0.264600	0.12	-0.029962
0.266250	0.099	-0.019192
0.267917	0.1	0.003232
0.269583	0.1	0.025467
0.271250	0.1	0.036266
0.272917	0.1	0.035326
0.274583	0.1	0.027498
0.276250	0.1	0.021964
0.277917	0.1	0.016159
0.279583	0.1	0.002863
0.281250	0.1	-0.009564
0.282917	0.1	-0.014430
0.284583	0.1	-0.012006
0.286250	0.1	-0.008531
0.287917	0.1	-0.006615
0.289583	0.1	-0.004885
0.291250	0.1	-0.004442
0.292917	0.1	-0.002403
0.294583	0.1	0.003547
0.296250	0.1	0.005148
0.298267	0.121	0.001785
0.299917	0.099	-0.001166
0.301583	0.1	-0.004305
0.303300	0.103	-0.005051
0.304917	0.097	0.000201
0.306650	0.104	0.013328
0.308250	0.096	0.025917
0.309917	0.1	0.031864
0.311583	0.1	0.037315
0.313250	0.1	0.038185
0.314917	0.1	0.029430
0.316583	0.1	0.013707
0.318250	0.1	-0.001994
0.319950	0.102	-0.014716
0.321617	0.1	-0.021345
0.323283	0.1	-0.020538
0.324950	0.1	-0.019935
0.326617	0.1	-0.019095
0.328283	0.1	-0.022198
0.329950	0.1	-0.033444
0.331983	0.122	-0.045832
0.333633	0.099	-0.040540
0.335283	0.099	-0.025853
0.336950	0.1	-0.012531
0.338617	0.1	0.001348
0.340283	0.1	0.013613
0.341950	0.1	0.018326
0.343617	0.1	0.012387
0.345283	0.1	0.004004
