URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.22.26 absorption remainder  2.seq/781.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	4.22.26 absorption remainder  2
Name	AB int 6
Number	1
Position	RA1
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/26/2026 5:26:12 PM -04:00
Volume (µl)	2.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.006717
Time Max. (min)	107.503383
Data Points	32250
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-791,758.000000
Signal Max.	20,592,646.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /520 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.006717	n.a.	3,048.000000
0.010050	0.2	3,048.000000
0.013383	0.2	3,048.000000
0.016717	0.2	3,048.000000
0.020050	0.2	3,048.000000
0.023383	0.2	3,048.000000
0.026717	0.2	3,048.000000
0.030050	0.2	3,048.000000
0.033383	0.2	3,048.000000
0.036717	0.2	-63,612.000000
0.040050	0.2	-63,710.000000
0.043383	0.2	-63,822.000000
0.046717	0.2	-63,914.000000
0.050050	0.2	-63,970.000000
0.053383	0.2	-63,990.000000
0.056717	0.2	-63,971.000000
0.060050	0.2	-63,912.000000
0.063383	0.2	-63,818.000000
0.066717	0.2	-63,700.000000
0.070050	0.2	-63,583.000000
0.073383	0.2	-63,501.000000
0.076717	0.2	-63,468.000000
0.080050	0.2	-63,476.000000
0.083383	0.2	-63,519.000000
0.086717	0.2	-63,585.000000
0.090050	0.2	-63,660.000000
0.093383	0.2	-63,729.000000
0.096717	0.2	-63,776.000000
0.100050	0.2	-63,800.000000
0.103383	0.2	-63,801.000000
0.106717	0.2	-63,779.000000
0.110050	0.2	-63,740.000000
0.113383	0.2	-63,692.000000
0.116717	0.2	-63,644.000000
0.120050	0.2	-63,600.000000
0.123383	0.2	-63,560.000000
0.126717	0.2	-63,521.000000
0.130050	0.2	-63,486.000000
0.133383	0.2	-63,465.000000
0.136717	0.2	-63,463.000000
0.140050	0.2	-63,473.000000
0.143383	0.2	-63,487.000000
0.146717	0.2	-63,505.000000
0.150050	0.2	-63,518.000000
0.153383	0.2	-63,519.000000
0.156717	0.2	-63,507.000000
0.160050	0.2	-63,494.000000
0.163383	0.2	-63,485.000000
0.166717	0.2	-63,489.000000
0.170050	0.2	-63,514.000000
0.173383	0.2	-63,561.000000
0.176717	0.2	-63,617.000000
0.180050	0.2	-63,657.000000
0.183383	0.2	-63,663.000000
0.186717	0.2	-63,629.000000
0.190050	0.2	-63,564.000000
0.193383	0.2	-63,490.000000
0.196717	0.2	-63,426.000000
0.200050	0.2	-63,370.000000
0.203383	0.2	-63,312.000000
0.206717	0.2	-63,254.000000
0.210050	0.2	-63,209.000000
0.213383	0.2	-63,187.000000
0.216717	0.2	-63,191.000000
0.220050	0.2	-63,218.000000
0.223383	0.2	-63,260.000000
0.226717	0.2	-63,304.000000
0.230050	0.2	-63,348.000000
0.233383	0.2	-63,395.000000
0.236717	0.2	-63,445.000000
0.240050	0.2	-63,499.000000
0.243383	0.2	-63,570.000000
0.246717	0.2	-63,660.000000
0.250050	0.2	-63,765.000000
0.253383	0.2	-63,877.000000
0.256717	0.2	-63,982.000000
0.260050	0.2	-64,076.000000
0.263383	0.2	-64,168.000000
0.266717	0.2	-64,261.000000
0.270050	0.2	-64,353.000000
0.273383	0.2	-64,443.000000
0.276717	0.2	-64,524.000000
0.280050	0.2	-64,578.000000
0.283383	0.2	-64,596.000000
0.286717	0.2	-64,584.000000
0.290050	0.2	-64,550.000000
0.293383	0.2	-64,494.000000
0.296717	0.2	-64,418.000000
0.300050	0.2	-64,331.000000
0.303383	0.2	-64,239.000000
0.306717	0.2	-64,150.000000
0.310050	0.2	-64,077.000000
0.313383	0.2	-64,019.000000
0.316717	0.2	-63,968.000000
0.320050	0.2	-63,910.000000
0.323383	0.2	-63,831.000000
0.326717	0.2	-63,732.000000
0.330050	0.2	-63,630.000000
0.333383	0.2	-63,548.000000
0.336717	0.2	-63,486.000000
0.340050	0.2	-63,425.000000
0.343383	0.2	-63,355.000000
0.346717	0.2	-63,278.000000
0.350050	0.2	-63,194.000000
0.353383	0.2	-63,113.000000
0.356717	0.2	-63,056.000000
0.360050	0.2	-63,041.000000
0.363383	0.2	-63,074.000000
0.366717	0.2	-63,142.000000
0.370050	0.2	-63,222.000000
0.373383	0.2	-63,298.000000
0.376717	0.2	-63,367.000000
0.380050	0.2	-63,425.000000
0.383383	0.2	-63,472.000000
0.386717	0.2	-63,508.000000
0.390050	0.2	-63,531.000000
0.393383	0.2	-63,543.000000
0.396717	0.2	-63,546.000000
0.400050	0.2	-63,543.000000
0.403383	0.2	-63,534.000000
0.406717	0.2	-63,517.000000
0.410050	0.2	-63,495.000000
0.413383	0.2	-63,469.000000
0.416717	0.2	-63,445.000000
0.420050	0.2	-63,436.000000
0.423383	0.2	-63,436.000000
0.426717	0.2	-63,441.000000
0.430050	0.2	-63,449.000000
0.433383	0.2	-63,453.000000
0.436717	0.2	-63,457.000000
0.440050	0.2	-63,467.000000
0.443383	0.2	-63,486.000000
0.446717	0.2	-63,515.000000
0.450050	0.2	-63,551.000000
0.453383	0.2	-63,585.000000
0.456717	0.2	-63,601.000000
0.460050	0.2	-63,591.000000
0.463383	0.2	-63,563.000000
0.466717	0.2	-63,527.000000
0.470050	0.2	-63,492.000000
0.473383	0.2	-63,457.000000
0.476717	0.2	-63,424.000000
0.480050	0.2	-63,395.000000
0.483383	0.2	-63,374.000000
0.486717	0.2	-63,358.000000
0.490050	0.2	-63,346.000000
0.493383	0.2	-63,340.000000
0.496717	0.2	-63,334.000000
0.500050	0.2	-63,322.000000
0.503383	0.2	-63,298.000000
0.506717	0.2	-63,271.000000
0.510050	0.2	-63,245.000000
0.513383	0.2	-63,219.000000
0.516717	0.2	-63,198.000000
0.520050	0.2	-63,184.000000
0.523383	0.2	-63,183.000000
0.526717	0.2	-63,202.000000
0.530050	0.2	-63,240.000000
0.533383	0.2	-63,284.000000
0.536717	0.2	-63,321.000000
0.540050	0.2	-63,334.000000
0.543383	0.2	-63,322.000000
0.546717	0.2	-63,299.000000
0.550050	0.2	-63,276.000000
0.553383	0.2	-63,258.000000
0.556717	0.2	-63,245.000000
0.560050	0.2	-63,237.000000
0.563383	0.2	-63,231.000000
0.566717	0.2	-63,231.000000
0.570050	0.2	-63,246.000000
0.573383	0.2	-63,276.000000
0.576717	0.2	-63,322.000000
0.580050	0.2	-63,393.000000
0.583383	0.2	-63,480.000000
0.586717	0.2	-63,566.000000
0.590050	0.2	-63,633.000000
0.593383	0.2	-63,673.000000
0.596717	0.2	-63,678.000000
0.600050	0.2	-63,646.000000
0.603383	0.2	-63,592.000000
0.606717	0.2	-63,527.000000
0.610050	0.2	-63,455.000000
