URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.22.26 absorption remainder.seq/642.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	4.22.26 absorption remainder
Name	AB int 7
Number	8
Position	RB8
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/23/2026 8:29:26 AM -04:00
Volume (µl)	2.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003317
Time Max. (min)	107.503317
Data Points	32251
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-179,140.000000
Signal Max.	11,667,383.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /520 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003317	n.a.	-3,810.000000
0.006650	0.2	-3,810.000000
0.009983	0.2	-3,810.000000
0.013317	0.2	-3,810.000000
0.016650	0.2	-3,810.000000
0.019983	0.2	-3,810.000000
0.023317	0.2	-3,810.000000
0.026650	0.2	-3,810.000000
0.029983	0.2	-3,810.000000
0.033317	0.2	-3,810.000000
0.036650	0.2	-58,851.000000
0.039983	0.2	-58,852.000000
0.043317	0.2	-58,865.000000
0.046650	0.2	-58,885.000000
0.049983	0.2	-58,911.000000
0.053317	0.2	-58,940.000000
0.056650	0.2	-58,972.000000
0.059983	0.2	-59,007.000000
0.063317	0.2	-59,050.000000
0.066650	0.2	-59,111.000000
0.069983	0.2	-59,194.000000
0.073317	0.2	-59,293.000000
0.076650	0.2	-59,383.000000
0.079983	0.2	-59,448.000000
0.083317	0.2	-59,481.000000
0.086650	0.2	-59,480.000000
0.089983	0.2	-59,458.000000
0.093317	0.2	-59,431.000000
0.096650	0.2	-59,395.000000
0.099983	0.2	-59,343.000000
0.103317	0.2	-59,265.000000
0.106650	0.2	-59,158.000000
0.109983	0.2	-59,041.000000
0.113317	0.2	-58,933.000000
0.116650	0.2	-58,852.000000
0.119983	0.2	-58,809.000000
0.123317	0.2	-58,795.000000
0.126650	0.2	-58,802.000000
0.129983	0.2	-58,820.000000
0.133317	0.2	-58,843.000000
0.136650	0.2	-58,873.000000
0.139983	0.2	-58,917.000000
0.143317	0.2	-58,972.000000
0.146650	0.2	-59,018.000000
0.149983	0.2	-59,035.000000
0.153317	0.2	-59,023.000000
0.156650	0.2	-58,978.000000
0.159983	0.2	-58,902.000000
0.163317	0.2	-58,813.000000
0.166650	0.2	-58,733.000000
0.169983	0.2	-58,665.000000
0.173317	0.2	-58,598.000000
0.176650	0.2	-58,521.000000
0.179983	0.2	-58,440.000000
0.183317	0.2	-58,374.000000
0.186650	0.2	-58,345.000000
0.189983	0.2	-58,353.000000
0.193317	0.2	-58,394.000000
0.196650	0.2	-58,455.000000
0.199983	0.2	-58,528.000000
0.203317	0.2	-58,600.000000
0.206650	0.2	-58,669.000000
0.209983	0.2	-58,734.000000
0.213317	0.2	-58,795.000000
0.216650	0.2	-58,849.000000
0.219983	0.2	-58,896.000000
0.223317	0.2	-58,943.000000
0.226650	0.2	-58,997.000000
0.229983	0.2	-59,050.000000
0.233317	0.2	-59,096.000000
0.236650	0.2	-59,141.000000
0.239983	0.2	-59,183.000000
0.243317	0.2	-59,216.000000
0.246650	0.2	-59,237.000000
0.249983	0.2	-59,250.000000
0.253317	0.2	-59,260.000000
0.256650	0.2	-59,273.000000
0.259983	0.2	-59,293.000000
0.263317	0.2	-59,313.000000
0.266650	0.2	-59,330.000000
0.269983	0.2	-59,353.000000
0.273317	0.2	-59,388.000000
0.276650	0.2	-59,430.000000
0.279983	0.2	-59,466.000000
0.283317	0.2	-59,490.000000
0.286650	0.2	-59,512.000000
0.289983	0.2	-59,531.000000
0.293317	0.2	-59,537.000000
0.296650	0.2	-59,512.000000
0.299983	0.2	-59,446.000000
0.303317	0.2	-59,342.000000
0.306650	0.2	-59,213.000000
0.309983	0.2	-59,078.000000
0.313317	0.2	-58,944.000000
0.316650	0.2	-58,826.000000
0.319983	0.2	-58,733.000000
0.323317	0.2	-58,669.000000
0.326650	0.2	-58,629.000000
0.329983	0.2	-58,614.000000
0.333317	0.2	-58,630.000000
0.336650	0.2	-58,671.000000
0.339983	0.2	-58,724.000000
0.343317	0.2	-58,774.000000
0.346650	0.2	-58,804.000000
0.349983	0.2	-58,800.000000
0.353317	0.2	-58,771.000000
0.356650	0.2	-58,741.000000
0.359983	0.2	-58,726.000000
0.363317	0.2	-58,738.000000
0.366650	0.2	-58,787.000000
0.369983	0.2	-58,859.000000
0.373317	0.2	-58,931.000000
0.376650	0.2	-58,987.000000
0.379983	0.2	-59,019.000000
0.383317	0.2	-59,034.000000
0.386650	0.2	-59,041.000000
0.389983	0.2	-59,049.000000
0.393317	0.2	-59,056.000000
0.396650	0.2	-59,055.000000
0.399983	0.2	-59,042.000000
0.403317	0.2	-59,026.000000
0.406650	0.2	-59,020.000000
0.409983	0.2	-59,027.000000
0.413317	0.2	-59,051.000000
0.416650	0.2	-59,083.000000
0.419983	0.2	-59,112.000000
0.423317	0.2	-59,140.000000
0.426650	0.2	-59,172.000000
0.429983	0.2	-59,199.000000
0.433317	0.2	-59,199.000000
0.436650	0.2	-59,162.000000
0.439983	0.2	-59,086.000000
0.443317	0.2	-58,970.000000
0.446650	0.2	-58,828.000000
0.449983	0.2	-58,675.000000
0.453317	0.2	-58,532.000000
0.456650	0.2	-58,418.000000
0.459983	0.2	-58,349.000000
0.463317	0.2	-58,335.000000
0.466650	0.2	-58,364.000000
0.469983	0.2	-58,409.000000
0.473317	0.2	-58,447.000000
0.476650	0.2	-58,477.000000
0.479983	0.2	-58,499.000000
0.483317	0.2	-58,516.000000
0.486650	0.2	-58,533.000000
0.489983	0.2	-58,544.000000
0.493317	0.2	-58,539.000000
0.496650	0.2	-58,515.000000
0.499983	0.2	-58,480.000000
0.503317	0.2	-58,447.000000
0.506650	0.2	-58,429.000000
0.509983	0.2	-58,430.000000
0.513317	0.2	-58,455.000000
0.516650	0.2	-58,497.000000
0.519983	0.2	-58,553.000000
0.523317	0.2	-58,618.000000
0.526650	0.2	-58,687.000000
0.529983	0.2	-58,762.000000
0.533317	0.2	-58,840.000000
0.536650	0.2	-58,913.000000
0.539983	0.2	-58,975.000000
0.543317	0.2	-59,019.000000
0.546650	0.2	-59,044.000000
0.549983	0.2	-59,056.000000
0.553317	0.2	-59,057.000000
0.556650	0.2	-59,057.000000
0.559983	0.2	-59,067.000000
0.563317	0.2	-59,100.000000
0.566650	0.2	-59,165.000000
0.569983	0.2	-59,256.000000
0.573317	0.2	-59,364.000000
0.576650	0.2	-59,477.000000
0.579983	0.2	-59,578.000000
0.583317	0.2	-59,650.000000
0.586650	0.2	-59,679.000000
0.589983	0.2	-59,668.000000
0.593317	0.2	-59,630.000000
0.596650	0.2	-59,577.000000
0.599983	0.2	-59,511.000000
0.603317	0.2	-59,431.000000
0.606650	0.2	-59,342.000000
0.609983	0.2	-59,246.000000
0.613317	0.2	-59,150.000000
0.616650	0.2	-59,065.000000
0.619983	0.2	-58,987.000000
0.623317	0.2	-58,901.000000
0.626650	0.2	-58,806.000000
0.629983	0.2	-58,705.000000
0.633317	0.2	-58,605.000000
0.636650	0.2	-58,513.000000
0.639983	0.2	-58,427.000000
0.643317	0.2	-58,336.000000
0.646650	0.2	-58,219.000000
0.649983	0.2	-58,064.000000
0.653317	0.2	-57,879.000000
0.656650	0.2	-57,678.000000
0.659983	0.2	-57,463.000000
0.663317	0.2	-57,240.000000
0.666650	0.2	-57,020.000000
0.669983	0.2	-56,817.000000
0.673317	0.2	-56,640.000000
0.676650	0.2	-56,500.000000
0.679983	0.2	-56,386.000000
0.683317	0.2	-56,275.000000
0.686650	0.2	-56,159.000000
0.689983	0.2	-56,041.000000
0.693317	0.2	-55,918.000000
0.696650	0.2	-55,770.000000
0.699983	0.2	-55,592.000000
0.703317	0.2	-55,398.000000
0.706650	0.2	-55,201.000000
0.709983	0.2	-55,010.000000
0.713317	0.2	-54,824.000000
0.716650	0.2	-54,641.000000
0.719983	0.2	-54,451.000000
0.723317	0.2	-54,256.000000
0.726650	0.2	-54,079.000000
0.729983	0.2	-53,942.000000
0.733317	0.2	-53,862.000000
0.736650	0.2	-53,846.000000
0.739983	0.2	-53,889.000000
0.743317	0.2	-53,968.000000
0.746650	0.2	-54,053.000000
0.749983	0.2	-54,113.000000
0.753317	0.2	-54,113.000000
0.756650	0.2	-54,024.000000
