URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/5.6.26 absorption rerurns.seq/937.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	5.6.26 absorption rerurns
Name	AB int 8 (reinject)
Number	3
Position	RA3
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	5/6/2026 2:05:40 PM -04:00
Volume (µl)	2.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003350
Time Max. (min)	107.503350
Data Points	32251
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-185,351.000000
Signal Max.	3,370,678.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /520 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003350	n.a.	381.000000
0.006683	0.2	381.000000
0.010017	0.2	381.000000
0.013350	0.2	381.000000
0.016683	0.2	381.000000
0.020017	0.2	381.000000
0.023350	0.2	381.000000
0.026683	0.2	381.000000
0.030017	0.2	381.000000
0.033350	0.2	381.000000
0.036683	0.2	-40,738.000000
0.040017	0.2	-40,846.000000
0.043350	0.2	-40,989.000000
0.046683	0.2	-41,152.000000
0.050017	0.2	-41,324.000000
0.053350	0.2	-41,497.000000
0.056683	0.2	-41,661.000000
0.060017	0.2	-41,805.000000
0.063350	0.2	-41,925.000000
0.066683	0.2	-42,025.000000
0.070017	0.2	-42,112.000000
0.073350	0.2	-42,190.000000
0.076683	0.2	-42,258.000000
0.080017	0.2	-42,312.000000
0.083350	0.2	-42,348.000000
0.086683	0.2	-42,367.000000
0.090017	0.2	-42,366.000000
0.093350	0.2	-42,351.000000
0.096683	0.2	-42,332.000000
0.100017	0.2	-42,317.000000
0.103350	0.2	-42,312.000000
0.106683	0.2	-42,319.000000
0.110017	0.2	-42,333.000000
0.113350	0.2	-42,350.000000
