URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.22.26 absorption remainder.seq/709.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	4.22.26 absorption remainder
Name	AB intestine 8
Number	5
Position	RB5
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/23/2026 3:02:41 AM -04:00
Volume (µl)	2.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003400
Time Max. (min)	107.503400
Data Points	32251
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-69,763.000000
Signal Max.	-1,905.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /520 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003400	n.a.	-1,905.000000
0.006733	0.2	-1,905.000000
0.010067	0.2	-1,905.000000
0.013400	0.2	-1,905.000000
0.016733	0.2	-1,905.000000
0.020067	0.2	-1,905.000000
0.023400	0.2	-1,905.000000
0.026733	0.2	-1,905.000000
0.030067	0.2	-1,905.000000
0.033400	0.2	-1,905.000000
0.036733	0.2	-55,567.000000
0.040067	0.2	-55,663.000000
0.043400	0.2	-55,790.000000
0.046733	0.2	-55,924.000000
0.050067	0.2	-56,056.000000
0.053400	0.2	-56,197.000000
0.056733	0.2	-56,354.000000
0.060067	0.2	-56,522.000000
0.063400	0.2	-56,701.000000
0.066733	0.2	-56,881.000000
0.070067	0.2	-57,044.000000
0.073400	0.2	-57,171.000000
0.076733	0.2	-57,251.000000
0.080067	0.2	-57,280.000000
0.083400	0.2	-57,262.000000
0.086733	0.2	-57,206.000000
0.090067	0.2	-57,122.000000
0.093400	0.2	-57,026.000000
0.096733	0.2	-56,923.000000
0.100067	0.2	-56,828.000000
0.103400	0.2	-56,767.000000
0.106733	0.2	-56,752.000000
0.110067	0.2	-56,774.000000
0.113400	0.2	-56,835.000000
0.116733	0.2	-56,932.000000
0.120067	0.2	-57,043.000000
0.123400	0.2	-57,145.000000
0.126733	0.2	-57,224.000000
0.130067	0.2	-57,266.000000
0.133400	0.2	-57,267.000000
0.136733	0.2	-57,232.000000
0.140067	0.2	-57,159.000000
0.143400	0.2	-57,059.000000
0.146733	0.2	-56,957.000000
0.150067	0.2	-56,870.000000
0.153400	0.2	-56,790.000000
0.156733	0.2	-56,716.000000
0.160067	0.2	-56,654.000000
0.163400	0.2	-56,610.000000
0.166733	0.2	-56,579.000000
0.170067	0.2	-56,549.000000
0.173400	0.2	-56,518.000000
0.176733	0.2	-56,495.000000
0.180067	0.2	-56,485.000000
0.183400	0.2	-56,488.000000
0.186733	0.2	-56,510.000000
0.190067	0.2	-56,561.000000
0.193400	0.2	-56,636.000000
0.196733	0.2	-56,725.000000
0.200067	0.2	-56,819.000000
0.203400	0.2	-56,912.000000
0.206733	0.2	-56,997.000000
0.210067	0.2	-57,069.000000
0.213400	0.2	-57,120.000000
0.216733	0.2	-57,142.000000
0.220067	0.2	-57,138.000000
0.223400	0.2	-57,105.000000
0.226733	0.2	-57,049.000000
0.230067	0.2	-56,985.000000
0.233400	0.2	-56,918.000000
0.236733	0.2	-56,860.000000
0.240067	0.2	-56,840.000000
0.243400	0.2	-56,877.000000
0.246733	0.2	-56,975.000000
0.250067	0.2	-57,116.000000
0.253400	0.2	-57,270.000000
0.256733	0.2	-57,408.000000
0.260067	0.2	-57,521.000000
