URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.22.26 absorption remainder  2.seq/907.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	4.22.26 absorption remainder  2
Name	AB intestine 8
Number	6
Position	RA6
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/27/2026 2:31:01 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003333
Time Max. (min)	107.503333
Data Points	32251
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-1,659,699.000000
Signal Max.	40,646,563.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /520 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003333	n.a.	-1,524.000000
0.006667	0.2	-1,524.000000
0.010000	0.2	-1,524.000000
0.013333	0.2	-1,524.000000
0.016667	0.2	-1,524.000000
0.020000	0.2	-1,524.000000
0.023333	0.2	-1,524.000000
0.026667	0.2	-1,524.000000
0.030000	0.2	-1,524.000000
0.033333	0.2	-1,524.000000
0.036667	0.2	-64,392.000000
0.040000	0.2	-64,472.000000
0.043333	0.2	-64,566.000000
0.046667	0.2	-64,651.000000
0.050000	0.2	-64,718.000000
0.053333	0.2	-64,769.000000
0.056667	0.2	-64,806.000000
0.060000	0.2	-64,831.000000
0.063333	0.2	-64,837.000000
0.066667	0.2	-64,827.000000
0.070000	0.2	-64,810.000000
0.073333	0.2	-64,804.000000
0.076667	0.2	-64,825.000000
0.080000	0.2	-64,881.000000
0.083333	0.2	-64,963.000000
0.086667	0.2	-65,058.000000
0.090000	0.2	-65,150.000000
0.093333	0.2	-65,240.000000
0.096667	0.2	-65,333.000000
0.100000	0.2	-65,427.000000
0.103333	0.2	-65,514.000000
0.106667	0.2	-65,593.000000
0.110000	0.2	-65,660.000000
0.113333	0.2	-65,703.000000
0.116667	0.2	-65,723.000000
0.120000	0.2	-65,724.000000
0.123333	0.2	-65,718.000000
0.126667	0.2	-65,725.000000
0.130000	0.2	-65,750.000000
0.133333	0.2	-65,789.000000
0.136667	0.2	-65,829.000000
0.140000	0.2	-65,865.000000
0.143333	0.2	-65,894.000000
0.146667	0.2	-65,916.000000
0.150000	0.2	-65,931.000000
0.153333	0.2	-65,929.000000
0.156667	0.2	-65,907.000000
0.160000	0.2	-65,871.000000
0.163333	0.2	-65,814.000000
0.166667	0.2	-65,730.000000
0.170000	0.2	-65,617.000000
0.173333	0.2	-65,481.000000
0.176667	0.2	-65,337.000000
0.180000	0.2	-65,202.000000
0.183333	0.2	-65,087.000000
0.186667	0.2	-65,009.000000
0.190000	0.2	-64,973.000000
0.193333	0.2	-64,971.000000
0.196667	0.2	-64,994.000000
0.200000	0.2	-65,029.000000
0.203333	0.2	-65,076.000000
0.206667	0.2	-65,137.000000
0.210000	0.2	-65,210.000000
0.213333	0.2	-65,289.000000
0.216667	0.2	-65,369.000000
0.220000	0.2	-65,444.000000
0.223333	0.2	-65,514.000000
0.226667	0.2	-65,586.000000
0.230000	0.2	-65,656.000000
0.233333	0.2	-65,713.000000
0.236667	0.2	-65,750.000000
0.240000	0.2	-65,777.000000
0.243333	0.2	-65,809.000000
0.246667	0.2	-65,845.000000
0.250000	0.2	-65,882.000000
0.253333	0.2	-65,912.000000
0.256667	0.2	-65,932.000000
0.260000	0.2	-65,942.000000
0.263333	0.2	-65,951.000000
0.266667	0.2	-65,959.000000
0.270000	0.2	-65,971.000000
0.273333	0.2	-65,982.000000
0.276667	0.2	-65,984.000000
0.280000	0.2	-65,976.000000
0.283333	0.2	-65,959.000000
0.286667	0.2	-65,932.000000
0.290000	0.2	-65,900.000000
0.293333	0.2	-65,865.000000
0.296667	0.2	-65,830.000000
0.300000	0.2	-65,805.000000
0.303333	0.2	-65,808.000000
0.306667	0.2	-65,835.000000
0.310000	0.2	-65,885.000000
0.313333	0.2	-65,953.000000
0.316667	0.2	-66,037.000000
0.320000	0.2	-66,131.000000
0.323333	0.2	-66,221.000000
0.326667	0.2	-66,300.000000
0.330000	0.2	-66,370.000000
0.333333	0.2	-66,436.000000
0.336667	0.2	-66,502.000000
0.340000	0.2	-66,566.000000
0.343333	0.2	-66,623.000000
0.346667	0.2	-66,657.000000
0.350000	0.2	-66,651.000000
0.353333	0.2	-66,598.000000
0.356667	0.2	-66,496.000000
0.360000	0.2	-66,356.000000
0.363333	0.2	-66,201.000000
0.366667	0.2	-66,046.000000
0.370000	0.2	-65,903.000000
0.373333	0.2	-65,787.000000
0.376667	0.2	-65,716.000000
0.380000	0.2	-65,705.000000
0.383333	0.2	-65,740.000000
0.386667	0.2	-65,786.000000
0.390000	0.2	-65,812.000000
0.393333	0.2	-65,805.000000
0.396667	0.2	-65,776.000000
0.400000	0.2	-65,745.000000
0.403333	0.2	-65,724.000000
0.406667	0.2	-65,717.000000
0.410000	0.2	-65,729.000000
0.413333	0.2	-65,761.000000
0.416667	0.2	-65,816.000000
0.420000	0.2	-65,884.000000
0.423333	0.2	-65,950.000000
0.426667	0.2	-66,004.000000
0.430000	0.2	-66,043.000000
0.433333	0.2	-66,072.000000
0.436667	0.2	-66,085.000000
0.440000	0.2	-66,081.000000
