URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.22.26 absorption remainder.seq/673.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	4.22.26 absorption remainder
Name	AB intestine 9
Number	4
Position	RB4
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/23/2026 1:13:58 AM -04:00
Volume (µl)	2.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003283
Time Max. (min)	107.503283
Data Points	32251
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-221,489.000000
Signal Max.	16,882,734.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /520 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003283	n.a.	-3,429.000000
0.006617	0.2	-3,429.000000
0.009950	0.2	-3,429.000000
0.013283	0.2	-3,429.000000
0.016617	0.2	-3,429.000000
0.019950	0.2	-3,429.000000
0.023283	0.2	-3,429.000000
0.026617	0.2	-3,429.000000
0.029950	0.2	-3,429.000000
0.033283	0.2	-3,429.000000
0.036617	0.2	-57,857.000000
0.039950	0.2	-57,997.000000
0.043283	0.2	-58,169.000000
0.046617	0.2	-58,324.000000
0.049950	0.2	-58,439.000000
0.053283	0.2	-58,519.000000
0.056617	0.2	-58,578.000000
0.059950	0.2	-58,620.000000
0.063283	0.2	-58,654.000000
0.066617	0.2	-58,687.000000
0.069950	0.2	-58,724.000000
0.073283	0.2	-58,766.000000
0.076617	0.2	-58,812.000000
0.079950	0.2	-58,859.000000
0.083283	0.2	-58,906.000000
0.086617	0.2	-58,950.000000
0.089950	0.2	-58,983.000000
0.093283	0.2	-58,998.000000
0.096617	0.2	-58,989.000000
0.099950	0.2	-58,964.000000
0.103283	0.2	-58,935.000000
0.106617	0.2	-58,900.000000
0.109950	0.2	-58,850.000000
0.113283	0.2	-58,789.000000
0.116617	0.2	-58,735.000000
0.119950	0.2	-58,699.000000
0.123283	0.2	-58,688.000000
0.126617	0.2	-58,708.000000
0.129950	0.2	-58,758.000000
0.133283	0.2	-58,831.000000
0.136617	0.2	-58,916.000000
0.139950	0.2	-59,000.000000
0.143283	0.2	-59,070.000000
0.146617	0.2	-59,119.000000
0.149950	0.2	-59,135.000000
0.153283	0.2	-59,116.000000
0.156617	0.2	-59,069.000000
0.159950	0.2	-59,004.000000
0.163283	0.2	-58,925.000000
0.166617	0.2	-58,837.000000
0.169950	0.2	-58,744.000000
0.173283	0.2	-58,649.000000
0.176617	0.2	-58,565.000000
0.179950	0.2	-58,504.000000
0.183283	0.2	-58,461.000000
0.186617	0.2	-58,433.000000
0.189950	0.2	-58,424.000000
0.193283	0.2	-58,436.000000
0.196617	0.2	-58,469.000000
0.199950	0.2	-58,516.000000
0.203283	0.2	-58,577.000000
0.206617	0.2	-58,650.000000
0.209950	0.2	-58,731.000000
0.213283	0.2	-58,811.000000
0.216617	0.2	-58,886.000000
0.219950	0.2	-58,941.000000
0.223283	0.2	-58,966.000000
0.226617	0.2	-58,974.000000
0.229950	0.2	-58,981.000000
0.233283	0.2	-58,990.000000
0.236617	0.2	-58,994.000000
0.239950	0.2	-58,981.000000
0.243283	0.2	-58,954.000000
0.246617	0.2	-58,922.000000
0.249950	0.2	-58,886.000000
0.253283	0.2	-58,848.000000
0.256617	0.2	-58,827.000000
0.259950	0.2	-58,823.000000
0.263283	0.2	-58,817.000000
0.266617	0.2	-58,790.000000
0.269950	0.2	-58,736.000000
0.273283	0.2	-58,662.000000
0.276617	0.2	-58,585.000000
0.279950	0.2	-58,515.000000
0.283283	0.2	-58,456.000000
0.286617	0.2	-58,417.000000
0.289950	0.2	-58,398.000000
0.293283	0.2	-58,398.000000
0.296617	0.2	-58,411.000000
0.299950	0.2	-58,426.000000
0.303283	0.2	-58,437.000000
0.306617	0.2	-58,448.000000
0.309950	0.2	-58,466.000000
0.313283	0.2	-58,488.000000
0.316617	0.2	-58,504.000000
0.319950	0.2	-58,525.000000
0.323283	0.2	-58,555.000000
0.326617	0.2	-58,590.000000
0.329950	0.2	-58,617.000000
0.333283	0.2	-58,634.000000
0.336617	0.2	-58,647.000000
0.339950	0.2	-58,660.000000
0.343283	0.2	-58,677.000000
0.346617	0.2	-58,701.000000
0.349950	0.2	-58,719.000000
0.353283	0.2	-58,714.000000
0.356617	0.2	-58,676.000000
0.359950	0.2	-58,605.000000
0.363283	0.2	-58,510.000000
0.366617	0.2	-58,411.000000
0.369950	0.2	-58,332.000000
0.373283	0.2	-58,291.000000
0.376617	0.2	-58,297.000000
0.379950	0.2	-58,359.000000
0.383283	0.2	-58,472.000000
0.386617	0.2	-58,616.000000
0.389950	0.2	-58,764.000000
0.393283	0.2	-58,903.000000
0.396617	0.2	-59,017.000000
0.399950	0.2	-59,100.000000
0.403283	0.2	-59,158.000000
0.406617	0.2	-59,190.000000
0.409950	0.2	-59,200.000000
0.413283	0.2	-59,180.000000
0.416617	0.2	-59,124.000000
0.419950	0.2	-59,036.000000
0.423283	0.2	-58,922.000000
0.426617	0.2	-58,791.000000
0.429950	0.2	-58,645.000000
0.433283	0.2	-58,496.000000
0.436617	0.2	-58,378.000000
0.439950	0.2	-58,298.000000
0.443283	0.2	-58,257.000000
0.446617	0.2	-58,250.000000
0.449950	0.2	-58,267.000000
0.453283	0.2	-58,302.000000
0.456617	0.2	-58,348.000000
0.459950	0.2	-58,403.000000
0.463283	0.2	-58,457.000000
0.466617	0.2	-58,505.000000
0.469950	0.2	-58,539.000000
0.473283	0.2	-58,554.000000
0.476617	0.2	-58,549.000000
0.479950	0.2	-58,533.000000
0.483283	0.2	-58,509.000000
0.486617	0.2	-58,477.000000
0.489950	0.2	-58,448.000000
0.493283	0.2	-58,436.000000
0.496617	0.2	-58,436.000000
0.499950	0.2	-58,450.000000
0.503283	0.2	-58,482.000000
0.506617	0.2	-58,537.000000
0.509950	0.2	-58,615.000000
0.513283	0.2	-58,712.000000
0.516617	0.2	-58,820.000000
0.519950	0.2	-58,924.000000
0.523283	0.2	-59,018.000000
0.526617	0.2	-59,098.000000
0.529950	0.2	-59,160.000000
0.533283	0.2	-59,191.000000
0.536617	0.2	-59,187.000000
0.539950	0.2	-59,145.000000
0.543283	0.2	-59,083.000000
0.546617	0.2	-59,015.000000
0.549950	0.2	-58,951.000000
0.553283	0.2	-58,902.000000
0.556617	0.2	-58,870.000000
0.559950	0.2	-58,849.000000
0.563283	0.2	-58,833.000000
