URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.22.26 absorption remainder  2.seq/664.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	4.22.26 absorption remainder  2
Name	Ab int 10
Number	2
Position	RA2
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/26/2026 7:14:56 PM -04:00
Volume (µl)	2.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003317
Time Max. (min)	107.503317
Data Points	32251
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-170,190.000000
Signal Max.	10,499,028.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /520 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003317	n.a.	-381.000000
0.006650	0.2	-381.000000
0.009983	0.2	-381.000000
0.013317	0.2	-381.000000
0.016650	0.2	-381.000000
0.019983	0.2	-381.000000
0.023317	0.2	-381.000000
0.026650	0.2	-381.000000
0.029983	0.2	-381.000000
0.033317	0.2	-381.000000
0.036650	0.2	-54,738.000000
0.039983	0.2	-54,844.000000
0.043317	0.2	-54,974.000000
0.046650	0.2	-55,108.000000
0.049983	0.2	-55,238.000000
0.053317	0.2	-55,370.000000
0.056650	0.2	-55,513.000000
0.059983	0.2	-55,672.000000
0.063317	0.2	-55,845.000000
0.066650	0.2	-56,023.000000
0.069983	0.2	-56,198.000000
0.073317	0.2	-56,348.000000
0.076650	0.2	-56,461.000000
0.079983	0.2	-56,543.000000
0.083317	0.2	-56,595.000000
0.086650	0.2	-56,614.000000
0.089983	0.2	-56,607.000000
0.093317	0.2	-56,582.000000
0.096650	0.2	-56,539.000000
0.099983	0.2	-56,483.000000
0.103317	0.2	-56,413.000000
0.106650	0.2	-56,349.000000
0.109983	0.2	-56,307.000000
0.113317	0.2	-56,297.000000
0.116650	0.2	-56,321.000000
0.119983	0.2	-56,379.000000
0.123317	0.2	-56,452.000000
0.126650	0.2	-56,505.000000
0.129983	0.2	-56,514.000000
0.133317	0.2	-56,473.000000
0.136650	0.2	-56,391.000000
0.139983	0.2	-56,287.000000
0.143317	0.2	-56,183.000000
0.146650	0.2	-56,090.000000
0.149983	0.2	-56,012.000000
0.153317	0.2	-55,951.000000
0.156650	0.2	-55,907.000000
0.159983	0.2	-55,880.000000
0.163317	0.2	-55,865.000000
